 Adsorption Energy,Valence Electrons, Surface
9,2.224105589,Hf6Rh6
5.604078661,2.249844565,Au6Zr6
9,2.266590723,Rh6Sc6
5.241482788,2.280049201,Ir6Ti6
9,2.322410523,Co6Hg6
10,2.329251873,Ni6Pd6
9,2.332683773,Co6Zn6
9,2.339204845,Cd6Co6
10,2.34829508,Ni6Pt6
5.744562647,2.355027584,Au6Y6
8.276772529,2.359272832,Ir6Mn6
6,2.36121314,Hg6Y6
9,2.382733535,Ag6Co6
8,2.384112336,Cd6Fe6
7,2.393575231,Mn6Zn6
5.241482788,2.40158599,Hf6Ir6
5.477225575,2.407648142,La6Pd6
9.62260299,2.416516332,Co6Cu6
9.321697518,2.430450329,Co6Ni6
8.485281374,2.433436779,Fe6Rh6
8,2.434752313,Ag6Os6
8.895920362,2.438740686,Cu6Fe6
8.61773876,2.446262728,Fe6Ni6
8,2.447612141,Fe6Zn6
5.477225575,2.450516276,Pd6Sc6
8,2.467728565,Ag6Fe6
5.477225575,2.475809257,Pd6Y6
10,2.481784605,Pt6Sc6
10.32280115,2.495111516,Ag6Pt6
5.744562647,2.502123618,Au6La6
9.321697518,2.502468114,Co6Pd6
10,2.504732645,Pd12
7.343420462,2.507316638,Ag6Cr6
8.774964387,2.508364413,Cu6Mn6
10,2.543948195,Ag6Ni6
10,2.551482483,Pt6Y6
8,2.567540193,Au6Ru6
10.32280115,2.582668906,Cu6Pt6
9.654893846,2.583624025,Co6Pt6
10.32280115,2.623943949,Au6Pt6
10,2.659127452,Au6Ni6
10.32280115,2.669206141,Cu6Ni6
9,2.670142893,Au6Co6
8.61773876,2.688282001,Fe6Pt6
10,2.707291194,Cd6Ni6
8.61773876,2.714901673,Fe6Pd6
7.343420462,2.722000035,Au6Cr6
7,2.722961821,Cd6Mn6
10,2.733575349,La6Pt6
8.366600265,2.758326416,Mn6Ni6
10.48808848,2.796323032,Cu6Pd6
8,2.855930113,Au6Fe6
8.138223044,2.898255651,Au6Tc6
7.937253933,2.937726308,Mn6Rh6
10,2.996302349,Ni6Zn6
4.762203156,3.062087911,Hg6La6
4.762203156,3.06461095,Cd6Y6
10,3.121509137,Hg6Ni6
7.368062997,3.135507626,Pt6Ti6
8.485281374,3.160249849,Co6Fe6
10,3.265591918,Cd6Pt6
9,3.320889804,Hg6Ir6
10.32280115,3.340832483,Au6Pd6
10.28827648,3.363898485,Au6Ir6
10.32280115,3.373778258,Ag6Pd6
8.962809493,3.614289204,Hg6Nb6
12,3.616090733,Cd6Zn6
7,3.62682576,Ag6Mn6
11,3.628236398,Cd6Cu6
10.62658569,3.694731361,Pt6Zn6
8.320335292,3.854677426,Hf6Hg6
12,3.950400135,Ag6Zn6
9.461524903,4.063611601,Au6Re6
11,4.110073135,Cu12
8,4.123640322,Fe6Hg6
11,4.134827194,Ag6Cu6
7,4.14713572,Au6Mn6
12,4.147175856,Au6Zn6
7.883735163,4.211434587,Mn6Pt6
10,4.242661011,Cd6Pd6
11,4.243781575,Cu6Zn6
11,4.393660381,Au6Cu6
7,4.422950306,Mn6Pd6
12,4.489099412,Zn12
10.62658569,4.518392875,Pd6Zn6
11,4.577755189,Au6Cd6
11,4.7414235,Au12
11,4.950667341,Ag6Au6
12,4.98544553,Cd6Hg6
11.29243235,5.231124598,Hg6Pd6
12,5.363709208,Cd12
11.65695337,5.497811942,Ag6Cd6
11.65695337,5.556749351,Ag6Hg6
11,5.608978745,Ag12
3,7.496361146,La6Os6
