Valence Electrons, Adsorption Energy, Surface
-3.751788326,3.0,Sc12
-3.730901957,4.0,Hf12
-3.724476805,3.0,Sc6Y6
-3.695666616,3.63424118566428,Hf6Sc6
-3.692015392,3.63424118566428,Hf6Y6
-3.6918909,3.0,Sc12
-3.685153226,3.0,Sc6Y6
-3.675933873,3.0,Sc6Y6
-3.660853324,3.30192724889463,Hf6Sc6
-3.648769292,3.0,Y12
-3.62765802,3.0,Y12
-3.625250493,3.0,Sc6Y6
-3.60980572,3.63424118566428,Hf6Y6
-3.60323213,4.0,Hf6Zr6
-3.571118343,4.0,Hf6Ti6
-3.567035003,3.63424118566428,Hf6Sc6
-3.549843803,3.30192724889463,Hf6Y6
-3.539837089,3.63424118566428,Sc6Ti6
-3.538077601,3.30192724889463,Sc6Zr6
-3.529919219,3.30192724889463,Sc6Ti6
-3.511154657,3.63424118566428,Sc6Ti6
-3.492598262,4.0,Hf6Ti6
-3.487094488,3.30192724889463,Hf6Sc6
-3.482477668,4.0,Hf6Zr6
-3.47983762,3.63424118566428,Ti6Y6
-3.472570548,3.30192724889463,Sc6Ti6
-3.471255149,3.63424118566428,Ti6Y6
-3.464401282,3.63424118566428,Sc6Zr6
-3.462855403,4.30886938006377,Hf6Ta6
-3.459214656,3.63424118566428,Y6Zr6
-3.455084921,4.0,Ti12
-3.438166515,3.0,La6Sc6
-3.437227858,3.30192724889463,Y6Zr6
-3.435192719,3.30192724889463,Hf6Y6
-3.432626413,3.63424118566428,Hf6La6
-3.425847785,4.0,Zr12
-3.414582408,3.0,La6Y6
-3.410983295,3.0,La6Sc6
-3.393847878,3.30192724889463,Ti6Y6
-3.387287758,3.30192724889463,Sc6Zr6
-3.38618937,4.0,Ti6Zr6
-3.37854991,3.30192724889463,Ti6Y6
-3.372638373,3.0,La6Y6
-3.363343917,3.55689330449006,Sc6Ta6
-3.36248254,4.30886938006377,Hf6Nb6
-3.359037715,4.0,Ti6Zr6
-3.355785139,4.30886938006377,Ta6Ti6
-3.353975037,3.63424118566428,Y6Zr6
-3.351034031,3.63424118566428,Hf6La6
-3.338599925,3.63424118566428,Sc6Zr6
-3.334945028,3.30192724889463,Y6Zr6
-3.325056547,4.0,Hf12
-3.310631521,4.0,Hf6Ti6
-3.305360404,6.31635959765638,Cr6Mn6
-3.305107202,6.31635959765638,Cr6Mn6
-3.276201093,4.0,Hf6Zr6
-3.260459443,5.0,Ta12
-3.25582031,3.55689330449006,Nb6Sc6
-3.254056741,4.0,Ti12
-3.247818395,4.47213595499958,Hf6V6
-3.240632821,3.0,La6Mo6
-3.230985841,5.0,V12
-3.224155103,4.30886938006377,Nb6Ti6
-3.219845636,3.63424118566428,La6Zr6
