Valence Electrons, Adsorption Energy, Surface
6.649399761,-2.308307951,Cr6Mn6
5.313292846,-1.350000428,Nb6W6
4,-1.034150276,Hf6Ti6
4.160167646,-1.025804409,Os6Y6
4,-1.02435513,Ti6Zr6
5,-1.019672595,Ta12
4.30886938,-1.012364978,Hf6V6
4,-1.01043746,Ti12
4.641588834,-1.010037861,Ta6Ti6
4.820284528,-1.009977451,Re6Zr6
3,-1.003077461,Sc12
4.217163327,-1.001750906,Sc6Ta6
4,-0.999504198,Hf6Zr6
4,-0.996874898,Hf12
5,-0.99566059,V12
4.820284528,-0.995218133,Hf6Re6
4,-0.992339168,Zr12
3.634241186,-0.992279712,Hf6Sc6
4.641588834,-0.990126339,Ta6Zr6
4.641588834,-0.989298568,Hf6Ta6
6,-0.989087,Mo12
4.160167646,-0.988705904,Os6Sc6
3,-0.987603707,Sc6Y6
3.301927249,-0.98659539,Sc6Ti6
4.57885697,-0.985095634,Cr6Hf6
5.0396842,-0.98445467,Os6Zr6
3.634241186,-0.979383012,Hf6Y6
4.641588834,-0.976652078,V6Zr6
4.762203156,-0.972873505,Sc6W6
5,-0.972541526,Nb6Ta6
3.634241186,-0.971857976,Sc6Zr6
4.217163327,-0.971051567,Ta6Y6
3,-0.970131958,Y12
3.301927249,-0.963137408,Ti6Y6
5.0396842,-0.960070685,Hf6Os6
4.641588834,-0.959918845,Ti6V6
4.641588834,-0.959663194,Nb6Ti6
4.57885697,-0.959658569,Cr6Zr6
3.301927249,-0.950013085,Y6Zr6
4.160167646,-0.94854612,La6Os6
5,-0.943553103,Nb12
4.217163327,-0.942171445,Nb6Sc6
4.57885697,-0.941223808,Cr6Ti6
4.641588834,-0.940494271,Hf6Nb6
4.641588834,-0.937619388,Nb6Zr6
4.820284528,-0.937389452,Re6Ti6
4.762203156,-0.932389088,W6Y6
5.241482788,-0.92607836,Ti6W6
5,-0.918787342,Nb6V6
5.241482788,-0.918433322,W6Zr6
4.217163327,-0.917184183,Nb6Y6
4.217163327,-0.915210134,Sc6V6
5.646216173,-0.913591464,Ta6W6
5.0396842,-0.912795531,Os6Ti6
6,-0.90919288,Cr6Sc6
4.820284528,-0.908698586,Tc6Zr6
5.313292846,-0.906448748,Cr6Ta6
5,-0.90637555,Ta6V6
5.313292846,-0.902072614,V6W6
4,-0.900437073,Cu6Hf6
3.634241186,-0.897437562,Hf6La6
3.301927249,-0.897293614,La6Ti6
5.241482788,-0.888731552,Hf6W6
5,-0.886516818,La6Ta6
5.59344471,-0.883223832,Nb6Re6
4.820284528,-0.882561779,Hf6Tc6
5.768998281,-0.882279733,Ru6Y6
4.762203156,-0.880356841,Mo6Sc6
3.634241186,-0.879774517,La6Zr6
6,-0.879511383,W12
5.646216173,-0.878866745,Cr6V6
6,-0.878578305,Cr12
5.313292846,-0.877052018,Cr6Nb6
3,-0.872222406,La6Mo6
4.57885697,-0.87168743,Mo6Zr6
4.57885697,-0.869518547,Hf6Mo6
5.59344471,-0.868031989,Re6Ta6
4.582575695,-0.866000931,Tc6Y6
5.313292846,-0.865465411,Mo6V6
5.241482788,-0.862350524,Mo6Ti6
6,-0.856283338,La6W6
5,-0.851386377,Cd6Ta6
5.646216173,-0.851336308,Mo6Nb6
7,-0.85028935,La6Re6
5.0396842,-0.850113292,Fe6Hf6
4,-0.849589473,Cd6Hf6
4.326748711,-0.848195706,Ir6La6
3,-0.846777041,La6Y6
5,-0.844618362,La6Nb6
7,-0.840314337,Sc6Tc6
3,-0.840083584,La6Sc6
5.0396842,-0.839880043,Ru6Zr6
5.59344471,-0.838457568,Mn6Ta6
6,-0.834921449,Mo6Y6
4,-0.828113977,Hf6Pd6
4.820284528,-0.828095745,Tc6Ti6
4.160167646,-0.825671347,Ru6Sc6
5,-0.823118103,Ta6Zn6
6,-0.818570536,Cd6W6
4.160167646,-0.811296389,La6Ru6
5.313292846,-0.80921431,Mo6Ta6
5.0396842,-0.805068656,Hf6Ru6
6.316359598,-0.802408607,Re6W6
3,-0.802010777,Ag6Y6
4.326748711,-0.801564782,Co6Sc6
5.604078661,-0.800465306,Cu6Zr6
5.59344471,-0.800375917,Re6V6
5.59344471,-0.800164212,Nb6Tc6
4.160167646,-0.797759406,Fe6Y6
5.768998281,-0.797706072,Ti6Zn6
4,-0.789149588,Cd6Zr6
4,-0.788540189,Ag6Hf6
6,-0.778274014,Cr6Mo6
5.0396842,-0.778052514,Fe6Zr6
3,-0.776159282,Ag6Sc6
4.326748711,-0.775222258,Ir6Sc6
4,-0.77505069,Au6Hf6
4,-0.774350541,Cd6Ti6
5.59344471,-0.773127525,Ta6Tc6
6,-0.770378631,W6Zn6
5.0396842,-0.76972583,Ru6Ti6
6.316359598,-0.767018298,Mo6Re6
