Valence Electrons, Adsorption Energy, Surface
6.32455532,1.322552169,Pt6Zr6
8.61773876,1.480621193,Os6Pt6
7.883735163,1.509700638,Pt6Re6
7.113786609,1.615414552,Pt6W6
6.32455532,1.661174983,Hf6Pt6
9.321697518,1.678740204,Ir6Pt6
8.61773876,1.704283666,Pt6Ru6
7.883735163,1.706457447,Pt6Tc6
7.113786609,1.759121679,Mo6Pt6
7.113786609,1.867945174,Cr6Pt6
9.321697518,1.893514623,Pt6Rh6
6.299605249,1.945962932,Pt6Ta6
6.299605249,2.000818225,Pt6V6
10,2.063205493,Pd6Pt6
6.299605249,2.119152778,Nb6Pt6
10,2.222465831,Pt12
10,2.34829508,Ni6Pt6
10,2.481784605,Pt6Sc6
10.32280115,2.495111516,Ag6Pt6
10,2.551482483,Pt6Y6
10.32280115,2.582668906,Cu6Pt6
9.654893846,2.583624025,Co6Pt6
10.32280115,2.623943949,Au6Pt6
8.61773876,2.688282001,Fe6Pt6
10,2.733575349,La6Pt6
7.368062997,3.135507626,Pt6Ti6
10,3.265591918,Cd6Pt6
10.62658569,3.694731361,Pt6Zn6
7.883735163,4.211434587,Mn6Pt6
