Valence Electrons, Adsorption Energy, Surface
5.848035476,-2.135966012,Nb6Os6
5.848035476,-2.131893828,Ru6V6
6.082201996,-2.131296675,Co6V6
3,-2.123916947,La6Pt6
6,-2.116413272,Mo12
6,-2.11025071,Cr6W6
6,-2.107469707,Mo6W6
5,-2.099597453,Hg6Ta6
5.59344471,-2.088845147,Tc6V6
5,-2.086712863,Au6Ta6
6,-2.083079735,Cr6Mo6
5.0396842,-2.068328308,Os6Ti6
5.241482788,-2.058430031,Ir6Ti6
3,-2.056777348,La6Ni6
5,-2.036006218,Ag6V6
5,-2.011007936,Cd6V6
4.326748711,-1.999080914,Co6La6
5.59344471,-1.993091689,Re6V6
4.582575695,-1.987392128,Sc6Tc6
5,-1.983850975,Pd6V6
6.082201996,-1.976372334,Ir6Ta6
5,-1.961617914,V6Zn6
6.082201996,-1.951288608,Rh6V6
6.299605249,-1.949252244,Nb6Pd6
6.299605249,-1.946600359,Pt6Ta6
5,-1.934807762,Cd6Nb6
4.326748711,-1.930681427,Rh6Sc6
4.481404747,-1.926026512,Pt6Sc6
5,-1.912962191,Ag6Nb6
7,-1.912664906,Tc6Y6
6.082201996,-1.912593204,Nb6Rh6
5.848035476,-1.907944003,Os6V6
3,-1.907761551,Pt6Y6
6.694329501,-1.901000474,Nb6Zn6
6.299605249,-1.894233003,Nb6Ni6
6.316359598,-1.88927332,Tc6W6
4.326748711,-1.888267996,Rh6Y6
4.326748711,-1.884781265,La6Rh6
6.502957234,-1.872181986,Cu6V6
11,-1.843869766,Cu6Nb6
5,-1.79231467,Au6V6
5,-1.785467605,Hg6Nb6
5,-1.781963051,Au6Nb6
6,-1.757145997,Ag6W6
6.316359598,-1.750807377,Re6W6
4.160167646,-1.740554808,Ru6Sc6
4.160167646,-1.731124023,Os6Sc6
6.316359598,-1.727997843,Mn6Mo6
6.082201996,-1.726055222,Ir6Nb6
6.082201996,-1.726014949,Ir6V6
3.979057208,-1.707125487,La6Tc6
6.299605249,-1.705604234,Nb6Pt6
4.160167646,-1.680161182,Ru6Y6
4.160167646,-1.679576682,La6Ru6
7.113786609,-1.66183486,Pd6W6
4.160167646,-1.660538645,Os6Y6
6.316359598,-1.656761841,Mo6Tc6
7,-1.647017717,La6Re6
7.343420462,-1.646489136,Cr6Cu6
6.316359598,-1.643729629,Mo6Re6
6.603854498,-1.64291805,Cr6Fe6
6,-1.632360849,Cu6W6
