Valence Electrons, Adsorption Energy, Surface
-2.308307951,6.64939976115098,Cr6Mn6
-2.288006218,6.31635959765638,Cr6Mn6
-2.234331763,6.0,Cr6Mn6
-2.205675727,7.0,Cr6Mn6
-2.155592903,6.48074069840786,Cr6Mn6
-1.663228219,7.0,Cr6Mn6
-1.602611732,6.0,Cr6Mn6
-1.350000428,5.31329284591306,Nb6W6
-1.034150276,4.0,Hf6Ti6
-1.025804409,4.16016764610381,Os6Y6
-1.02435513,4.0,Ti6Zr6
-1.019672595,5.0,Ta12
-1.012364978,4.30886938006377,Hf6V6
-1.01043746,4.0,Ti12
-1.010037861,4.64158883361278,Ta6Ti6
-1.009977451,4.82028452835046,Re6Zr6
-1.003077461,3.0,Sc12
-1.001750906,4.21716332650875,Sc6Ta6
-0.999504198,4.0,Hf6Zr6
-0.996874898,4.0,Hf12
-0.99566059,5.0,V12
-0.995218133,4.82028452835046,Hf6Re6
-0.992339168,4.0,Zr12
-0.992279712,3.63424118566428,Hf6Sc6
-0.990286206,4.0,Hf12
-0.990126339,4.64158883361278,Ta6Zr6
-0.989298568,4.64158883361278,Hf6Ta6
-0.989087,6.0,Mo12
-0.988705904,4.16016764610381,Os6Sc6
-0.987603707,3.0,Sc6Y6
-0.98659539,3.30192724889463,Sc6Ti6
-0.985095634,4.57885697021333,Cr6Hf6
-0.985095634,4.57885697021333,Cr6Hf6
-0.985095634,4.57885697021333,Cr6Hf6
-0.98445467,5.03968419957949,Os6Zr6
-0.984265279,6.3496042078728,Os6Zr6
-0.981890133,3.30192724889463,Hf6Sc6
-0.981801424,3.63424118566428,Hf6Sc6
-0.979383012,3.63424118566428,Hf6Y6
-0.976652078,4.64158883361278,V6Zr6
-0.975953562,4.0,Hf6Zr6
-0.975464165,4.30886938006377,Ta6Ti6
-0.972873505,4.7622031559046,Sc6W6
-0.972541526,5.0,Nb6Ta6
-0.971857976,3.63424118566428,Sc6Zr6
-0.971051567,4.21716332650875,Ta6Y6
-0.970131958,3.0,Y12
-0.967033398,3.30192724889463,Hf6Sc6
-0.96690496,4.30886938006377,V6Zr6
-0.966593934,3.63424118566428,Sc6Ti6
-0.963137408,3.30192724889463,Ti6Y6
-0.962320794,4.0,Hf6Ti6
-0.961195059,3.0,Sc6Y6
-0.960070685,5.03968419957949,Hf6Os6
-0.959918845,4.64158883361278,Ti6V6
-0.959748774,4.30886938006377,Hf6Ta6
-0.959663194,4.64158883361278,Nb6Ti6
-0.959658569,4.57885697021333,Cr6Zr6
-0.958903725,3.30192724889463,Hf6Y6
-0.956476197,4.0,Ti12
-0.954071935,5.0,V12
-0.953797236,3.30192724889463,Sc6Ti6
-0.953376004,3.0,Sc12
-0.952307277,5.0,Nb6Ta6
-0.951701144,5.0,Ta12
-0.950013085,3.30192724889463,Y6Zr6
-0.94854612,4.16016764610381,La6Os6
-0.946481048,4.0,Hf6Ti6
-0.946379821,4.0,Hf6Zr6
-0.945818995,3.30192724889463,Sc6Zr6
-0.943913246,3.30192724889463,Sc6Zr6
-0.943553103,5.0,Nb12
-0.942171445,4.21716332650875,Nb6Sc6
-0.942132805,4.89897948556636,Os6Y6
-0.941223808,4.57885697021333,Cr6Ti6
-0.940494271,4.64158883361278,Hf6Nb6
-0.939730448,5.24148278841779,Cr6Ti6
-0.938004021,4.0,Hf6Ti6
-0.937619388,4.64158883361278,Nb6Zr6
-0.937389452,4.82028452835046,Re6Ti6
-0.937078698,4.30886938006377,Nb6Ti6
-0.937010398,3.63424118566428,Sc6Ti6
-0.935203834,4.30886938006377,Hf6Ta6
-0.933219172,3.0,Sc6Y6
-0.933073047,3.63424118566428,Sc6Zr6
-0.932389088,4.7622031559046,W6Y6
-0.932111668,6.0,W6Y6
-0.9296255,3.63424118566428,Ti6Y6
-0.927591857,4.30886938006377,Ti6V6
-0.927178653,3.63424118566428,Y6Zr6
-0.92607836,5.24148278841779,Ti6W6
-0.92541209,4.30886938006377,Ta6Zr6
-0.923496408,3.30192724889463,Hf6Y6
