"surface","site","reaction energy (eV)","reaction energy difference (eV)","absolute reaction energy difference (eV)"
"Ni6Pt6","hollow|A_B_B|HCP",1.137232577,-0.279786088,0.279786088
"Cu6Hg6","hollow|A_B_B|FCC",1.698876492,0.281857827,0.281857827
"Cu6Pd6","bridge|A_A|B",1.133460807,-0.283557858,0.283557858
"Ni6Pt6","hollow|A_B_B|FCC",1.128700447,-0.288318218,0.288318218
"Pd6Rh6","hollow|A_A_B|FCC",1.120118249,-0.296900416,0.296900416
"Pt6Ru6","hollow|A_A_B|HCP",1.111999324,-0.305019341,0.305019341
"Cu6Ir6","hollow|A_A_B|FCC",1.094836288,-0.322182377,0.322182377
"Ru12","top|A",1.093764024,-0.323254641,0.323254641
"Cd6Pd6","hollow|A_B_B|HCP",1.744658965,0.3276403,0.3276403
"Pt6Ru6","hollow|A_A_B|FCC",1.089159313,-0.327859352,0.327859352
"Co6Pt6","hollow|A_B_B|HCP",1.085054476,-0.331964189,0.331964189
"Ir6Zn6","4fold|A_A_B_B",1.08215864,-0.334860025,0.334860025
"Co6Hg6","top-tilt|A",1.080803377,-0.336215288,0.336215288
"Co6Fe6","4fold|A_A_B_B",1.080796439,-0.336222226,0.336222226
"Cd6Pd6","hollow|A_B_B|FCC",1.755822979,0.338804314,0.338804314
"Co6Hg6","top|A",1.065374795,-0.35164387,0.35164387
"Os6Pt6","hollow|A_B_B|FCC",1.065293569,-0.351725096,0.351725096
"Au6Pt6","hollow|A_B_B|HCP",1.774545364,0.357526699,0.357526699
"Fe6Pt6","hollow|A_B_B|HCP",1.055953261,-0.361065404,0.361065404
"Hg6Rh6","bridge|B_B|A",1.053096338,-0.363922327,0.363922327
"Ni6Pd6","hollow|A_B_B|HCP",1.050546087,-0.366472578,0.366472578
"Fe6Pt6","hollow|A_B_B|FCC",1.049615866,-0.367402799,0.367402799
"Fe6Rh6","bridge|A_A|B",1.048183459,-0.368835206,0.368835206
"Pt12","hollow|A_A_A|HCP",1.803689572,0.386670907,0.386670907
"Cd12","hollow|A_A_A|FCC",1.025209024,-0.391809641,0.391809641
"Pt6Zn6","hollow|A_B_B|FCC",1.023988185,-0.39303048,0.39303048
"Rh12","top|A",1.81037677,0.393358105,0.393358105
"Au6Rh6","hollow-tilt|A_A_B|HCP",1.81761391,0.400595245,0.400595245
"Au6Tc6","top|B",1.013833441,-0.403185224,0.403185224
"Au6Fe6","top|B",1.011918303,-0.405100362,0.405100362
"Cd6Pt6","hollow|A_A_B|HCP",1.829835086,0.412816421,0.412816421
"Ag6Co6","top|B",1.001724919,-0.415293746,0.415293746
"Cd6Cu6","hollow|A_A_B|FCC",0.993836339,-0.423182326,0.423182326
"Rh6Zn6","bridge|A_A|B",0.993629396,-0.423389269,0.423389269
"Cu6Ir6","hollow|A_A_B|HCP",0.990622266,-0.426396399,0.426396399
"Pt6Rh6","hollow|A_B_B|HCP",0.990014772,-0.427003893,0.427003893
"Ag6Pt6","hollow|A_A_B|FCC",1.845480135,0.42846147,0.42846147
"Rh6Zn6","top|A",1.849050133,0.432031468,0.432031468
"Cu6Rh6","hollow|A_A_B|FCC",0.976194654,-0.440824011,0.440824011
"Hg6Rh6","hollow-tilt|A_A_B|FCC",1.860989944,0.443971279,0.443971279
"Au6Rh6","hollow|A_A_B|FCC",1.866344328,0.449325663,0.449325663
"Ir6Pt6","hollow|A_A_B|HCP",0.964760975,-0.45225769,0.45225769
"Ag6Mn6","bridge|B_B|A",0.96435158,-0.452667085,0.452667085
"Au6Pd6","hollow|A_B_B|FCC",1.870309979,0.453291314,0.453291314
"Ag6Y6","top|A",1.879304702,0.462286037,0.462286037
"Ni6Pt6","hollow|A_A_B|HCP",0.949104089,-0.467914576,0.467914576
"Au6Fe6","hollow-tilt|A_A_B|FCC",0.942270358,-0.474748307,0.474748307
"Rh6Zn6","4fold|A_A_B_B",0.928770383,-0.488248282,0.488248282
"Cu12","hollow|A_A_A|HCP",0.927200286,-0.489818379,0.489818379
"Rh6Zn6","hollow|A_B_B|HCP",0.926462313,-0.490556352,0.490556352
"Os6Zn6","hollow|A_B_B|FCC",0.9193181,-0.497700565,0.497700565
"Pd6Zn6","hollow|A_B_B|FCC",0.918149779,-0.498868886,0.498868886
"Cu6Rh6","hollow|A_A_B|HCP",0.91490006,-0.502118605,0.502118605
"Au6Cu6","hollow|A_A_B|FCC",1.922733798,0.505715133,0.505715133
"Ir12","hollow|A_A_A|HCP",0.907405909,-0.509612756,0.509612756
"Cd6Ni6","hollow|A_A_B|FCC",0.905952413,-0.511066252,0.511066252
"Cd12","hollow|A_A_A|HCP",0.904440412,-0.512578253,0.512578253
"Ir6Zn6","bridge|B_B|A",0.899058,-0.517960665,0.517960665
"Cu6Os6","hollow|A_A_B|FCC",0.89703878,-0.519979885,0.519979885
"Pd6Ru6","hollow|A_A_B|FCC",0.891677729,-0.525340936,0.525340936
"Pt6Ru6","bridge|A_A|B",1.9439165,0.526897835,0.526897835
"Os12","top|A",0.889385986,-0.527632679,0.527632679
"Mn6Pt6","hollow|A_A_B|FCC",1.94565177,0.528633105,0.528633105
"Cu6Mn6","hollow|A_A_B|FCC",0.885792995,-0.53122567,0.53122567
"Ag6Pd6","hollow|A_A_B|FCC",1.956787485,0.53976882,0.53976882
"Ag12","hollow|A_A_A|FCC",1.961799686,0.544781021,0.544781021
"Co6Pd6","hollow|A_B_B|HCP",0.871470963,-0.545547702,0.545547702
"Ir6Zn6","hollow|A_B_B|HCP",0.869152281,-0.547866384,0.547866384
"Cu6Zn6","hollow|A_A_B|HCP",0.867430209,-0.549588456,0.549588456
"Au6Rh6","hollow|A_B_B|FCC",0.866565159,-0.550453506,0.550453506
"Cu6Mn6","4fold|A_A_B_B",0.859713605,-0.55730506,0.55730506
"Ir6Os6","hollow|A_A_B|FCC",0.850222546,-0.566796119,0.566796119
"Co6Pd6","hollow|A_B_B|FCC",0.84923314,-0.567785525,0.567785525
"Ag6Cu6","bridge|B_B|A",0.844416181,-0.572602484,0.572602484
"Cu6Ru6","hollow|A_A_B|FCC",0.840189165,-0.5768295,0.5768295
"Cu6Zn6","hollow|A_A_B|FCC",0.833475708,-0.583542957,0.583542957
"Cu6Ni6","hollow|A_A_B|HCP",0.831957449,-0.585061216,0.585061216
"Hg6Pt6","hollow|A_A_B|FCC",2.002607237,0.585588572,0.585588572
"Ir6Rh6","hollow|A_B_B|HCP",0.826276936,-0.590741729,0.590741729
"Ni6Zn6","hollow|A_B_B|HCP",0.818931768,-0.598086897,0.598086897
"Cu6Y6","top|A",0.816598255,-0.60042041,0.60042041
"Cu12","hollow|A_A_A|FCC",0.815140814,-0.601877851,0.601877851
"Au6Pd6","hollow|A_B_B|HCP",2.020223343,0.603204678,0.603204678
"Ag6Co6","hollow-tilt|A_A_B|HCP",0.805714382,-0.611304283,0.611304283
"Ir6Os6","hollow|A_A_B|HCP",0.805631523,-0.611387142,0.611387142
"Fe6Rh6","hollow|A_A_B|HCP",0.792079982,-0.624938683,0.624938683
"Cd6Mn6","hollow-tilt|A_A_B|HCP",0.790535328,-0.626483337,0.626483337
"Fe6Rh6","hollow|A_A_B|FCC",0.788571482,-0.628447183,0.628447183
"Ag12","hollow|A_A_A|HCP",2.050680501,0.633661836,0.633661836
"Au6Y6","top|A",2.051169353,0.634150688,0.634150688
"Fe6Pd6","bridge|B_B|A",2.05663408,0.639615415,0.639615415
"Ag6Co6","hollow-tilt|A_A_B|FCC",0.775951931,-0.641066734,0.641066734
"Fe6Pd6","hollow|A_B_B|HCP",0.773987269,-0.643031396,0.643031396
"Co6Ti6","top|A",0.766308897,-0.650709768,0.650709768
"Ir6Mn6","hollow|A_A_B|FCC",0.764070352,-0.652948313,0.652948313
"Pd6Ru6","hollow|A_A_B|HCP",0.759330129,-0.657688536,0.657688536
"Au6Cu6","hollow|A_A_B|HCP",2.075916746,0.658898081,0.658898081
"Ag6Pt6","hollow|A_A_B|HCP",2.078359785,0.66134112,0.66134112
"Cd6Rh6","bridge|B_B|A",0.755444072,-0.661574593,0.661574593
"Ir12","hollow|A_A_A|FCC",0.750792558,-0.666226107,0.666226107
"Ir6Ru6","hollow|A_A_B|FCC",0.742627918,-0.674390747,0.674390747
"Rh6Zn6","hollow|A_A_B|FCC",0.741982056,-0.675036609,0.675036609
"Au6Ni6","bridge|B_B|A",0.737789598,-0.679229067,0.679229067
"Ir6Rh6","hollow|A_B_B|FCC",0.736266713,-0.680751952,0.680751952
"Ag6Pd6","hollow|A_A_B|HCP",2.103357386,0.686338721,0.686338721
"Au6Pt6","hollow|A_A_B|FCC",2.106341659,0.689322994,0.689322994
"Ir6Pt6","hollow|A_A_B|FCC",0.725065691,-0.691952974,0.691952974
"Cd6Rh6","hollow|A_B_B|HCP",0.721732024,-0.695286641,0.695286641
"Pt6Rh6","hollow|A_B_B|FCC",0.720528056,-0.696490609,0.696490609
"Pd6Ru6","hollow-tilt|A_A_B|HCP",0.718569653,-0.698449012,0.698449012
"Mn6Rh6","bridge|A_A|B",0.714624275,-0.70239439,0.70239439
"Cu6Fe6","top|B",0.706464125,-0.71055454,0.71055454
"La6Ru6","top|A",0.705321383,-0.711697282,0.711697282
"Mn6Pd6","bridge|A_A|B",2.131035173,0.714016508,0.714016508
"Mn6Ni6","hollow|A_A_B|HCP",0.700454083,-0.716564582,0.716564582
"Co6Y6","top|B",0.696978236,-0.720040429,0.720040429
"Mn6Ni6","hollow|A_A_B|FCC",0.693961855,-0.72305681,0.72305681
"Ir6Zn6","hollow|A_A_B|FCC",0.69379913,-0.723219535,0.723219535
