surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
Pt12,top|A,-0.312314032,0,0
Os6Ru6,hollow|A_A_B|HCP,-0.313083434,-0.000769402,0.000769402
Pt6Y6,hollow|A_B_B|FCC,-0.313268608,-0.000954576,0.000954576
Pt6Tc6,hollow|A_B_B|FCC,-0.311076595,0.001237437,0.001237437
Pt6Sc6,hollow|A_B_B|FCC,-0.314158556,-0.001844524,0.001844524
Au6Mo6,bridge|A_B|A,-0.310117802,0.00219623,0.00219623
Nb6Os6,hollow|A_B_B|HCP,-0.314538427,-0.002224395,0.002224395
Cd6Ni6,bridge|B_B|A,-0.314716661,-0.002402629,0.002402629
Cu6Pt6,bridge|B_B|A,-0.309796707,0.002517325,0.002517325
Co6Rh6,hollow|A_B_B|HCP,-0.314974217,-0.002660185,0.002660185
Cu6Pt6,hollow|A_B_B|HCP,-0.309619017,0.002695015,0.002695015
Ru6V6,bridge|A_A|B,-0.315136941,-0.002822909,0.002822909
Co6Ni6,hollow|A_A_B|FCC,-0.315235991,-0.002921959,0.002921959
Ag6Ir6,bridge|B_B|A,-0.315647971,-0.003333939,0.003333939
Tc6W6,bridge|B_B|A,-0.315790151,-0.003476119,0.003476119
Os6Tc6,bridge|B_B|A,-0.308475867,0.003838165,0.003838165
Os6Pt6,top|A,-0.308441036,0.003872996,0.003872996
Pd6Re6,hollow|A_A_B|HCP,-0.308433825,0.003880207,0.003880207
Cu6Re6,hollow|A_A_B|HCP,-0.316595608,-0.004281576,0.004281576
La6Pd6,hollow|A_A_B|FCC,-0.307524829,0.004789203,0.004789203
Co6Rh6,hollow|A_A_B|FCC,-0.307160604,0.005153428,0.005153428
Ag6Fe6,hollow|A_B_B|HCP,-0.307076657,0.005237375,0.005237375
Ni6Ru6,hollow|A_A_B|HCP,-0.31762964,-0.005315608,0.005315608
Ni6Ru6,hollow|A_A_B|HCP,-0.31762964,-0.005315608,0.005315608
Ni6Ru6,hollow|A_A_B|HCP,-0.31762964,-0.005315608,0.005315608
Co6Os6,hollow|A_A_B|FCC,-0.306850803,0.005463229,0.005463229
Pt6Tc6,hollow|A_B_B|HCP,-0.317942435,-0.005628403,0.005628403
Pd6Pt6,hollow|A_B_B|FCC,-0.306656241,0.005657791,0.005657791
Pd6Ta6,hollow|A_A_B|FCC,-0.306614336,0.005699696,0.005699696
Cu6Ni6,hollow|A_B_B|FCC,-0.305950786,0.006363246,0.006363246
Os6Zr6,bridge|B_B|A,-0.318881364,-0.006567332,0.006567332
Cu6Rh6,bridge|B_B|A,-0.305548466,0.006765566,0.006765566
Ru6Tc6,bridge|A_A|B,-0.305306965,0.007007067,0.007007067
La6Pd6,hollow|A_B_B|FCC,-0.305102607,0.007211425,0.007211425
Ir6Pd6,bridge|B_B|A,-0.304953625,0.007360407,0.007360407
Cu6Zr6,4fold|A_A_B_B,-0.304628721,0.007685311,0.007685311
