surface,LC,MV,EN,SE,DBC,DBF,DOS,CN,GCN,RxnE
Ag6Ir6,396.215,9.395,2.01610168662781,372.866666666667,-3.095754346,0.927271146,21.28,3,7.5,-0.221626245
Ag6La6,392.865,16.33,1.93,266.3,-4.632343285,0.991739357,11,1,7.5,0.447233244
Ag6La6,392.865,16.33,1.1,406.2,-0.60161169,0.470485231,11,1,7.5,0.291687803
Ag6La6,392.865,16.33,1.93,266.3,-4.632318036,0.991742285,11,2,7.33,-0.557652414
Ag6La6,392.865,16.33,1.1,406.2,-0.601534044,0.470460462,11,2,7.33,-0.552784569
Ag6La6,392.865,16.33,1.45705181788432,336.25,-3.511081343,0.846740789,11,5,7.615384615,-0.20130111
Ag6Mn6,649.89,8.81,1.93,266.3,-4.631274242,0.497500127,4.8068,1,7.5,3.749002425
Ag6Mn6,649.89,8.81,1.55,233.2,-1.225594169,0.513886508,4.8068,1,7.5,3.026536918
Ag6Mn6,649.89,8.81,1.93,266.3,-4.631279835,0.497498388,4.8068,2,7.33,2.448340998
Ag6Mn6,649.89,8.81,1.55,233.2,-1.225618267,0.51389172,4.8068,2,7.33,2.436977796
Ag6Mo6,361.615,9.825,1.93,266.3,-4.031766547,0.985109189,15.52,1,7.5,0.540172501
Ag6Mo6,361.615,9.825,2.16,636,-0.642507939,0.565569669,15.52,2,7.33,-0.616801254
Ag6Mo6,361.615,9.825,2.00380807800241,389.533333333333,-2.991827155,0.856374372,15.52,3,6.95454545454545,-0.296937832
Ag6Mo6,361.615,9.825,2.08043876345477,512.766666666667,-1.865956759,0.717015432,15.52,3,7.5,-0.251448425
Ag6Mo6,361.615,9.825,2.08043876345477,512.766666666667,-1.865965929,0.71701586,15.52,3,6.95454545454545,-0.602948211
Ag6Nb6,369.285,10.55,1.6,716.8,-0.452977269,0.522957925,10.67,2,7.33,-0.659415914
Ag6Nb6,369.285,10.55,1.81305731573497,416.466666666667,-3.279536272,0.854832342,10.67,3,7.5,-0.157808611
Ag6Nb6,369.285,10.55,1.81305731573497,416.466666666667,-3.27939192,0.854811669,10.67,3,6.95454545454545,-0.133594153
Ag6Ni6,380.465,8.43,1.93,266.3,-3.962840601,0.49212494,9.276,2,7.33,-0.290750099
Ag6Ni6,380.465,8.43,1.91,395.2,-0.920123825,0.475793285,9.276,2,7.33,-0.291363444
Ag6Ni6,380.465,8.43,1.92331017162626,309.266666666667,-2.954088451,0.486713903,9.276,3,6.95454545454545,0.024687256
Ag6Ni6,380.465,8.43,1.92331017162626,309.266666666667,-2.954082733,0.486714831,9.276,3,7.5,0.079099683
Ag6Os6,340.985,9.345,1.93,266.3,-3.983369561,0.985225781,8.452,2,7.33,0.218940754
Ag6Os6,340.985,9.345,2.2,661,-1.625562052,0.699476326,8.452,2,7.33,0.226217486
Ag6Os6,340.985,9.345,2.01610168662781,397.866666666667,-3.209183746,0.891431854,8.452,3,7.5,0.369796176
Ag6Os6,340.985,9.345,2.10604456519353,529.433333333333,-2.423541758,0.796189325,8.452,3,7.5,0.369598485
Ag6Pd6,398.8,9.415,2.2,396.7,-1.408819223,0.943049323,2.146,2,7.33,-0.181667689
Ag6Pd6,398.8,9.415,2.01610168662781,309.766666666667,-2.827955297,0.971910199,2.146,3,7.5,0.113710387
Ag6Pd6,398.8,9.415,2.01610168662781,309.766666666667,-2.82795677,0.971910049,2.146,3,6.95454545454545,0.039801139
Ag6Pd6,398.8,9.415,2.10604456519353,353.233333333333,-2.119857797,0.95751042,2.146,3,7.5,-0.199235902
Ag6Pt6,400.475,9.68,2.28,510,-1.728668999,0.917455065,4.655,1,7.5,-0.131804732
Ag6Pt6,400.475,9.68,2.28,510,-1.728603472,0.917447519,4.655,2,7.33,-0.340017534
Ag6Re6,342.315,9.565,1.93,266.3,-3.941856371,0.984075508,22.25,1,7.5,0.950766296
Ag6Re6,342.315,9.565,1.93,266.3,-3.94178399,0.984065375,22.25,2,7.33,0.670388633
Ag6Re6,342.315,9.565,1.9,738,-0.895992586,0.627753805,22.25,2,7.33,-0.613233026
Ag6Re6,342.315,9.565,1.91994773439902,423.533333333333,-2.960080285,0.869228814,22.25,3,7.5,-0.296998105
Ag6Re6,342.315,9.565,1.91994773439902,423.533333333333,-2.960065325,0.869217355,22.25,3,6.95454545454545,0.008403011
Ag6Re6,342.315,9.565,1.91994773439902,423.533333333333,-2.960080285,0.869228814,22.25,3,7.5,-0.29046057
Ag6Rh6,394.435,9.275,2.28,516.7,-1.248226509,0.839658407,27.47,2,7.33,-0.289229119
Ag6Rh6,394.435,9.275,1.93,266.3,-3.730346929,0.985541195,27.47,2,7.33,0.580359089
Ag6Rh6,394.435,9.275,2.28,516.7,-1.248226509,0.839658407,27.47,2,7.33,-0.295158751
Ag6Rh6,394.435,9.275,2.09771304043237,391.5,-2.497501135,0.913083422,27.47,2,7.33,-0.114883878
Ag6Rh6,394.435,9.275,2.04024891234185,349.766666666667,-2.910288226,0.937343401,27.47,3,6.95454545454545,0.059795383
Ag6Rh6,394.435,9.275,2.04024891234185,349.766666666667,-2.910268644,0.937339449,27.47,3,7.5,-0.123540363
Ag6Ru6,339.56,9.22,1.93,266.3,-3.906971124,0.985722838,13.38,2,7.33,-0.222048702
Ag6Ru6,339.56,9.22,2.2,605.7,-1.352322888,0.713778939,13.38,2,7.33,-0.22055643
Ag6Ru6,339.56,9.22,2.2,605.7,-1.352322888,0.713778939,13.38,2,7.33,-0.194623709
Ag6Ru6,339.56,9.22,2.01610168662781,379.433333333333,-3.06483906,0.896080282,13.38,3,7.5,-0.102645694
Ag6Sc6,369.715,12.635,1.36,334,0.012886537,0.275216418,19.02,1,7.5,0.182526344
Ag6Sc6,369.715,12.635,1.36,334,0.012999224,0.275211664,19.02,2,7.33,-0.776159282
Ag6Sc6,369.715,12.635,1.62012345208629,300.15,-3.106486359,0.731857235,19.02,5,7.615384615,0.090964935
Ag6Ta6,369.33,10.56,1.5,771,0.212409092,0.416541959,6.743,2,7.33,-0.750986303
Ag6Ta6,369.33,10.56,1.77446985423883,434.533333333333,-3.00798947,0.797910285,6.743,3,7.5,-0.176564194
Ag6Ta6,369.33,10.56,1.77446985423883,434.533333333333,-3.008344118,0.797949365,6.743,3,6.95454545454545,-0.120385611
Ag6Tc6,341.015,9.45,1.9,573,-0.899835265,0.641062473,9.099,2,7.33,-0.484114873
Ag6Tc6,341.015,9.45,1.91994773439902,368.533333333333,-2.93673867,0.874122093,9.099,3,6.95454545454545,0.103950071
Ag6Ti6,351.805,10.455,1.93,266.3,-4.559950618,0.986970322,26.85,2,7.33,-0.686154092
Ag6Ti6,351.805,10.455,1.54,443.7,-0.07551561,0.425691403,26.85,2,7.33,-0.690483015
Ag6Ti6,351.805,10.455,1.79010475547684,325.433333333333,-3.41737331,0.843958054,26.85,3,7.5,0.02143087
Ag6Ti6,351.805,10.455,1.79010475547684,325.433333333333,-3.417338499,0.843953617,26.85,3,6.95454545454545,-0.115952197
Ag6Ti6,351.805,10.455,1.66034975936829,384.566666666667,-1.969607835,0.662753162,26.85,3,6.95454545454545,-0.113752836
Ag6V6,355.765,9.295,1.63,475.8,-0.354375246,0.529882707,22.89,2,7.33,-0.622612654
Ag6V6,355.765,9.295,1.82431883004512,336.133333333333,-3.253486358,0.863090838,22.89,3,7.5,-0.163296875
Ag6V6,355.765,9.295,1.82431883004512,336.133333333333,-3.25358021,0.863109948,22.89,3,6.95454545454545,-0.07782102
Ag6V6,355.765,9.295,1.72442445267212,405.966666666667,-1.949365788,0.713199517,22.89,3,6.95454545454545,-0.630291162
Ag6V6,355.765,9.295,1.63,475.8,-0.354375246,0.529882707,22.89,2,7.33,-0.628281465
Ag6W6,362.525,9.87,2.36,835,-0.690594927,0.558902525,22.34,2,7.33,-0.722673946
Ag6W6,362.525,9.87,2.06383769480692,455.866666666667,-3.108068856,0.85453764,22.34,3,7.5,-0.267840971
Ag6W6,362.525,9.87,2.06383769480692,455.866666666667,-3.108059415,0.854537909,22.34,3,6.95454545454545,-0.123299406
Ag6Y6,386.635,15.075,1.93,266.3,-4.770110433,0.986198507,8.812,1,7.5,0.44578138
Ag6Y6,386.635,15.075,1.22,391.4,-0.055289811,0.314134059,8.812,1,7.5,0.198697933
Ag6Y6,386.635,15.075,1.22,391.4,-0.056268904,0.314308393,8.812,2,7.33,-0.802010777
Ag6Y6,386.635,15.075,1.53447059274526,328.85,-3.148480651,0.755056087,8.812,5,7.615384615,0.090147641
Ag6Zn6,337.51,9.715,1.65,126.35,-7.122107868,0.997780442,3.599,1,7.5,0.70255589
Ag6Zn6,337.51,9.715,1.93,266.3,-4.396367536,0.983545543,3.599,2,7.33,0.549396752
Ag6Zn6,337.51,9.715,1.78451674130561,196.325,-5.762955405,0.990681484,3.599,2,7.33,0.460793084
Ag6Zn6,337.51,9.715,1.78451674130561,196.325,-5.762947734,0.990680316,3.599,2,7.33,0.473424881
Ag6Zn6,337.51,9.715,1.8317499460075,219.65,-5.308160319,0.988306551,3.599,3,6.95454545454545,0.439329561
Ag6Zn6,337.51,9.715,1.73850148429973,173,-6.216721021,0.993052649,3.599,3,7.5,0.510159161
