,Feature,Pearson,Spearman,If spearman is greater
0,LC,0.23978938051593435,0.1896679834202676,0
1,MV,-0.1298476751006113,-0.18770161318514622,1
2,EN,0.12118944773159653,0.2246136786085158,1
3,IE,0.3250604124921001,0.4226094820059583,1
4,EA,0.119100490683563,0.18281913835478303,1
5,SE,-0.4397803271805428,-0.43304164830441244,0
6,DBC,-0.4536563025369681,-0.5211213309598335,1
7,DBW,-0.3504326940008323,-0.42552074598766715,1
8,DBF,0.2016308963076893,0.23053513217697258,1
9,DOS,-0.31670184180264194,-0.3210504420730923,1
10,WF,0.04401178227023832,0.1457353484751699,1
11,EAC,-0.38730682963429625,-0.37263523170505386,0
12,GCN,0.22065834200805515,0.2501351457743675,1
13,VE,0.4243333417979737,0.5096246145753639,1
