surface,LC,MV,EN,IE,EA,SE,DBC,DBW,DBF,DOS,WF,CN,GCN,VE,RxnE
Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,-4.003562342,1.062093399,0.987269544,0.001824,4.681726044,1,7.5,11,0.844867346
Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,-4.003599877,1.061910925,0.987274965,0.001824,4.681726044,2,7.33,11,0.462215151
Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,-4.003571624,1.061867956,0.98727677,0.001824,4.681726044,3,7.5,11,0.355347475
Ag12,408.53,10.27,1.93,7.576234,1.302,266.3,-4.003607572,1.061738624,0.987279861,0.001824,4.681726044,3,6.95454545454545,11,0.338155323
Ag6Au6,408.175,10.24,1.93,7.576234,1.302,266.3,-3.861503572,1.144702744,0.986323798,0.7015,5.024871871,1,7.5,11,0.970614824
Ag6Au6,408.175,10.24,2.54,9.225554,2.30863,342.5,-3.316680333,1.303713272,0.977123367,0.7015,5.024871871,1,7.5,11,0.508873015
Ag6Au6,408.175,10.24,1.93,7.576234,1.302,266.3,-3.86147665,1.144726708,0.986322895,0.7015,5.024871871,2,7.33,11,0.319611853
Ag6Au6,408.175,10.24,2.54,9.225554,2.30863,342.5,-3.316640452,1.303704848,0.977123434,0.7015,5.024871871,2,7.33,11,0.319847232
Ag6Au6,408.175,10.24,2.11502795299008,8.12600733333333,1.63754333333333,291.7,-3.680201777,1.227132358,0.983260921,0.7015,5.024871871,3,7.5,11,0.397102664
Ag6Au6,408.175,10.24,2.11502795299008,8.12600733333333,1.63754333333333,291.7,-3.680193833,1.227138015,0.983260761,0.7015,5.024871871,3,6.95454545454545,11,0.347848562
Ag6Au6,408.175,10.24,2.31779442587016,8.67578066666667,1.97308666666667,317.1,-3.498581792,1.278971208,0.980193193,0.7015,5.024871871,3,7.5,11,0.321077867
Ag6Au6,408.175,10.24,2.31779442587016,8.67578066666667,1.97308666666667,317.1,-3.498588619,1.278967269,0.980193506,0.7015,5.024871871,3,6.95454545454545,11,0.319901655
Ag6Cd6,353.235,11.635,1.93,7.576234,1.302,266.3,-4.280719492,1.056639822,0.987097116,8.012,4.418197965,1,7.5,11,0.879984725
Ag6Cd6,353.235,11.635,1.69,8.99382,0,106.3,-8.712204761,0.861713296,0.997180114,8.012,4.418197965,1,7.5,12,0.971460554
Ag6Cd6,353.235,11.635,1.93,7.576234,1.302,266.3,-4.280716074,1.056665077,0.987096604,8.012,4.418197965,2,7.33,11,0.57755999
Ag6Cd6,353.235,11.635,1.80601771862847,8.285027,0.651,186.3,-6.500172965,2.416361577,0.992149446,8.012,4.418197965,2,7.33,11.4891252930761,0.637607623
Ag6Cd6,353.235,11.635,1.80601771862847,8.285027,0.651,186.3,-6.500184975,2.416326339,0.992150343,8.012,4.418197965,2,7.33,11.4891252930761,0.631048183
Ag6Cd6,353.235,11.635,1.846433938851,8.04876266666667,0.868,212.966666666667,-5.761405546,2.315357206,0.990466635,8.012,4.418197965,3,7.5,11.323713482402,0.517986107
Ag6Cd6,353.235,11.635,1.846433938851,8.04876266666667,0.868,212.966666666667,-5.761430733,2.315371969,0.990466643,8.012,4.418197965,3,6.95454545454545,11.323713482402,0.532293989
Ag6Cd6,353.235,11.635,1.76648616090197,8.52129133333333,0.434,159.633333333333,-7.238706923,2.285938165,0.99382731,8.012,4.418197965,3,7.5,11.6569533665029,0.611268228
Ag6Cd6,353.235,11.635,1.76648616090197,8.52129133333333,0.434,159.633333333333,-7.238712871,2.285911477,0.9938279,8.012,4.418197965,3,6.95454545454545,11.6569533665029,0.622470474
Ag6Co6,329.62,8.47,1.93,7.576234,1.302,266.3,-4.115050533,1.032931281,0.494320593,13.028,4.831467375,1,7.5,11,0.790869756
Ag6Co6,329.62,8.47,1.93,7.576234,1.302,266.3,-4.115066043,1.032774236,0.494331378,13.028,4.831467375,2,7.33,11,0.502743378
Ag6Co6,329.62,8.47,1.88,7.88101,0.662,391.2,-1.361185334,1.192143781,0.493111975,13.028,4.831467375,2,7.33,9,-0.236969792
Ag6Co6,329.62,8.47,1.91318729907483,7.677826,1.08866666666667,307.933333333333,-3.20242008,1.178480524,0.493927132,13.028,4.831467375,3,7.5,10.2882764781018,0.044001488
Ag6Co6,329.62,8.47,1.91318729907483,7.677826,1.08866666666667,307.933333333333,-3.202108415,1.178991047,0.493919013,13.028,4.831467375,3,6.95454545454545,10.2882764781018,0.074852122
Ag6Co6,329.62,8.47,1.91318729907483,7.677826,1.08866666666667,307.933333333333,-3.20242008,1.178480524,0.493927132,13.028,4.831467375,3,7.5,10.2882764781018,0.044630071
Ag6Cu6,385.01,8.69,1.93,7.576234,1.302,266.3,-4.169663289,1.227916346,0.984403123,3.905,4.78821049,1,7.5,11,0.837703269
Ag6Cu6,385.01,8.69,1.93,7.576234,1.302,266.3,-4.169668551,1.227939349,0.984402667,3.905,4.78821049,2,7.33,11,0.494698197
Ag6Cu6,385.01,8.69,1.9,7.72638,1.235,313.1,-2.190629255,0.956398565,0.981300699,3.905,4.78821049,2,7.33,11,0.077060734
Ag6Cu6,385.01,8.69,1.91494125236259,7.651307,1.2685,289.7,-3.179610478,1.479941651,0.982849115,3.905,4.78821049,2,7.33,11,0.254191877
Ag6Cu6,385.01,8.69,1.91994773439902,7.62628266666667,1.27966666666667,281.9,-3.509360635,1.476712111,0.983367864,3.905,4.78821049,3,7.5,11,0.194425202
Ag6Cu6,385.01,8.69,1.91994773439902,7.62628266666667,1.27966666666667,281.9,-3.509374146,1.476701755,0.98336803,3.905,4.78821049,3,6.95454545454545,11,0.184468556
Ag6Cu6,385.01,8.69,1.90994782529736,7.67633133333333,1.25733333333333,297.5,-2.849790611,1.40792997,0.982332207,3.905,4.78821049,3,7.5,11,0.07342298
