Test Y,Predicted Y
-0.688173585,-0.49495703
-2.890881639,-2.6844394
-2.086712863,-2.2026148
-1.068451858,-1.0490463
-3.351034031,-2.9100082
-0.058647335,0.051462606
1.684438676,1.6128087
-2.582199782,-2.5730114
-1.912593204,-1.9002051
0.904440412,-0.28156462
-2.207653314,-1.6397663
-2.303287043,-2.3745842
0.134473897,-0.6029469
0.481918914,0.46072954
-0.989690548,-0.80902207
-2.070251881,-1.6708753
-0.339866511,-0.27150947
-0.554093028,-0.35880566
-3.472570548,-3.3170185
-2.128635537,-1.4467199
-1.061125873,-1.6446718
-2.164699465,-1.7674258
-3.305107202,-2.4627604
-3.049899524,-2.7977138
-2.706620433,-3.259326
-1.269130236,-1.0023587
0.645319601,0.37584382
-1.062598962,-0.78684235
1.81037677,1.9695439
0.700454083,0.41491318
-2.336757453,-2.092508
-2.027972737,-2.0698545
1.347396707,0.6449426
0.805631523,0.37563246
-0.618073115,-1.2726866
-2.038984232,-2.3500824
0.468323427,0.49525464
-1.111940139,-1.1813673
0.224054181,-0.043420896
-2.756094674,-2.4497674
-1.810907664,-1.76724
-2.131893828,-1.7746513
-2.372684099,-2.2151442
0.081217681,0.5048058
0.21528885,-0.47830772
-2.28698824,-2.0920904
-0.380181265,-0.500529
1.174589589,-0.3984055
-0.620399552,-0.5378574
-1.130923889,-1.7105981
-1.581256646,-1.8652087
0.28486659,-0.0066374987
-1.255481822,-1.2125882
-2.768691913,-2.764967
-2.120782332,-1.5494546
0.568408121,0.66528994
-1.436209357,-1.6353321
-2.03028965,-1.5190613
-0.006540528,-0.00202246
-0.591697936,-0.19816096
1.471312042,1.2053525
-2.875975787,-2.8074954
-0.844595368,-0.69577295
-0.059729124,-0.04246755
-1.741324618,-2.1153433
0.990622266,0.94780105
-0.796872315,-0.4050659
-1.891232132,-1.3332214
-0.743501403,-0.22651573
-2.937190244,-1.7933604
1.023988185,1.4089088
-1.54056311,-1.6384034
0.942270358,1.2762005
-2.996965083,-2.6530514
-3.000117657,-2.9132233
-2.135966012,-1.8345722
0.990014772,0.83697504
1.460941784,1.7376902
-1.661695537,0.23622064
0.082503011,-0.09964806
-0.936754747,-1.0844858
-2.749419314,-2.160902
1.696638083,2.8173203
-2.786960275,-3.4122574
-3.6918909,-3.2569041
-2.581060305,-2.2920337
-1.178957968,-0.9768932
-1.068451858,-1.0490463
-1.422614142,-1.6609327
-0.773482362,-0.6876093
-0.22659586,-1.3057573
0.869152281,0.9611338
-2.794331295,-2.3936503
0.720528056,0.76677203
1.49989039,1.7135599
-2.805203875,-3.0315988
0.871470963,0.5529909
-2.275853886,-2.373586
-1.766781004,-1.935324
-2.55885704,-2.6657212
-1.746280083,-1.5311165
0.755444072,1.2120267
-1.021166228,-1.0971727
-1.149580694,-0.36260235
2.455077584,1.8639376
-1.360732462,-1.4225998
0.323209334,0.3203588
0.59586155,0.847987
-0.756118778,-0.5729811
-0.21068414,-0.16991328
0.341442458,0.49831027
0.818931768,0.4336291
1.332403778,1.6008778
-3.62765802,-3.1304646
-3.102176266,-3.0091932
-1.390912335,-1.7112697
-1.690135923,-1.7937571
-0.641149048,-0.7833138
-0.996031073,-0.6907239
-0.203148899,0.039344847
-3.47983762,-2.7691936
-2.519404343,-1.719851
-1.470756114,-1.7736298
-0.895976991,-0.84960645
-1.776304172,-1.6742187
-1.144779382,-1.0260063
-1.173692702,-1.3546495
-2.384425947,-1.7856612
-2.608167877,-2.0840914
-2.558963845,-2.1176424
-1.287207166,-1.1554278
-0.253032128,0.3943631
-3.538077601,-3.5465698
-2.579229795,-2.390571
-0.766491349,-1.0902275
1.111999324,0.9201048
-2.977393839,-2.4464133
-1.209960714,-0.96400696
-3.25582031,-3.3074546
-2.464727829,-2.6784568
-1.283977719,-0.93086
0.189130275,0.51478153
-2.102805403,-1.9530231
-1.297368849,-1.8031868
0.737789598,1.031131
