surface,reaction energy (eV),site
Ag6Y6,-2.968361564,bridge|A_A|B
Ag6Y6,-2.968642658,bridge|B_B|A
Ag6Zn6,0.507622788,bridge|B_B|A
Ag6Zr6,-2.650263344,bridge|A_A|B
Ag6Zr6,-2.649893541,bridge|B_B|A
Ag6Zr6,-1.279304028,bridge|A_B|A
Ag6Zr6,-1.186021091,hollow-tilt|A_A_B|FCC
Au12,3.705461217,top|A
Au12,2.619231618,hollow|A_A_A|HCP
Au12,2.415031951,hollow|A_A_A|FCC
Au6Cd6,1.696638083,hollow|A_A_B|HCP
Au6Cd6,1.688520519,hollow|A_A_B|FCC
Au6Cd6,1.460941784,hollow|A_B_B|HCP
Au6Cd6,1.437884218,hollow|A_B_B|FCC
Au6Co6,1.327002455,top|B
Au6Co6,0.368093424,bridge|B_B|A
Au6Co6,1.357766285,top-tilt|B
Au6Co6,1.289035091,hollow-tilt|A_A_B|FCC
Au6Cr6,-0.394555814,bridge|B_B|A
Au6Cu6,2.075916746,hollow|A_A_B|HCP
Au6Cu6,1.922733798,hollow|A_A_B|FCC
Au6Cu6,1.463114069,hollow|A_B_B|HCP
Au6Cu6,1.365880039,hollow|A_B_B|FCC
Au6Fe6,1.011918303,top|B
Au6Fe6,0.027534519,bridge|B_B|A
Au6Fe6,0.942270358,hollow-tilt|A_A_B|FCC
Au6Hf6,-1.054402621,top|B
Au6Hf6,-3.022896715,bridge|B_B|A
Au6Hg6,2.174596653,hollow|A_B_B|HCP
Au6Ir6,1.581751213,top|B
Au6La6,-0.716519139,top|B
Au6La6,-2.642799261,bridge|B_B|A
Au6Mo6,-0.90069735,top|B
Au6Mo6,-1.197254223,bridge|B_B|A
Au6Nb6,-1.078818035,top|B
Au6Nb6,-1.781963051,bridge|B_B|A
Au6Ni6,0.737789598,bridge|B_B|A
Au6Ni6,1.573821407,hollow|A_A_B|FCC
Au6Pd6,2.426776929,hollow|A_A_B|HCP
Au6Pd6,2.198265115,hollow|A_A_B|FCC
Au6Pd6,2.020223343,hollow|A_B_B|HCP
Au6Pd6,1.870309979,hollow|A_B_B|FCC
Au6Pt6,2.422497122,hollow|A_A_B|HCP
Au6Pt6,2.106341659,hollow|A_A_B|FCC
Au6Pt6,1.774545364,hollow|A_B_B|HCP
Au6Pt6,1.678456389,hollow|A_B_B|FCC
Au6Re6,0.619271912,top|B
Au6Rh6,1.866344328,hollow|A_A_B|FCC
Au6Rh6,0.866565159,hollow|A_B_B|FCC
Au6Rh6,1.81761391,hollow-tilt|A_A_B|HCP
Au6Ru6,1.649569737,top|B
Au6Ru6,1.649216261,top-tilt|B
Au6Sc6,-2.668980694,bridge|B_B|A
Au6Sc6,-0.550737049,hollow-tilt|A_A_B|FCC
Au6Ta6,-1.215210743,top|B
Au6Ta6,-2.086712863,bridge|B_B|A
Au6Tc6,1.013833441,top|B
Au6Ti6,-1.09895269,top|B
Au6Ti6,-2.475922593,bridge|B_B|A
Au6V6,-0.997681307,top|B
Au6V6,-1.79231467,bridge|B_B|A
Au6W6,-1.206209761,top|B
Au6W6,-1.470756114,bridge|B_B|A
Au6Y6,2.051169353,top|A
Au6Y6,-0.194579626,top|B
Au6Y6,-2.668131563,bridge|B_B|A
Au6Y6,-0.264507304,hollow|A_A_B|HCP
Au6Zn6,1.583280901,hollow|A_A_B|FCC
Au6Zr6,-1.029638221,top|B
Au6Zr6,-2.61585142,bridge|B_B|A
Cd12,0.904440412,hollow|A_A_A|HCP
Cd12,1.025209024,hollow|A_A_A|FCC
Cd6Cu6,0.515538987,bridge|B_B|A
Cd6Cu6,0.993836339,hollow|A_A_B|FCC
Cd6Fe6,0.255223052,hollow-tilt|A_A_B|FCC
Cd6Fe6,0.292584827,hollow-tilt|A_A_B|HCP
Cd6Hf6,-3.057821302,bridge|B_B|A
Cd6Hf6,-1.216663831,hollow|A_A_B|FCC
Cd6Hf6,-1.335537849,hollow-tilt|A_A_B|HCP
Cd6Hg6,1.253113887,hollow|A_A_B|FCC
Cd6Ir6,0.653885609,bridge|B_B|A
Cd6Ir6,1.347396707,hollow|A_A_B|FCC
Cd6Ir6,0.610801961,hollow|A_B_B|HCP
Cd6La6,-0.795606714,top|B
Cd6La6,-2.799056688,bridge|B_B|A
Cd6Mn6,-0.203148899,bridge|B_B|A
Cd6Mn6,0.683898677,hollow|A_A_B|FCC
Cd6Mn6,0.790535328,hollow-tilt|A_A_B|HCP
Cd6Mo6,-0.662429711,top|A
Cd6Mo6,-1.133030867,bridge|A_A|A
Cd6Mo6,-0.665241191,top|B
Cd6Mo6,-1.130750281,bridge|B_B|B
Cd6Mo6,-1.130923889,bridge|A_A|B
Cd6Mo6,-1.130918719,bridge|B_B|A
Cd6Nb6,-1.103902985,top|B
Cd6Nb6,-1.934480681,bridge|B_B|B
Cd6Nb6,-1.934436598,bridge|A_A|B
Cd6Nb6,-1.934807762,bridge|B_B|A
Cd6Nb6,-1.090510903,top-tilt|A
Cd6Ni6,0.387133365,bridge|B_B|A
Cd6Ni6,0.905952413,hollow|A_A_B|FCC
Cd6Pd6,1.471312042,hollow|A_A_B|FCC
Cd6Pd6,1.744658965,hollow|A_B_B|HCP
Cd6Pd6,1.755822979,hollow|A_B_B|FCC
Cd6Pt6,1.829835086,hollow|A_A_B|HCP
Cd6Pt6,1.4217012,hollow|A_A_B|FCC
Cd6Pt6,1.685431483,hollow|A_B_B|HCP
Cd6Pt6,1.652899457,hollow|A_B_B|FCC
Cd6Re6,-0.204865257,top|B
Cd6Rh6,0.755444072,bridge|B_B|A
Cd6Rh6,1.417697589,bridge|A_B|A
Cd6Rh6,1.235581049,hollow|A_A_B|FCC
Cd6Rh6,0.721732024,hollow|A_B_B|HCP
Cd6Rh6,1.637444072,4fold|A_A_B_B
Cd6Sc6,-2.971840404,bridge|B_B|A
Cd6Ta6,-1.224046007,top|B
Cd6Ta6,-2.286633132,bridge|A_A|B
Cd6Ta6,-2.289746114,bridge|B_B|A
Cd6Ta6,-1.326918099,top-tilt|B
Cd6Tc6,0.481163526,top|B
Cd6Tc6,0.435261459,bridge-tilt|A_B|A
Cd6Tc6,0.39931182,bridge-tilt|B_B|B
Cd6Ti6,-2.739338449,bridge|B_B|A
Cd6Ti6,-1.179526278,hollow-tilt|A_A_B|FCC
Cd6Ti6,-1.283942072,hollow-tilt|A_A_B|HCP
Cd6V6,-2.011007936,bridge|B_B|B
Cd6V6,-2.006093968,bridge|B_B|A
Cd6V6,-0.986876211,top-tilt|B
Cd6V6,-0.777885708,hollow-tilt|A_A_B|FCC
Cd6W6,-1.071517629,top|B
Cd6W6,-1.470453931,bridge|B_B|B
Cd6W6,-1.462704946,bridge|B_B|A
Cd6Y6,-0.212418593,top|B
Cd6Y6,-2.826294739,bridge|A_A|B
Cd6Y6,-2.8302076,bridge|B_B|A
Cd6Y6,-1.102929498,bridge|A_B|B
Cd6Y6,-1.548277673,4fold|A_A_B_B
Cd6Zn6,0.482898796,hollow|A_A_B|HCP
Cd6Zn6,0.607710611,hollow|A_A_B|FCC
Cd6Zn6,0.134888054,hollow|A_B_B|HCP
Cd6Zn6,0.326952805,hollow|A_B_B|FCC
Cd6Zr6,-2.738200741,bridge|B_B|A
Cd6Zr6,-0.006902031,bridge|A_B|A
Cd6Zr6,-1.125139701,hollow|A_A_B|FCC
Cd6Zr6,-1.178505987,hollow-tilt|A_A_B|HCP
Co12,1.332403778,top|A
Co12,-0.253032128,hollow|A_A_A|HCP
Co12,-0.20143499,hollow|A_A_A|FCC
Co6Cu6,0.062586591,bridge|A_A|B
Co6Cu6,-0.079230978,hollow|A_A_B|HCP
Co6Cu6,-0.097794856,hollow|A_A_B|FCC
Co6Cu6,0.513194183,hollow|A_B_B|HCP
Co6Cu6,0.423933905,hollow|A_B_B|FCC
Co6Fe6,1.174589589,hollow|A_B_B|HCP
Co6Fe6,1.080796439,4fold|A_A_B_B
Co6Hf6,-2.702924719,hollow|A_B_B|FCC
Co6Hf6,-1.766781004,4fold|A_A_B_B
Co6Hg6,1.065374795,top|A
Co6Hg6,3.657370267,top|B
Co6Hg6,1.080803377,top-tilt|A
Co6Ir6,1.358237858,top|B
Co6Ir6,0.374171766,hollow|A_A_B|HCP
Co6Ir6,0.353940647,hollow|A_A_B|FCC
Co6Ir6,0.290400977,hollow|A_B_B|HCP
Co6Ir6,0.367625252,hollow|A_B_B|FCC
Co6La6,-1.707129705,bridge|B_B|A
Co6La6,-1.999080914,hollow|A_B_B|FCC
Co6La6,-1.935813222,4fold|A_A_B_B
Co6Ni6,-0.032668627,hollow|A_A_B|HCP
Co6Ni6,-0.073014946,hollow|A_A_B|FCC
Co6Ni6,0.181381153,hollow|A_B_B|HCP
Co6Ni6,0.183127715,hollow|A_B_B|FCC
Co6Os6,1.652553737,top|A
Co6Os6,0.42683491,top|B
Co6Os6,-0.017137185,hollow|A_A_B|HCP
Co6Os6,0.215091295,hollow|A_A_B|FCC
Co6Os6,-0.380181265,hollow|A_B_B|HCP
Co6Os6,-0.334788731,hollow|A_B_B|FCC
Co6Pd6,1.212888115,top|A
Co6Pd6,0.175269884,hollow|A_A_B|HCP
Co6Pd6,0.158548625,hollow|A_A_B|FCC
Co6Pd6,0.871470963,hollow|A_B_B|HCP
Co6Pd6,0.84923314,hollow|A_B_B|FCC
Co6Pt6,1.49989039,top|A
Co6Pt6,0.624480715,hollow|A_A_B|HCP
Co6Pt6,0.425774074,hollow|A_A_B|FCC
Co6Pt6,1.085054476,hollow|A_B_B|HCP
Co6Pt6,1.147464873,hollow|A_B_B|FCC
Co6Re6,-0.482876483,top|B
Co6Re6,-0.461726299,hollow|A_A_B|HCP
Co6Re6,-0.194360711,hollow|A_A_B|FCC
Co6Re6,-1.164200146,hollow|A_B_B|HCP
Co6Re6,-0.920002603,hollow|A_B_B|FCC
Co6Rh6,1.285948912,top|A
Co6Rh6,0.091649437,hollow|A_A_B|HCP
Co6Rh6,0.163127484,hollow|A_A_B|FCC
Co6Rh6,0.224054181,hollow|A_B_B|HCP
Co6Rh6,0.317961483,hollow|A_B_B|FCC
Co6Ru6,-0.198616163,hollow|A_A_B|HCP
Co6Ru6,0.044027747,hollow|A_A_B|FCC
Co6Ru6,-0.363146258,hollow|A_B_B|HCP
Co6Ru6,-0.298040709,hollow|A_B_B|FCC
Co6Sc6,0.050415347,top|A
Co6Sc6,0.050415347,top|A
Co6Sc6,0.050415347,top|A
Co6Sc6,0.604218574,top|B
Co6Sc6,0.604218574,top|B
Co6Sc6,0.604218574,top|B
Co6Sc6,-1.810907664,bridge|B_B|A
Co6Sc6,-1.810907664,bridge|B_B|A
Co6Sc6,-1.810907664,bridge|B_B|A
Co6Sc6,-2.176317229,hollow|A_B_B|FCC
Co6Sc6,-2.176317229,hollow|A_B_B|FCC
Co6Sc6,-2.176317229,hollow|A_B_B|FCC
Co6Sc6,-2.28698824,4fold|A_A_B_B
Co6Sc6,-2.28698824,4fold|A_A_B_B
Co6Sc6,-2.28698824,4fold|A_A_B_B
Co6Ti6,0.766308897,top|A
Co6Ti6,-0.566314749,top|B
Co6Ti6,-2.233408073,bridge|B_B|A
Co6Ti6,-2.535144496,hollow|A_B_B|FCC
Co6Ti6,-1.607921217,4fold|A_A_B_B
Co6V6,-1.339338327,hollow|A_A_B|HCP
Co6V6,-2.130721834,hollow|A_A_B|FCC
Co6V6,-2.131296675,hollow|A_B_B|FCC
Co6W6,-0.907964831,hollow|A_A_B|HCP
Co6W6,-0.776859839,hollow|A_A_B|FCC
Co6W6,-1.607730329,hollow|A_B_B|HCP
Co6W6,-1.503300113,hollow|A_B_B|FCC
Co6Y6,-0.18960661,top|A
Co6Y6,0.696978236,top|B
Co6Y6,-1.729924409,bridge|B_B|A
Co6Y6,-2.155700388,hollow|A_B_B|FCC
Co6Y6,-2.372213342,4fold|A_A_B_B
Co6Zn6,0.247652301,bridge|A_A|B
Co6Zn6,0.108090147,hollow|A_A_B|HCP
Co6Zn6,0.149780981,hollow|A_A_B|FCC
Co6Zn6,0.633955719,hollow|A_B_B|HCP
Co6Zn6,0.564899757,hollow|A_B_B|FCC
Co6Zr6,0.59128582,top|A
Co6Zr6,-0.480626782,top|B
Co6Zr6,-2.309373413,bridge|B_B|A
Co6Zr6,-1.87085203,4fold|A_A_B_B
Cr12,-0.926688303,top|A
Cr12,-2.500851622,hollow|A_A_A|HCP
Cr12,-2.499425337,hollow|A_A_A|FCC
Cr6Cu6,-1.525893725,bridge|A_A|B
Cr6Cu6,-1.646489136,hollow|A_A_B|HCP
Cr6Cu6,-1.54056311,hollow|A_A_B|FCC
Cr6Cu6,-0.68120475,hollow|A_B_B|FCC
Cr6Cu6,-0.575949348,hollow-tilt|A_B_B|HCP
Cr6Fe6,-1.64291805,hollow|A_A_B|HCP
Cr6Fe6,-1.61504162,hollow|A_A_B|FCC
Cr6Fe6,-1.329592978,hollow|A_B_B|HCP
Cr6Fe6,-1.24770889,hollow|A_B_B|FCC
Cr6Hf6,0.03303394,top|B
Cr6Hf6,0.03303394,top|B
Cr6Hf6,0.03303394,top|B
Cr6Hf6,-2.606100084,bridge|A_A|B
Cr6Hf6,-2.606100084,bridge|A_A|B
Cr6Hf6,-2.606100084,bridge|A_A|B
Cr6Hf6,-2.612294756,hollow|A_A_B|HCP
Cr6Hf6,-2.612294756,hollow|A_A_B|HCP
Cr6Hf6,-2.612294756,hollow|A_A_B|HCP
Cr6Hf6,-2.791306205,hollow|A_B_B|FCC
Cr6Hf6,-2.791306205,hollow|A_B_B|FCC
Cr6Hf6,-2.791306205,hollow|A_B_B|FCC
Cr6Ir6,-0.423890366,top|A
Cr6Ir6,-1.190340082,hollow|A_A_B|HCP
Cr6Ir6,-0.985268699,hollow|A_A_B|FCC
Cr6Ir6,-0.322337618,hollow|A_B_B|HCP
Cr6La6,-1.822255764,top|A
Cr6La6,0.522878442,top|B
Cr6La6,-2.456827412,bridge|A_A|B
Cr6La6,-1.345951782,bridge|B_B|A
Cr6Mn6,-2.056962521,top|A
Cr6Mn6,-1.431215116,top|B
Cr6Mn6,-3.061667359,bridge|A_A|B
Cr6Mn6,-2.991351918,bridge|B_B|A
Cr6Mn6,-3.305360404,hollow|A_A_B|HCP
Cr6Mn6,-3.305107202,hollow|A_A_B|FCC
Cr6Mn6,-3.093569849,hollow|A_B_B|HCP
Cr6Mo6,-0.916730434,top|B
Cr6Mo6,-1.368334506,bridge|B_B|A
Cr6Mo6,-2.015531692,hollow|A_B_B|HCP
Cr6Mo6,-2.083079735,hollow|A_B_B|FCC
Cr6Nb6,-0.79540603,top|A
Cr6Nb6,-0.385641773,top|B
Cr6Nb6,-2.298573895,bridge|A_A|B
Cr6Nb6,-2.150417026,bridge|B_B|A
Cr6Nb6,-2.430560808,hollow|A_B_B|FCC
Cr6Os6,-0.364807785,top|A
Cr6Os6,0.24683215,top|B
Cr6Os6,-1.420761046,hollow|A_A_B|HCP
Cr6Os6,-1.145181022,hollow|A_A_B|FCC
Cr6Os6,-1.044909385,hollow|A_B_B|HCP
Cr6Os6,-0.683363293,hollow|A_B_B|FCC
Cr6Pd6,-0.796872315,top|A
Cr6Pd6,-1.595836097,hollow|A_A_B|HCP
Cr6Pt6,-0.591697936,top|A
Cr6Pt6,-1.173692702,hollow|A_A_B|HCP
Cr6Re6,-0.512142054,top|A
Cr6Re6,-0.654212826,top|B
Cr6Re6,-1.297368849,bridge|A_A|B
Cr6Re6,-1.009421387,bridge|B_B|A
Cr6Re6,-0.96355347,bridge|A_B|B
Cr6Re6,-1.451145006,hollow|A_A_B|HCP
Cr6Re6,-1.375472868,hollow|A_B_B|FCC
Cr6Rh6,-0.664937376,top|A
Cr6Rh6,-1.509075185,hollow|A_A_B|HCP
Cr6Rh6,-0.614522301,hollow|A_B_B|HCP
Cr6Ru6,-0.575392603,top|A
Cr6Ru6,0.626013124,top|B
Cr6Ru6,-1.612677767,hollow|A_A_B|HCP
Cr6Ru6,-1.360659807,hollow|A_A_B|FCC
Cr6Ru6,-1.111941228,hollow|A_B_B|HCP
Cr6Ru6,-0.826206867,hollow|A_B_B|FCC
Cr6Sc6,-2.633048742,hollow|A_A_B|FCC
Cr6Sc6,-2.769421994,hollow|A_B_B|HCP
Cr6Ta6,-0.65867835,top|A
Cr6Ta6,-0.456301846,top|B
Cr6Ta6,-2.287007152,bridge|A_A|B
Cr6Ta6,-2.28697858,bridge|B_B|A
Cr6Ta6,-2.552319913,hollow|A_B_B|HCP
Cr6Tc6,-0.688173585,top|A
Cr6Tc6,-0.158555291,top|B
Cr6Tc6,-1.556635786,bridge|A_A|B
Cr6Tc6,-0.888095894,bridge|B_B|A
Cr6Tc6,-1.61738969,hollow|A_A_B|HCP
Cr6Tc6,-1.360732462,hollow|A_B_B|FCC
Cr6Ti6,-2.672127555,bridge|A_A|B
Cr6Ti6,-2.458966635,bridge|B_B|A
Cr6Ti6,-2.656476383,hollow|A_A_B|HCP
Cr6Ti6,-2.670056496,hollow|A_B_B|HCP
Cr6V6,-1.67121163,bridge|A_A|B
Cr6V6,-2.442553681,hollow|A_A_B|HCP
Cr6V6,-2.414266495,hollow|A_A_B|FCC
Cr6V6,-2.427348368,hollow|A_B_B|HCP
Cr6V6,-2.456077058,hollow|A_B_B|FCC
Cr6W6,-0.322297073,top|A
Cr6W6,-0.817735011,top|B
Cr6W6,-1.682775924,bridge|A_A|B
Cr6W6,-1.671441975,hollow|A_A_B|HCP
Cr6W6,-2.11025071,hollow|A_B_B|HCP
Cr6Y6,-1.225965362,bridge|A_A|B
Cr6Y6,-0.954227584,hollow|A_A_B|HCP
Cr6Y6,-0.834360214,hollow|A_B_B|FCC
Cr6Zn6,-0.549737846,top|A
Cr6Zn6,-1.265047984,bridge|A_A|A
Cr6Zn6,-0.469304941,top|B
Cr6Zn6,-1.269777867,bridge|A_A|B
Cr6Zn6,-0.232298414,hollow|A_B_B|FCC
Cr6Zr6,-1.265933442,top|A
Cr6Zr6,0.02028527,top|B
Cr6Zr6,-2.608167877,bridge|A_A|B
Cr6Zr6,-2.164219456,bridge|B_B|A
Cr6Zr6,-2.686555303,hollow|A_B_B|FCC
Cu12,2.560818709,top|A
Cu12,0.927200286,hollow|A_A_A|HCP
Cu12,0.815140814,hollow|A_A_A|FCC
Cu6Fe6,0.706464125,top|B
Cu6Fe6,0.189130275,hollow|A_A_B|HCP
Cu6Fe6,0.013348953,hollow|A_A_B|FCC
Cu6Fe6,-0.446155809,hollow|A_B_B|HCP
Cu6Fe6,-0.427471929,hollow|A_B_B|FCC
Cu6Hf6,-1.077344266,top|B
Cu6Hf6,-3.186677545,bridge|A_A|B
Cu6Hf6,-3.187125988,bridge|B_B|A
Cu6Hg6,1.698876492,hollow|A_B_B|FCC
Cu6Hg6,1.483095796,hollow-tilt|A_B_B|FCC
Cu6Ir6,0.990622266,hollow|A_A_B|HCP
Cu6Ir6,1.094836288,hollow|A_A_B|FCC
Cu6Ir6,0.463873141,hollow|A_B_B|HCP
Cu6Ir6,0.297193347,hollow|A_B_B|FCC
Cu6La6,-0.625380051,top|B
Cu6La6,-2.52431627,bridge|A_A|B
Cu6La6,-2.527907356,bridge|B_B|A
Cu6Mn6,0.235717116,bridge|B_B|A
Cu6Mn6,0.885792995,hollow|A_A_B|FCC
Cu6Mn6,0.175920508,hollow|A_B_B|HCP
Cu6Mn6,0.859713605,4fold|A_A_B_B
Cu6Mo6,-0.796774082,top|B
Cu6Mo6,-1.307316379,bridge|A_A|B
Cu6Mo6,-0.510622979,hollow|A_A_B|FCC
Cu6Mo6,-1.416902336,hollow|A_B_B|HCP
Cu6Mo6,-1.269130236,hollow|A_B_B|FCC
Cu6Nb6,-0.939828953,top|B
Cu6Nb6,-1.843869766,bridge|A_A|B
Cu6Nb6,-1.843421322,bridge|B_B|A
Cu6Nb6,-1.82498561,hollow|A_A_B|HCP
Cu6Nb6,-0.938497364,hollow|A_A_B|FCC
Cu6Nb6,-1.825010508,hollow|A_B_B|HCP
Cu6Nb6,-0.93928146,hollow|A_B_B|FCC
Cu6Ni6,0.831957449,hollow|A_A_B|HCP
Cu6Ni6,0.669621408,hollow|A_A_B|FCC
Cu6Ni6,0.271208516,hollow|A_B_B|HCP
Cu6Ni6,0.235364593,hollow|A_B_B|FCC
Cu6Os6,0.495550049,hollow|A_A_B|HCP
Cu6Os6,0.89703878,hollow|A_A_B|FCC
Cu6Os6,0.169962304,hollow|A_B_B|HCP
Cu6Os6,-0.22997048,hollow|A_B_B|FCC
Cu6Os6,0.435814259,top-tilt|B
Cu6Pd6,2.686780205,top|A
Cu6Pd6,2.842403878,top|B
Cu6Pd6,1.133460807,bridge|A_A|B
Cu6Pd6,1.6233415,bridge|B_B|A
Cu6Pd6,1.391305676,hollow|A_B_B|FCC
Cu6Pt6,1.500481694,hollow|A_A_B|HCP
Cu6Pt6,1.170693735,hollow|A_A_B|FCC
Cu6Pt6,1.21518911,hollow|A_B_B|HCP
Cu6Pt6,1.273132622,hollow|A_B_B|FCC
Cu6Re6,-0.711462856,top|B
Cu6Re6,-0.820061448,hollow|A_B_B|HCP
Cu6Re6,-1.007275089,hollow|A_B_B|FCC
Cu6Rh6,0.91490006,hollow|A_A_B|HCP
Cu6Rh6,0.976194654,hollow|A_A_B|FCC
Cu6Rh6,0.506732431,hollow|A_B_B|HCP
Cu6Rh6,0.383054515,hollow|A_B_B|FCC
Cu6Ru6,0.59586155,hollow|A_A_B|HCP
Cu6Ru6,0.840189165,hollow|A_A_B|FCC
Cu6Ru6,0.180477599,hollow|A_B_B|HCP
Cu6Ru6,-0.099503323,hollow|A_B_B|FCC
Cu6Sc6,-2.67665172,bridge|B_B|A
Cu6Sc6,-2.688223361,hollow|A_B_B|HCP
Cu6Sc6,-2.07396501,4fold|A_A_B_B
Cu6Ta6,-1.122108217,top|B
Cu6Ta6,-2.2387796,bridge|A_A|B
Cu6Ta6,-2.238778512,bridge|B_B|A
Cu6Ta6,-1.077087799,hollow|A_A_B|FCC
Cu6Tc6,-0.108250831,top|B
Cu6Tc6,0.307686601,hollow|A_A_B|FCC
Cu6Tc6,-0.580822227,hollow|A_B_B|HCP
Cu6Tc6,-0.716398865,hollow|A_B_B|FCC
Cu6Ti6,-1.297566812,hollow|A_A_B|FCC
Cu6Ti6,-2.509730016,hollow|A_B_B|HCP
Cu6V6,-1.836904876,bridge|B_B|A
Cu6V6,-0.936754747,hollow|A_A_B|HCP
Cu6V6,-1.076483434,hollow|A_A_B|FCC
Cu6V6,-1.872181986,hollow|A_B_B|HCP
Cu6V6,-0.989242513,hollow-tilt|A_A_B|FCC
Cu6W6,-1.103179162,top|A
Cu6W6,-1.103979041,top|B
Cu6W6,-1.627303477,bridge|A_A|B
Cu6W6,-1.632360849,bridge|B_B|A
Cu6W6,-1.597862121,hollow|A_A_B|HCP
Cu6W6,-0.674165709,hollow|A_A_B|FCC
Cu6W6,-1.597350819,hollow|A_B_B|HCP
Cu6Y6,0.816598255,top|A
Cu6Y6,-2.582540468,bridge|B_B|A
Cu6Y6,-2.579229795,hollow|A_B_B|HCP
Cu6Zn6,0.867430209,hollow|A_A_B|HCP
Cu6Zn6,0.833475708,hollow|A_A_B|FCC
Cu6Zn6,0.673092356,hollow|A_B_B|HCP
Cu6Zn6,0.640969725,hollow|A_B_B|FCC
Cu6Zr6,-1.107371892,top|B
Cu6Zr6,-2.895639141,bridge|A_A|B
Cu6Zr6,-2.895954793,bridge|B_B|A
Cu6Zr6,-2.03028965,4fold|A_A_B_B
Fe6Hf6,0.081217681,top|A
Fe6Hf6,-0.060372265,top|B
Fe6Hf6,-2.325890995,bridge|B_B|A
Fe6Hf6,-2.576433689,hollow|A_B_B|FCC
Fe6Hf6,-2.107949171,4fold|A_A_B_B
Fe6Ir6,1.199995225,top|A
Fe6Ir6,1.423577697,top|B
