LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE
6.480019498873949846e-02,1.769601153336496924e-01,6.050476108335119813e-02,8.604232070692509338e-02,4.706041751319219729e-02,6.773515084044079426e-02,2.804878390302842917e-01,2.232670567241919896e-02,8.422332833714714084e-01
8.605451977516480333e-02,1.980169605932083909e-01,1.201190592734636964e-01,1.360733483789597908e-01,3.521274747942070016e-02,7.399786557147509936e-02,3.229887059611321054e-01,3.800715800234080038e-02,8.215347213018358019e-01
6.020847761658149749e-02,2.237035381484117902e-01,1.193830453663520946e-01,8.266868173829909627e-02,3.015247293125319916e-02,9.744297950478220116e-02,2.990678310091641756e-01,2.586848024490930043e-02,8.917075118184267790e-01
8.795605651961189986e-02,2.113078871187940022e-01,1.089449273957004000e-01,1.207524413734582941e-01,3.306308364597349697e-02,8.337304891608139645e-02,3.215336984157964872e-01,3.060518667597330114e-02,8.231981643961427952e-01
5.330736067858050237e-02,1.872324823467693966e-01,1.008268062345149957e-01,1.036169054111418936e-01,4.023785753253059788e-02,7.467196759213060031e-02,3.325094963591664898e-01,2.369240265203139892e-02,8.863199324871910978e-01
5.694551346468169906e-02,1.535994898884595061e-01,7.531708341682180619e-02,7.718860771332680670e-02,4.538207257285920004e-02,7.370579822925800439e-02,2.959945834042114199e-01,2.298348056033820003e-02,7.549839342963101663e-01
1.058588332446419034e-01,1.777209655334568983e-01,1.317240866169190894e-01,1.269347292349110035e-01,7.284187743070559551e-02,8.399450837404009995e-02,3.163765487707893009e-01,3.381702505031519701e-02,8.845263766892301760e-01
9.268192155963690670e-02,1.889023721045597071e-01,1.205464683348294042e-01,1.442891473171807049e-01,3.894645736589409657e-02,9.785305705047389613e-02,3.333859948534617090e-01,3.323978095894360163e-02,8.235893179916509155e-01
1.035232292473100002e-01,2.043318731297706914e-01,1.271834451079288941e-01,1.052938887927036965e-01,3.307114620685600026e-02,8.903878790697239420e-02,3.329980190373850180e-01,2.727529968700589946e-02,8.781862807980601593e-01
7.656593987462649575e-02,2.324423169720535864e-01,8.975740604862650351e-02,8.313953911896750093e-02,2.921627607425280118e-02,6.751708576847960386e-02,3.375373933015565209e-01,1.926045298937850009e-02,8.772961789509411412e-01
8.017035170531749966e-02,2.186235583370388924e-01,1.015504977929446023e-01,1.038752803214074011e-01,2.089337989052639927e-02,1.018130118219966046e-01,3.921174368392730814e-01,1.653863875169990158e-02,9.676619675286736166e-01
1.251949058539325033e-01,2.078684092881175893e-01,1.419365960148835926e-01,1.375182410808261924e-01,4.009829870637209720e-02,9.854668557048290589e-02,3.933363980163698814e-01,4.070703572090819677e-02,8.872614702753288674e-01
9.375927339623470191e-02,1.617224880087383965e-01,9.320102201829859323e-02,5.069185380987049905e-02,4.705952210638539995e-02,8.397031958949929820e-02,2.590958318518891135e-01,2.338114589239290164e-02,9.408782452180075584e-01
9.409250085929489471e-02,1.654540089250496893e-01,8.560066835869649393e-02,1.042364133887291044e-01,4.929933028440090098e-02,8.036136940447589916e-02,2.899785032863683165e-01,2.070981834160269888e-02,9.629524151244072128e-01
7.404610400899329370e-02,1.825907784487127983e-01,1.068332971112224972e-01,9.862808440384379649e-02,4.318910076667949877e-02,1.079163936413587987e-01,3.212055421799550059e-01,2.458122809388160052e-02,9.139690121563731617e-01
4.846317986468799688e-02,2.204456101777896027e-01,1.000594266931939952e-01,1.139096748628535966e-01,3.349834003575460212e-02,7.477338253952969804e-02,3.073994675475218985e-01,3.800954744673910174e-02,8.624021385373297210e-01
8.639548572331740006e-02,2.071192952039699886e-01,1.678238440800348952e-01,1.780120604897934000e-01,3.052209223994880108e-02,1.189413315218734030e-01,2.927971955777807778e-01,4.271944435978569654e-02,9.327806129151804404e-01
8.414579504413559341e-02,2.103495482677593953e-01,9.493432148447170094e-02,9.626288896546460194e-02,6.471823093012619987e-02,8.468196691114310282e-02,2.523634238810650854e-01,1.928801920054270050e-02,7.660569259571532452e-01
9.419102132709859798e-02,1.858608050735371942e-01,1.111654199318769937e-01,1.215340734045415039e-01,5.667661572645479873e-02,8.190949968473119902e-02,3.595969577427017838e-01,3.260813703926049995e-02,9.008801072902390406e-01
9.935818345720770495e-02,1.985540083675977063e-01,1.206324654329906931e-01,1.032091521910321053e-01,7.592022824675330461e-02,8.609698345760710692e-02,3.155308458028305840e-01,3.338387380671310051e-02,8.617781376844042551e-01
8.929763071197870106e-02,1.709451044317203128e-01,1.143358170580429933e-01,1.452813151794729862e-01,6.063232193144030280e-02,1.080883445650616947e-01,3.444184483056150770e-01,2.859819844168599856e-02,6.847810271121539394e-01
9.786488203024870658e-02,2.010727775908545123e-01,9.538604548762559532e-02,8.880856082111550365e-02,2.655995247097450024e-02,6.877647514999929435e-02,3.262358795816834856e-01,1.446212382103079924e-02,7.988405120845205598e-01
7.759978549614389431e-02,2.009247115578252918e-01,1.020532283486890041e-01,7.060137275885490504e-02,3.416490685576369785e-02,6.883978535399140619e-02,2.516319855351391022e-01,1.484878154393990020e-02,8.203546834428994128e-01
