Feature, Mean (R2 drop), STDEV (R2 drop)
LC,0.25331524123606736,0.045093613020432646
MV,0.08748672986296452,0.02134188939245236
EN,0.33135276450224804,0.04524475131205119
SE,0.15119177217527743,0.022936475959586398
DBC,0.4746490795426172,0.04201973553378264
DBF,0.166397456992678,0.03576342318399393
DOS,0.15495832773859655,0.05186258859205882
CN,0.5724135512171318,0.051001779376149955
GCN,0.0786391719613569,0.025261230925759996
