LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN
7.947286764562379313e-02,9.630515535709309460e-02,8.501820291894120196e-02,3.327136451420878993e-01,2.872138892143369926e-01,2.260594790177551106e-01,4.973434983105799734e-02,6.297569162490719297e-01,1.505869155425295924e-01
8.594504517550130562e-02,1.074405981963730966e-01,8.247247889562610290e-02,4.003799974604621004e-01,2.806254981468409015e-01,2.124357800094804904e-01,7.280897054951909753e-02,6.321588667654379767e-01,1.678552241929167077e-01
1.038349047724833052e-01,9.791988711357109409e-02,1.415433664781214906e-01,3.740813609223849201e-01,2.870401207959505929e-01,2.509048295951293861e-01,7.881969912391349753e-02,5.963934646514398308e-01,1.594895545675865112e-01
8.913606457518789827e-02,1.155688727125650933e-01,9.660280899225019702e-02,3.284336746333557100e-01,3.037359614489342219e-01,2.655153497050286027e-01,7.981796386530630449e-02,6.436697470164642887e-01,1.591866288291864939e-01
8.140608563731799308e-02,1.216624938367685954e-01,1.045454950877710010e-01,3.507813811356981781e-01,2.711175762015833879e-01,2.795534064750169745e-01,6.430102978109940304e-02,6.890121715265292712e-01,2.223635097008186956e-01
7.742372892069840362e-02,9.024104364321450245e-02,9.404487786839429986e-02,3.392648282350846922e-01,2.523340564595191182e-01,2.836702805548492745e-01,8.384247893763249748e-02,6.903815056057827082e-01,1.224809251493475942e-01
7.533457955415340246e-02,8.774835896812720193e-02,9.807694903316009627e-02,3.417134150778413093e-01,2.330198807492714907e-01,2.251881336028559999e-01,5.193208358504970007e-02,6.358828613130629304e-01,1.602771493512065992e-01
6.178297125772559684e-02,7.128378420987149799e-02,8.515042498787399328e-02,3.504024278996666908e-01,2.320996947760368134e-01,2.217645343296887062e-01,5.645214591322689907e-02,5.967836330871003625e-01,1.504793014653854899e-01
8.900198151799429414e-02,1.087757706600502028e-01,1.034403347376715021e-01,3.491278360186089724e-01,2.976616990513403782e-01,2.717410570016239868e-01,5.666996556182309769e-02,5.612033640789276800e-01,1.450954244303102048e-01
8.532209538682460070e-02,7.097629046497110072e-02,1.002368070909999964e-01,3.015057376749933904e-01,2.065633177856472935e-01,2.143917114086048015e-01,6.593961254950279904e-02,5.945343128618240103e-01,1.389128760922112016e-01
1.095190191019815018e-01,8.110525323120869323e-02,1.023128629344426943e-01,3.599682429371542924e-01,3.016932651193213188e-01,2.368341699740504069e-01,7.539469101016380015e-02,7.403037522131905579e-01,2.213908424698279032e-01
7.368305618023120174e-02,1.125703112453555060e-01,7.823155821011880395e-02,2.772251503872079081e-01,2.106234400621588010e-01,2.139946851791161009e-01,5.042929551374870228e-02,5.476423385710087466e-01,1.464245948291731936e-01
7.369755268823839633e-02,9.830886437864150285e-02,1.300841209381461139e-01,2.955693235633032878e-01,2.639209588364433978e-01,2.578740716832866875e-01,5.496571021501810150e-02,6.305383993224895622e-01,1.382978517069586022e-01
