LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN
4.191431184552110029e-02,7.506471293666930333e-02,1.143822608197750945e-01,2.214500126027720006e-01,4.980888935266742923e-01,2.315580748465196070e-01,4.656540702234659990e-02,6.718673132553296679e-01,2.941267168338008164e-01
6.308996318583889873e-02,7.134085260298120290e-02,1.141730504730195939e-01,3.497338057897192987e-01,2.733039417168489082e-01,2.291225023379133974e-01,4.914948290040180301e-02,7.418203457419376701e-01,2.580855837297834077e-01
8.314739207316719505e-02,8.254281187489180549e-02,1.167568000359557046e-01,4.275654731253921148e-01,2.660556575189079731e-01,3.757546190783396800e-01,7.449122301506809485e-02,6.848262647657237245e-01,4.518350732897611910e-01
1.052373776706176933e-01,7.314383331444780645e-02,6.394317772079820272e-02,3.376178982062523759e-01,3.178570128401468908e-01,1.909235557429387886e-01,8.420593649744509412e-02,6.598083233389061553e-01,3.754754233515079087e-01
4.506185661678140109e-02,7.566570912678989569e-02,3.542653132448510267e-02,2.602456094563588840e-01,3.511243490094481112e-01,3.132765887037751162e-01,4.403393012454780153e-02,7.495006749390651368e-01,2.401374597754689089e-01
6.320284816459760535e-02,7.868395576143019654e-02,6.970347865449620650e-02,3.388121900065377834e-01,2.520715612988563836e-01,2.790017532659193056e-01,7.337029140310820374e-02,6.749247533108692076e-01,2.955963632577232048e-01
3.676112216039310182e-02,7.708180045733679930e-02,1.197140088870969066e-01,3.462710510306232781e-01,2.258195168466237968e-01,2.204490186266254981e-01,4.847167894940419830e-02,7.532171971608165872e-01,1.641897815288020923e-01
6.495514965633389370e-02,7.373318622516339405e-02,9.162407991819659925e-02,3.434508687085440770e-01,2.080598245704602944e-01,1.977313232237911944e-01,5.009780352676510007e-02,6.368897161534680107e-01,3.592367646802478998e-01
4.551075323198620209e-02,4.783066340225380214e-02,6.375399634905400126e-02,3.188886598069394784e-01,2.389955598470281939e-01,1.766181097822996093e-01,4.841822955546200291e-02,5.579127076497581994e-01,2.591191838330715869e-01
1.053960155155728023e-01,2.813750019587029846e-02,8.261743287896780585e-02,2.266689042367497076e-01,2.604025509969006835e-01,1.567294031168278978e-01,8.287364044745659797e-02,7.059651864618861072e-01,4.256941571265716040e-01
8.696051694293220613e-02,4.916548637938990274e-02,6.647678860169499437e-02,3.617045534239815008e-01,2.319753359298868944e-01,1.354242206467883014e-01,5.501008778850020181e-02,7.815276905189311174e-01,5.112568275744342472e-01
3.966987024191909877e-02,9.541611120523230127e-02,8.505833548718100268e-02,3.615857378501814989e-01,1.954780943139605986e-01,1.814735639404423118e-01,6.084789999114600251e-02,5.427378558028381761e-01,1.666494479280545005e-01
6.841996050822049535e-02,5.803028722227820263e-02,9.678326865730139950e-02,3.121127251935462144e-01,2.076411733848617103e-01,1.261789747194048961e-01,4.784938145003800325e-02,6.661185873364207088e-01,2.595152050433728874e-01
5.686843824173280076e-02,1.058762948430076040e-01,8.830003100951840100e-02,3.364921837765412760e-01,2.908589910621677821e-01,1.955708640407256005e-01,6.193173413986070158e-02,5.336727803062235598e-01,2.946551729205139081e-01
1.795608928997500034e-02,7.307958485173619845e-02,1.205471295694827971e-01,3.620891317275062860e-01,3.381943296297096890e-01,2.011092854016353904e-01,7.586839793499819407e-02,4.999791305013632225e-01,2.830174053605298834e-01
8.345318484897429334e-02,4.844117133465530162e-02,9.892710660199499628e-02,2.544300959293291919e-01,3.792512307049996090e-01,2.131235627812936018e-01,5.578130362984429907e-02,6.573121309648398691e-01,2.425322364711919865e-01
3.881884741546030165e-02,8.223982384716159444e-02,2.921421684396089888e-02,2.548422357672174843e-01,1.955591457499468999e-01,1.289753303733117973e-01,6.946252540816250098e-02,7.355761156477678142e-01,3.456786121266182121e-01
9.473932718389710406e-02,4.634963548760970276e-02,8.363514889536280417e-02,2.961292281009123006e-01,2.498051664648336112e-01,2.366397272788579031e-01,7.141878894203579353e-02,7.229413404629757567e-01,2.633113910412903103e-01
6.368256726354219743e-02,7.503750496611499843e-02,8.616725269709299417e-02,2.873565885983215829e-01,2.690728102027107882e-01,2.352920640847719902e-01,3.850121016953869657e-02,7.276640575395459942e-01,4.978254300926835962e-01
1.785570603394515954e-01,8.963132113053870476e-02,1.118500296669906052e-01,5.078588679193198896e-01,4.199252738698144860e-01,2.363305483511445870e-01,9.391557330285080218e-02,6.633013639501973424e-01,3.840496994681452114e-01
8.094384811391490409e-02,7.541473834283750344e-02,1.006987633636864943e-01,2.468006100289472093e-01,2.691052673110416738e-01,1.268877974647689977e-01,9.634775574857559755e-02,7.039120535545487778e-01,3.510422673143803740e-01
3.372819074222539737e-02,6.153655882055970167e-02,1.073889871845564031e-01,3.197346746218572844e-01,3.274868463431350740e-01,2.017863365022520006e-01,3.900086007734669680e-02,5.336371154497008273e-01,1.007350062945581992e-01
6.112967022174579934e-02,1.024438390951455946e-01,1.299578646914084090e-01,3.288002765569992825e-01,3.141020813875735063e-01,2.287327261032442993e-01,5.282579274746530135e-02,7.713015587521245831e-01,2.332795601995162893e-01
6.590157248131979506e-02,1.042868119355409989e-01,1.096256250788310016e-01,5.055873106578954168e-01,2.638447241015854927e-01,2.457984379310310108e-01,8.706096853887569653e-02,7.309622237505131181e-01,3.785855319252647844e-01
1.161317583029399941e-01,9.304888117362750122e-02,7.228305725713700391e-02,3.139303154806212248e-01,2.932813385086617819e-01,1.902300563586294957e-01,7.936025986463690618e-02,6.649847347729870295e-01,2.950452192794523198e-01
7.477499380318890221e-02,8.745392795329169633e-02,1.993137813234973910e-01,3.985186771298082076e-01,4.025777332832243260e-01,2.733178152558495277e-01,8.510468020653620680e-02,6.556883605398381443e-01,1.848686989139559089e-01
6.638127320504040585e-02,8.433536135481270457e-02,4.754492071076529824e-02,3.271706685462092978e-01,3.103077174239837754e-01,2.263207923575784042e-01,7.074276197420770185e-02,5.935721777245384079e-01,3.098789351768088118e-01
9.874755652264509409e-02,6.330242847718209331e-02,8.185540835554279415e-02,3.976161266082650081e-01,3.869521565807890195e-01,1.736250674190071008e-01,8.404763044971319541e-02,5.956567965605463755e-01,3.211220868401929995e-01
5.972614838370719770e-02,3.651548838254860263e-02,7.398719930789950106e-02,3.090628359833834105e-01,2.978328162433027115e-01,2.257895362025224006e-01,4.929828733598080187e-02,7.443115745211394962e-01,2.088564534590842126e-01
9.347301446270360470e-02,5.639493721676640259e-02,9.477478339715679490e-02,3.366047278824075839e-01,3.502607773515172274e-01,2.421488458782893871e-01,6.598543497025910476e-02,6.805182098073194741e-01,2.151545579145296982e-01
