LC,MV,EN,SE,DBC,DBF,DOS,CN,GCN
1.272150196909881126e-01,1.009757629509772936e-01,4.493402236840757791e-01,1.004472992977212958e-01,6.894948375244391858e-01,1.717902433227647130e-01,9.568382735525139682e-02,5.829499128748952819e-01,1.225656601007139995e-01
2.782937322691066973e-01,7.722871342928150362e-02,2.269875103201852984e-01,1.165817457292949028e-01,4.749249122505128096e-01,1.558545554876857864e-01,2.456268813659882033e-01,5.019459384684084036e-01,9.735741111700280115e-02
2.451857960289506033e-01,7.149633742656799629e-02,2.848682387446712094e-01,2.044973917493002891e-01,4.887365000479590993e-01,1.258637612340700040e-01,1.274926813364488931e-01,4.393017120620982818e-01,3.200378529684649864e-02
1.916869739112883886e-01,6.479969279714919983e-02,3.101399117081912182e-01,1.945077258932483011e-01,4.653692945109439982e-01,2.387473223950186130e-01,1.438351450761496952e-01,5.206894859666915121e-01,1.257490598708015939e-01
2.427625380419962953e-01,9.352896116511519309e-02,3.555212075827481888e-01,2.033891295506705110e-01,4.755742405946828955e-01,1.193804465132193016e-01,1.820887868939767007e-01,4.732142938504331764e-01,4.977464095318340220e-02
4.906613833273433256e-01,5.639238036323979825e-02,2.915524823728722903e-01,1.206294109702456957e-01,3.823251435913718743e-01,1.256117888555108864e-01,1.451118986921410003e-01,5.810184911414955078e-01,5.772220641502259775e-02
1.754831957017989053e-01,1.451668642766139050e-01,3.547072998443663860e-01,1.598449217893833929e-01,5.347652812929364341e-01,2.119751509527398048e-01,1.182151699681776996e-01,6.359341360386420172e-01,7.487617913441289852e-02
3.038056533978578111e-01,7.813556654364360587e-02,2.739322486453684147e-01,9.713180952339529883e-02,4.110430190743530887e-01,1.181494641767474041e-01,1.043244107577284002e-01,5.297404370469684931e-01,2.658979612218069846e-02
3.177407132708288118e-01,4.955786803727409845e-02,3.208664522260079033e-01,1.326023023717785021e-01,5.187705210538815503e-01,1.356779244513217075e-01,2.761224627448619073e-01,5.086118436279708499e-01,9.812090246720550635e-02
1.613918060550748879e-01,6.361066766801000416e-02,2.713101833947350050e-01,1.479246172954538918e-01,4.532990551365340126e-01,1.570541313366256020e-01,1.495244817053894004e-01,5.350935505423646266e-01,8.048293842458069391e-02
2.515105002506102805e-01,5.953888668745430102e-02,2.434879530060939934e-01,1.778990909125988118e-01,5.285972730045188639e-01,1.586099979106281865e-01,1.832816957292826010e-01,5.708565253415024410e-01,1.331145722428747902e-01
1.687160935078663992e-01,1.519464646286866061e-01,2.974085916024711840e-01,1.291916918834264960e-01,5.756572922275438042e-01,1.134072004096812053e-01,1.229442078489629969e-01,5.963055320016460437e-01,6.306642110455169814e-02
1.645825590599589994e-01,7.967240563187300006e-02,2.792549509582453737e-01,1.353506915839166047e-01,5.535145013434008554e-01,1.525825764939928997e-01,1.366402233885981865e-01,6.820293030902069287e-01,4.059663082106480109e-02
1.571004125960434039e-01,5.613207681586310227e-02,5.150318391871328005e-01,1.937408719666376955e-01,5.516674016130840297e-01,2.894319313801743121e-01,7.060903410649249645e-02,6.092709602036618932e-01,1.380586276296648096e-01
3.197969198273760139e-01,4.167533375387760114e-02,2.372396843667470001e-01,1.321218728933956088e-01,4.543270716374472884e-01,2.398550638567057136e-01,2.241240168064239091e-01,6.458024391151655497e-01,2.211494154304129850e-02
3.004798855768571197e-01,7.112561700263429765e-02,3.969391111423842267e-01,1.002757071927662946e-01,5.261616154072240592e-01,2.403621943795291871e-01,2.110352847474881999e-01,4.860807294250512056e-01,6.133169361483350318e-02
4.002070321365961969e-01,6.708509701168040296e-02,2.527649655676157958e-01,1.293891349602993013e-01,5.021032928267556983e-01,2.911678205316535761e-01,9.072688108891779901e-02,7.335324727237252374e-01,5.492628990588410004e-02
3.342737424425111237e-01,2.020311509430053054e-01,5.055651434557466573e-01,9.871659452232750542e-02,3.581737318995752983e-01,4.879500715783229720e-02,2.053735962244777058e-01,4.920656366229056999e-01,1.427637030785927907e-01
3.000053942562377896e-01,1.201868151777825966e-01,3.481070722578200050e-01,1.808983230993551905e-01,3.692003520442251885e-01,1.294794594486065875e-01,1.973377611343790916e-01,5.452930281387881051e-01,4.297068533125140283e-02
2.157425520946417985e-01,9.302698164858060059e-02,3.483509456647944091e-01,2.048018657472915893e-01,3.258733935248975810e-01,1.450029122486972133e-01,1.456362587506523920e-01,5.795062802478951891e-01,3.498377089077200214e-02
2.292504591466039965e-01,6.829487796196659355e-02,2.748493922523548849e-01,1.409381847754898054e-01,4.953291215712842255e-01,1.988134798346933019e-01,1.526625684234328983e-01,4.900113181066725887e-01,5.217968014545300293e-02
2.669489808579821877e-01,6.654208408132830654e-02,3.445206327800912072e-01,1.826358424393638991e-01,5.190485314812198769e-01,2.308646226196426066e-01,1.528953446464096921e-01,6.162592539075525400e-01,1.079080793426363954e-01
1.374098193325347106e-01,1.735788118222887921e-01,5.457624006381471826e-01,1.777218761794251978e-01,5.652697057111766288e-01,2.043752690589190901e-01,7.784307158995840137e-02,7.835277086544669700e-01,8.062440058778709562e-02
3.986831890587084204e-01,7.653793865172700550e-02,2.632901497672417990e-01,1.110185797400266017e-01,3.342316249049023802e-01,1.486824704869315061e-01,2.317985519912001136e-01,6.080745100424518323e-01,8.831378527093269870e-02
2.730864440753302813e-01,7.125821882398389318e-02,2.391236678309688890e-01,1.311479273083513974e-01,4.537301967651370949e-01,1.283840213861500990e-01,1.812023221431564024e-01,5.520280154000498651e-01,3.429934400823189677e-02
1.865581097192919036e-01,7.373008482261650398e-02,2.782932082640369176e-01,1.318812986751564109e-01,4.639068150654903078e-01,1.197260851120402064e-01,1.551415111667864000e-01,4.863923438202542027e-01,1.096302011055969028e-01
2.525037435980895251e-01,7.652165008193299867e-02,3.020693322447676743e-01,1.880901574607334870e-01,5.585263932057517033e-01,1.489376476080226108e-01,9.561735210575650346e-02,5.314093952237821661e-01,6.847726568667439340e-02
2.689149596368541895e-01,1.285556652622633911e-01,3.206995139424373975e-01,1.320213479431573966e-01,4.202475706254008014e-01,1.312444266886391986e-01,1.781746658004524086e-01,6.180357987629289118e-01,2.013540550818058994e-01
2.412230963658316130e-01,4.606718168662919666e-02,3.116750154382895155e-01,1.427137760607256889e-01,3.827498779149343111e-01,1.387123360712290976e-01,1.365025719807348992e-01,5.186913736545781806e-01,9.158491219138889528e-02
1.982365318468589932e-01,1.002017387348888983e-01,4.969236061768301238e-01,2.376419757433866076e-01,4.068538184269304137e-01,1.733843983708681091e-01,1.111771665882193005e-01,7.187341104107016765e-01,2.563351935571760165e-02
