LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE
7.166850885810270577e-02,2.644419679313675942e-01,1.048486146132679014e-01,1.252499091057756031e-01,5.078618386897110204e-02,1.400370833463664977e-01,3.937249483715081211e-01,2.399085027675420048e-02,9.160409936592663893e-01
1.541130721529529977e-02,3.133150118332346801e-01,1.341557979421166003e-01,7.810062341129120345e-02,3.864866121856289777e-02,1.499302135305974060e-01,3.382493177129768935e-01,1.402893090359830057e-02,7.986775678312924009e-01
6.096418206454089911e-02,2.290459723628210931e-01,1.650102887055923118e-01,1.281079064369659015e-01,2.298288154772320027e-02,1.688146954991111004e-01,3.088400333837766909e-01,4.265628046417300340e-02,1.013425154156665675e+00
5.181402780477480097e-02,3.838614610198038957e-01,1.198076406837769031e-01,6.093929157384970347e-02,7.863970514041469795e-02,1.112273121400007975e-01,2.655249873570985075e-01,3.512005429936430195e-02,8.448134765737858043e-01
4.643941964947079920e-02,2.671110752398487831e-01,1.001900630497103012e-01,5.822787704673650089e-02,5.493559459627059965e-02,1.498728206429515986e-01,4.344638700621396010e-01,5.557618680959099805e-02,1.053278298762228449e+00
1.020648698299552043e-01,2.203134853591741105e-01,8.936303284478029629e-02,1.343369943484060136e-01,6.650923023089340413e-02,1.211587489542022000e-01,3.140875867674658983e-01,1.882737637496470148e-02,7.948389366284824842e-01
3.731635269091960333e-02,2.405829537057702916e-01,1.229001540375215945e-01,5.065903831248629724e-02,6.699231302806199495e-02,1.684431588883696929e-01,3.599746430790018992e-01,2.875795585220599845e-02,7.906495148335356271e-01
5.411378620795689876e-02,2.406326385299975001e-01,1.188409489089952004e-01,1.068185406041002039e-01,2.942938283695080079e-02,1.717547938057241985e-01,3.817900371196643050e-01,7.970239850003629778e-02,1.114573316274710901e+00
5.190663085348910105e-02,2.769353438375214971e-01,1.093147961508853933e-01,1.109737444360040931e-01,5.998890250262010199e-02,9.818395925794010104e-02,2.750487464914279090e-01,1.906993065429310116e-02,8.399358144094474232e-01
6.008448286601990318e-02,3.275857422025008070e-01,9.723322908805609455e-02,5.753289306695429789e-02,3.375314133101819936e-02,9.629733030892199952e-02,3.630630396033889262e-01,8.318325328165269983e-02,9.886400553225815901e-01
2.741944719656240134e-02,2.850262022686130270e-01,1.067166202185091950e-01,6.239907284469699972e-02,1.803100763600919837e-02,1.061407923469781939e-01,3.168966817924229185e-01,6.116968363719359897e-02,8.709457977222992975e-01
4.966481290792579967e-02,2.126356387273536930e-01,8.968103744768510244e-02,5.136443110417170110e-02,7.314168344181140591e-02,1.610344379079159949e-01,3.866582608443607794e-01,6.384587216154309630e-02,8.314074345289401702e-01
4.327806340550949954e-02,2.453429425743439973e-01,7.068912462239540506e-02,7.971024372031859651e-02,2.865390926980470113e-02,8.455001794793540193e-02,3.128998049403325932e-01,2.774537651278610045e-02,1.226124724860835125e+00
4.300043256165789890e-02,3.946933675718700130e-01,7.215652551329129749e-02,7.881859817884899477e-02,5.121849652598409880e-02,1.589701166745969008e-01,3.411224180658093963e-01,1.938490852055000171e-02,1.165509316371972970e+00
8.567559440604280430e-02,3.096970344757229987e-01,1.509350152195788053e-01,1.354925551808396078e-01,2.887156972350389886e-02,1.423945731669288006e-01,2.844388808861955109e-01,2.479600906619679884e-02,8.822055311233951702e-01
4.103112106108520313e-02,2.134611620309403990e-01,1.090270329657374998e-01,1.078793608905304069e-01,6.815453177521449413e-02,1.178177618730252979e-01,2.968133517438121816e-01,4.116425080302559686e-02,7.277322397532500764e-01
