Feature, Mean (R2 drop), STDEV (R2 drop)
LC,0.12504362118714643,0.009538786743346035
MV,0.036874911872685594,0.005400509932851227
EN,0.07512496103216165,0.01181186754896254
SE,0.12206677942632918,0.013833554297828345
DBC,0.23549820431855426,0.018119227176693932
DBF,0.055745447913581186,0.006830071026637318
DOS,0.09599060562681716,0.01822124161498196
CN,0.46410940302276804,0.039582465689072144
GCN,0.008081347860797236,0.004875330815402416
