Feature, Mean (R2 drop), STDEV (R2 drop)
LC,0.07114468928787819,0.020950212708796323
MV,0.07237417399726237,0.016064687666859024
EA,0.0918828171920969,0.016957615539427286
SE,0.33297106815843797,0.03266494695390486
DBC,0.2961763959339867,0.034349014454976526
DBF,0.21319735006054993,0.03695253469372004
DOS,0.06473463193708594,0.01709793925980787
CN,0.668070278041404,0.06304024862596361
GCN,0.29901854175837717,0.056645543517773574
