LC,MV,EA,SE,DBC,DBF,DOS,CN,GCN
5.823727640911120079e-02,2.834216334977000123e-02,3.065429786716209956e-02,1.906446544032560919e-01,2.404890877402308946e-01,1.144122545782331052e-01,8.242323217539619662e-02,5.500895312217838340e-01,1.843173650524729951e-02
4.424565162583880135e-02,3.598408989101439803e-02,3.771768954203499891e-02,1.745636228957100911e-01,1.585152643446834930e-01,1.291339239376786130e-01,5.045918394938170293e-02,6.814636296513544300e-01,1.238305573766130055e-02
4.830766581758560302e-02,2.709498359254140093e-02,3.054896855984619991e-02,1.735068272050347971e-01,2.155238841697136032e-01,1.206407936401386050e-01,5.810088340773360283e-02,4.250030361391738953e-01,1.633958393009700069e-02
5.456757007110420166e-02,4.631698175885790025e-02,3.704475740775219766e-02,1.589195941811336055e-01,2.220264463517127862e-01,1.270993116905926035e-01,6.959705250873859939e-02,5.787963491629508628e-01,1.460532077126630059e-02
4.872686407565580274e-02,1.229161776105049987e-02,2.963316390240239989e-02,1.683624961810133991e-01,2.015604078281195977e-01,1.199465307322466062e-01,7.236681522187360383e-02,4.910474544517214879e-01,8.784421164623299957e-03
6.092463017145900023e-02,3.368239582784589986e-02,3.530133171109670065e-02,1.588433216644704049e-01,1.984051918260160974e-01,1.321648060091709098e-01,5.395226634598609960e-02,4.897272424419975012e-01,1.979794902718989835e-02
7.101910244023970642e-02,3.518599355825109687e-02,3.116909546061959885e-02,1.728044450678571098e-01,2.086364265999696987e-01,1.261567947113103882e-01,9.081602148118429751e-02,6.128806796706963711e-01,4.812984671945600042e-03
4.094753482080420309e-02,1.625947355084840160e-02,5.109108182385860286e-02,1.754096613679304861e-01,1.825007869415790906e-01,1.069368716798173996e-01,7.267550285153820400e-02,5.446508930275137939e-01,1.154630881908929978e-02
5.276370485275830302e-02,2.992432931617820119e-02,3.308143456154139656e-02,1.610025524332021896e-01,1.759431033628661989e-01,1.235269476514850029e-01,7.068292742745410639e-02,4.322781952822605800e-01,8.788698822524499202e-03
4.074138501829060316e-02,2.439905914489389968e-02,4.769295617355939765e-02,1.382914870404312879e-01,1.459217149351494935e-01,1.227688330109214937e-01,5.023066569358160260e-02,6.671955112945493482e-01,1.018455432005099977e-02
6.435292858672350680e-02,3.605930496442359690e-02,2.458551996206330068e-02,1.789125815561413979e-01,2.014606022048494871e-01,1.285107865816365880e-01,6.668582121597929624e-02,5.442211594887484960e-01,9.876304407447600645e-03
