Feature, Mean (R2 drop), STDEV (R2 drop)
GCN,0.012369385275120331,0.002501479
MV,0.02864426,0.004701908
EA,0.033453311,0.005204206
LC,0.055078341898108424,0.006847142
DOS,0.066918129,0.011358966226151521
DBF,0.11815110784816499,0.012334855202834201
SE,0.16282033582434163,0.013672663697245731
DBC,0.1873317063122889,0.016680049197758874
EAC,0.5551480819535378,0.048257179194354266
