Psi, d-Band_Upper Edge, Surface
12.307692307692307,1.437836745,Cu6Hf6
12.030075187969924,1.168453181,Cu6Zr6
14.076012932203518,-0.31283995050000013,Cu6Sc6
7.377049180327869,1.3822349545000001,Cu6Y6
8.181818181818182,0.8979281455000001,Cu6La6
19.014143373974324,-0.049889344500000155,Cu6Ti6
63.684210526315795,-1.8680057385,Cu6Ta6
24.651623486497844,0.05231231749999998,Cu6V6
63.684210526315795,-2.04947284,Cu6Nb6
31.055619590343433,0.048542895500000016,Cr6Cu6
15.254237288135593,1.300030773,Cu6W6
26.056120631070357,0.16184770300000006,Cu6Mo6
34.85824964229777,0.18364124900000012,Cu6Re6
34.85824964229777,-0.012231346500000129,Cu6Tc6
42.70674900830959,-1.2297457975000001,Cu6Fe6
36.81818181818181,-0.7875900920000001,Cu6Ir6
55.88840021707842,-0.9824037049999998,Cu6Ni6
29.09090909090909,0.29875636399999994,Cu6Os6
49.07896205989386,-1.1926456665,Co6Cu6
43.15628353253199,-0.6249816205000001,Cu6Rh6
43.85964912280702,-1.0766580669999999,Cu6Pt6
29.09090909090909,0.09345013099999999,Cu6Ru6
50.86223840955542,-0.9420298735,Cu6Pd6
63.684210526315795,-1.8240804069999998,Cu12
63.352515915538945,-2.1458232629999996,Ag6Cu6
63.684210526315795,-1.8260545804999997,Cu6Hg6
70.7371180917748,-3.0122663480000003,Cu6Zn6
57.81027884011307,-1.9096500635,Au6Cu6
63.684210526315795,-2.0290127405,Cd6Cu6
39.92578934475007,-1.10902067,Cu6Mn6
