Psi, d-Band_Center, Surface
6.617647058823529,-0.363940768,Sc12
12.307692307692307,-1.04826476,Hf12
6.861672096777493,-0.429588571,Sc6Y6
10.008115004720475,-0.784916678,Hf6Sc6
10.377163190906016,-0.776386324,Hf6Y6
7.377049180327869,-0.618285937,Y12
12.21444863313257,-0.987438995,Hf6Zr6
11.631904846694995,-1.021967899,Hf6Ti6
8.939242282660542,-0.401170549,Sc6Ti6
8.076536893718293,-0.464750141,Sc6Zr6
9.268875899853407,-0.464082276,Ti6Y6
13.616557889864383,-0.483631084,Hf6Ta6
10.220523019418271,-0.641372935,Y6Zr6
10.38961038961039,-0.600817269,Ti12
7.102627013887903,-0.472845413,La6Sc6
10.741568318583305,-0.900471125,Hf6La6
12.030075187969924,-0.852017203,Zr12
7.63610211213442,-0.703320949,La6Y6
10.909938148111106,-0.64088636,Ti6Zr6
9.003650960111802,-0.006749383,Sc6Ta6
13.326755466783169,-1.014158345,Hf6Nb6
12.1623012900989,-0.186435866,Ta6Ti6
24.589577634889757,-1.340856758,Cr6Mn6
16.666666666666668,0.066282957,Ta12
8.812025449030154,-0.596450649,Nb6Sc6
13.739297177359399,-0.788291673,Hf6V6
8.181818181818182,-1.629655906,La6Mo6
15.337423312883436,-0.64983714,V12
11.903449940688644,-0.602829778,Nb6Ti6
10.579427560794661,-0.743584155,La6Zr6
12.307692307692307,-0.506963111,Hf6Pd6
8.757628844082975,-0.585037816,Sc6V6
12.307692307692307,-0.21890791,Cu6Hf6
9.679911105988936,-0.295865543,Ta6Y6
11.829969982229875,-0.587666557,Ti6V6
13.411020025256969,-0.308809889,Ta6Zr6
15.337423312883436,-0.398589583,V6Zr6
10.38961038961039,-0.321820126,La6Ti6
12.307692307692307,-0.131966427,Cd6Hf6
6.617647058823529,0.012999224,Ag6Sc6
12.307692307692307,-0.382108717,Au6Hf6
9.47389268955678,-0.862466743,Nb6Y6
16.666666666666668,-0.716807984,La6Ta6
8.181818181818182,-0.84353835,La12
13.125592082986564,-0.845813427,Nb6Zr6
12.307692307692307,-0.2249498,Ag6Hf6
15.625,-0.860075297,Nb12
6.617647058823529,0.168106871,Cd6Sc6
7.377049180327869,-0.056268904,Ag6Y6
72.0,-6.9938204,Hf6Hg6
12.307692307692307,-0.202133741,Hf6Zn6
8.181818181818182,-0.601534044,Ag6La6
15.337423312883436,-0.458032124,La6V6
12.030075187969924,-0.192294185,Cu6Zr6
13.220501187158636,-1.156295364,Hf6W6
12.307692307692307,-0.584225862,Hf6Ni6
9.679911105988978,-1.090373953,Mo6Y6
12.307692307692307,-0.701824371,Hf6Pt6
6.617647058823529,0.050092686,Hg6Sc6
8.741767131583462,-0.76549378,Sc6W6
7.377049180327869,0.107183689,Cd6Y6
16.311948504870227,-0.399687056,Nb6Ta6
11.808543682248803,-0.69480145,Ti6W6
12.030075187969924,-0.45159844,Pd6Zr6
8.181818181818182,-0.727120101,Hg6La6
15.500421806660256,-1.067997611,Nb6W6
8.181818181818182,-0.532201139,Cd6La6
7.377049180327869,-0.050613302,Hg6Y6
14.865603938975775,-0.946985712,Cr6Hf6
9.829555329649786,-0.717283333,Cr6Sc6
9.00365096011178,-0.764838021,Mo6Sc6
12.16230129009887,-0.681689841,Mo6Ti6
15.625,-0.883821805,La6Nb6
15.271212847371359,-1.2150116,Mn6Y6
10.38961038961039,0.006545481,Cd6Ti6
12.030075187969924,-0.080258802,Cd6Zr6
15.432689254351342,-0.700530169,Nb6V6
17.524049753018105,-1.318728732,Hf6Rh6
16.21125489885758,-0.376513911,Ta6V6
36.93915010166979,-5.4187264,Sc6Zn6
18.68788459222437,-0.920868036,Co6Hf6
16.062227821529046,-1.151380589,Fe6Y6
14.076012932203518,-1.473339074,Cu6Sc6
14.641212098216133,-0.759246593,Cr6Zr6
21.686746987951807,-0.552289771,Cr6Ti6
6.617647058823529,-0.100357983,Au6Sc6
7.377049180327869,-0.203064998,Au6Y6
12.030075187969924,-0.136546513,Zn6Zr6
62.69430051813472,-4.524388882,Ag6Zr6
10.38961038961039,-0.07551561,Ag6Ti6
