DBE,Adsorption Energy,DBC,Adsorption Energy,DBC,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
-3.47273826,5.608978745,-1.71243,4.134827,-1.476197606,2.495111516
-2.536161554,4.7414235,-1.59332,4.39366,-1.30234079,2.623943949
-0.752864816,2.106999494,-2.029013,3.628236,-1.060716071,3.265591918
1.017038585,0.977673185,-1.192646,2.416516,-1.36088116,2.583624025
-1.824080407,4.110073135,0.048543,1.851158,-0.171115776,1.867945174
1.833424014,0.950402208,-1.82408,4.110073,-1.168994111,2.582668906
-1.224288597,1.88966081,-1.229746,2.438741,-1.351694907,2.688282001
1.278635883,1.839902482,-0.591604,0.587038,-0.627531158,1.661174983
1.249252752,1.083346689,-1.088746,1.76342,-1.145614102,1.678740204
1.268381968,0.728154183,-2.106531,1.936912,-1.547827245,2.733575349
0.778718708,1.677095004,-1.465673,2.508364,-0.784596223,4.211434587
-0.948184009,2.504732645,0.161848,1.896683,-0.051089497,1.759121679
-1.19361817,2.222465831,0.128622,2.130567,0.188109388,2.119152778
1.214418051,1.382594223,-0.982404,2.669206,-1.383373579,2.34829508
-0.096429899,1.926347062,-0.268666,1.884562,-0.319382668,1.480621193
0.454357761,1.59930963,-0.981709,2.796323,-1.091084734,2.063205493
1.370656504,1.560266056,-1.168994,2.582669,-1.19361817,2.222465831
2.894891372,0.439420039,0.183612,1.617196,-0.059782163,1.509700638
0.788634828,1.396295019,-0.624982,1.987524,-0.553269086,1.893514623
1.180552989,1.288465013,-0.426919,2.115206,-0.365350117,1.704283666
1.141165849,0.88328084,-0.930833,1.377864,-1.860722474,2.481784605
1.52658498,0.561387312,1.037468,1.886467,1.220367407,1.945962932
1.470632002,1.796520869,-0.012233,1.885344,-0.156126431,1.706457447
-6.904137429,4.489099412,-0.049889,2.176645,-0.990894172,3.135507626
1.290815509,1.262184122,0.052312,2.130293,-0.033505125,2.000818225
,,0.264451,1.650908,0.059140769,1.615414552
,,-2.342616,1.70534,-1.5874329,2.551482483
,,-2.136696,4.243782,-2.36946255,3.694731361
,,-0.633858,0.687921,-0.635492551,1.322552169
