Feature, Mean (eV), STDEV (eV)
GCN,0.029061563,0.025770993
MV,0.03883527,0.040711821
LC,0.04377637,0.115718249
DOS,0.045769064,0.068168259
EN,0.066419269,0.052246215
DBF,0.084833907,0.070747508
SE,0.090010464,0.073361017
EAC,0.156569787,0.157268698
DBC,0.186736361,0.139122382
