Valence Electrons,reaction energy (eV)
3,-0.294242
3,-0.294242
5,-0.801564782
5,-0.801564782
5,-0.801564782
9,-0.190685677
4,0.42099834
9,-0.464408253
4,-0.372653371
5.666666667,-0.670360333
7.666666667,-0.641831646
7.666666667,-0.595659098
6.333333333,-0.68179823
6.333333333,-0.755886257
6,0.069258686
6,-0.548283534
8,-0.621795904
8,-0.601596349
7,-0.696188154
7,-0.692298695
9,-0.361221597
3,0.705763024
9,-0.64674126
3,-0.355557819
5,-0.764267499
9,0.135769431
9,-0.286141579
11,0.098215544
11,0.139672088
9,-0.205955617
4,0.325127465
9,-0.425767544
5.666666667,-0.698376493
6,0.125528427
6,-0.877451345
6,-0.878578305
6,-0.550842901
7.666666667,-0.632293103
7.666666667,-0.588429169
9.333333333,-0.337701029
9.333333333,-0.328982502
6,0.243372223
6.666666667,-0.652150883
6.666666667,-0.663808784
7.333333333,-0.637119042
7.333333333,-0.615731983
4,0.587634325
4,0.587634325
4,0.587634325
6,-0.829805845
6,-0.829805845
6,-0.829805845
4.666666667,-0.985095634
4.666666667,-0.985095634
4.666666667,-0.985095634
6,0.307713812
6,-0.359031353
9,-0.23142003
7,-0.501775606
7,-0.558840463
8,-0.326054829
8,-0.350957463
6,-0.589161291
3,0.876429966
6,-0.759210399
6,-1.602611732
7,-1.663228219
6,-2.234331763
7,-2.205675727
6.5,-2.155592903
6.333333333,-2.288006218
6.666666667,-2.308307951
6,-0.651204607
6,-0.778274014
6,-0.743453103
6,-0.709968135
6,-0.746513023
6,-0.064934933
5,0.437008838
6,-0.753027292
5,-0.592959048
5.333333333,-0.877052018
6,0.370425711
8,-0.109113432
6,-0.36128568
6.666666667,-0.61304241
6.666666667,-0.608243954
7.333333333,-0.443576306
7.333333333,-0.509177238
7.333333333,-0.51145279
7.333333333,-0.599902305
8.666666667,-0.297858665
8.666666667,-0.240716528
10,0.008668322
7.333333333,-0.432063169
7.333333333,-0.385658372
8.666666667,-0.088125971
8.666666667,-0.149823975
6,0.213472898
7,-0.231333362
7,-0.362140797
6.333333333,-0.634006876
6.666666667,-0.543979237
7,-0.545305112
7,-0.600472791
8,-0.404449193
8,-0.402990527
6,0.288241346
8,-0.351022634
6.666666667,-0.617958282
6.666666667,-0.608851993
7.333333333,-0.469148884
7.333333333,-0.538295868
6,-0.90919288
6,0.013719163
5,0.358895023
6,-0.768699145
5,-0.641158028
5.666666667,-0.7821598
5.333333333,-0.906448748
6,0.154961756
7,-0.005653981
6,-0.434027015
7,-0.376304187
6.5,-0.500089044
6.5,-0.499939517
6.333333333,-0.576618748
6.666666667,-0.576331804
4,0.564801116
6,-0.858848691
4,-0.86205841
5.333333333,-0.939730448
4.666666667,-0.941223808
5,0.161877393
5.666666667,-0.878866745
5.666666667,-0.823022455
5.333333333,-0.852662591
5.333333333,-0.825813663
6,0.167627023
6,0.02817698
6,-0.679200359
6,-0.732194393
6,-0.630405586
10,0.038015528
10,0.085222109
6,-0.249322672
4,0.61473074
6,-0.806221602
4,-0.545815189
4.666666667,-0.959658569
11,0.520936638
11,0.084552981
11,-0.039638823
11,-0.053560439
10,-0.087636439
10,-0.216509689
9,-0.406855632
9,-0.302519567
4,0.071387297
4,-0.900437073
7.5,-0.182684442
11,0.55880985
12,1.109887993
11,0.151851087
11,0.592798229
11.66666667,0.674909124
9,-0.381685238
10.33333333,-0.065496168
9,-0.261946713
3,0.389513545
11,-0.273116578
3,-0.42257524
5.666666667,-0.441825798
11,2.144638688
7,1.88823439
11,1.25758118
9.666666667,1.661811322
9.666666667,1.576924185
8.333333333,1.231930641
6,-0.58091597
9.333333333,-0.297052392
9.333333333,-0.368792756
7.666666667,-0.637616739
7.666666667,-0.522698166
5,0.173489171
5,-0.63549738
9,-0.204253954
9,-0.249015047
7,-0.693316401
7,-0.593256741
10,-0.280273308
10.66666667,-0.121191068
10.66666667,-0.188891359
10.33333333,-0.337988381
10.33333333,-0.305950786
8,-0.334694171
10,-0.255305367
10,0.000240276
10,-0.261981136
11,0.538050965
10,0.275414443
11,-0.064991669
10,-0.173956254
10.66666667,-0.086079267
10.33333333,-0.22658484
10,-0.184818903
11,-0.302497117
10,-0.309796707
10.5,-0.179981943
10.5,-0.180449571
10.66666667,-0.052729539
