Valence Electrons,Adsorption Energy (eV)
7.666666667,2.722000035
11,4.393660381
11,4.774783976
11,4.695627013
11,4.85933478
8,2.855930113
10,3.770444179
10,3.663073909
6.333333333,2.119875921
6.333333333,2.151416228
10.33333333,3.363898485
5.666666667,3.13598641
7,2.502123618
7,4.14713572
9.333333333,3.260197534
9.333333333,2.978262698
7.666666667,1.750476895
7.666666667,2.011049025
9,3.449734482
7,2.011710398
7,2.174260729
10,2.659127452
10.66666667,3.872778711
10.66666667,3.846388566
11,4.848521112
10.66666667,4.071214462
10.66666667,3.982553379
10.33333333,3.356649236
10.33333333,3.340832483
10.66666667,3.771930465
10.66666667,3.655307235
10.33333333,2.623943949
10.33333333,2.642833956
9.666666667,4.063611601
10.33333333,3.318976164
10.33333333,3.33130673
9.666666667,1.984283228
9.666666667,2.041484006
8,2.567540193
9,2.567829858
3,2.992041999
5.666666667,2.868203807
7,2.019211488
9,3.598553405
9,3.478301945
7,1.80674786
7,1.890731306
7,2.999451115
8.333333333,2.898255651
9.666666667,3.908092148
8.666666667,3.786971965
8.666666667,3.62321685
6.333333333,2.146440354
6.333333333,2.241769859
9,3.321192939
7,1.997783611
7,2.100642779
6,1.719576192
9.333333333,3.245683526
9.333333333,3.005873137
7.666666667,1.532117784
7.666666667,1.684496772
3,6.301029544
5.666666667,3.416674011
5.666666667,3.151344651
7,2.355027584
12,4.147175856
11.33333333,4.820968905
6.333333333,2.249844565
12,5.363709208
12,5.458832723
9,2.339204845
11,3.946202099
11,3.628236398
11.66666667,5.105211402
8,2.384112336
10.66666667,3.682758896
10.66666667,3.628797225
9.333333333,3.721574302
9.333333333,3.592888539
6.666666667,1.844507192
6.666666667,1.892816106
12,4.98544553
12,5.045343772
9,1.615074818
9,3.179521359
3,5.838837114
6,2.837542564
7.5,1.922794344
7,2.722961821
6,1.940358884
6,2.002342199
10,3.158017563
9.666666667,3.471302225
9.666666667,3.311658886
7.333333333,2.063188758
7.333333333,1.928084101
9.666666667,3.478986448
10,2.707291194
11.33333333,4.430241461
8,3.414860237
8,1.993177405
10,4.242661011
11.33333333,5.147967833
11.33333333,5.078012263
10,3.265591918
11.33333333,4.436984986
7,3.172004486
7,1.714999509
10.33333333,3.133274523
9,3.382512704
9,1.717168664
8,1.96858498
8,3.157523404
3,2.445798638
7.5,1.61568272
9.666666667,3.351637716
9.666666667,3.347027971
7.333333333,1.733068548
7.333333333,1.540139428
7,2.203771474
7,2.194605592
10.33333333,3.387464496
4,1.893439247
9.333333333,3.665469327
6.666666667,1.825249424
9.333333333,3.414167299
5,1.876658259
9.666666667,3.270706706
7.333333333,1.883740838
6,1.54005657
6,1.667920822
10,3.065853286
3,3.123008485
6,3.06461095
12,3.616090733
9.333333333,3.707546154
9.333333333,3.528702871
6.666666667,1.990415177
6.666666667,2.045145569
9,3.999846213
9,2.106999494
9,2.292815966
9.666666667,2.416516332
9.666666667,2.494853144
10.33333333,3.249817071
10.33333333,3.253120805
8.5,3.160249849
9,0.904207891
5.666666667,2.110845143
9,2.322410523
9,3.364652784
9,2.196851075
9,2.430162025
9,1.816983694
9,2.061723289
9,1.125890736
5,2.393707342
