Feature, Mean (eV)
GCN,0.018419211254880698
LC,0.019854916604196252
MV,0.025574563
DBF,0.030120834663674913
DOS,0.032396401
EN,0.038510669
SE,0.058831877852445466
DBC,0.13129357386384014
EAC,0.13812539428626852
