Train Y,Predicted Y
2.880188109,2.958166
2.129892703,1.7926298
3.544645748,3.4214735
5.783039763,6.3197665
1.009584383,1.2161535
0.526317144,0.43863624
2.196851075,2.1275287
2.000818225,2.1091592
1.283404511,1.255039
2.567540193,1.8866245
3.07841202,3.185435
2.539916284,3.2183363
3.727911697,3.794777
1.493112987,1.5792257
1.78458133,1.9910406
1.836787187,2.3470583
1.653146537,1.695903
2.110743236,2.111669
2.03727767,2.0841563
4.950667341,5.2584777
2.407648142,3.0468624
2.093367135,2.1074412
2.548206368,2.2810504
1.374438427,1.4513024
0.944078146,1.2557126
1.678945242,1.4873492
4.436984986,4.65637
2.035513828,2.1604316
1.660185441,1.642898
2.768801166,2.6781633
3.158017563,3.606338
0.728154183,0.9213971
3.437413984,3.1293087
2.283395521,2.850182
1.375850154,1.611734
1.709302806,2.0174968
5.596425589,5.6110578
1.667920822,1.5511278
2.446262728,2.3925436
4.374206827,4.205475
1.241308092,1.4953715
2.505136598,2.4848514
1.240894207,1.7467401
3.637818479,2.9076114
3.388853093,3.5150614
1.617091861,1.9069418
2.011659785,2.4849637
2.241178556,1.9177382
1.790796547,1.6075131
1.011314347,1.129521
1.279766213,1.1906322
1.907733523,2.0998366
2.37558007,2.07317
1.781368074,1.8008674
1.615414552,1.4940342
2.401315101,2.033116
1.120788601,1.2739834
2.010847661,1.774227
1.706533639,1.823148
1.9923646,2.299785
4.120875238,3.9547548
3.478301945,3.2878394
3.104905159,2.6292605
4.211434587,4.545078
2.053697291,2.1668735
3.721574302,3.9123821
3.592888539,3.8222947
1.215659594,1.2600332
2.147865414,1.9424182
3.065853286,3.348979
3.2320079,2.593069
1.445581774,1.6693829
1.310324189,1.4479738
1.800112228,2.5656233
2.128556624,2.4539897
5.956332468,6.488395
2.175398028,2.2186525
1.419843479,1.5480666
2.246640425,2.7829175
1.934841776,1.587931
3.00340248,2.1308522
2.231490895,1.9505442
2.707291194,2.4366891
3.338592714,3.9452276
1.50928961,1.7484154
3.999846213,3.7853925
1.95520283,2.26288
1.733068548,1.9757036
1.660103535,1.5516229
1.684340579,1.496188
2.200823529,1.8937354
1.750000015,2.0561893
3.231892388,3.410365
1.471319253,1.418481
3.842028622,4.00262
3.123156515,3.6143613
2.302921458,2.2331321
1.79084852,2.1706727
1.296708021,1.295412
2.277959639,2.0108154
2.097938239,2.0968807
2.449461018,2.5023043
1.401297968,1.410911
1.851054796,2.2375383
1.835366616,1.7435982
1.759121679,1.7872859
1.940358884,1.8689989
1.790238713,2.2833416
1.70884824,2.0816183
1.750000015,2.0561893
1.286878725,1.1845757
1.980335128,2.1788182
3.179107474,2.962706
2.11657518,2.2029483
2.019693538,1.6627923
1.487429073,1.4918277
3.531879392,3.5310688
1.065566907,1.3275975
-0.020136152,0.9944842
1.903107724,1.9653486
1.296586386,1.3817393
1.095834266,1.2080086
1.993177405,1.923723
2.176645126,2.1200423
1.691173901,1.8404983
3.06461095,3.139429
1.42147276,1.1541824
2.474146642,2.368961
2.063188758,2.2195144
3.17968626,3.9876194
2.822549772,2.9911535
2.241178556,1.9177382
1.003657608,1.3937218
3.382512704,3.4751382
3.053565441,2.6985216
2.919558491,3.3365579
3.242404962,3.447073
3.665469327,4.0957527
1.890731306,1.726708
1.798877103,2.0956526
0.821817535,0.8297113
4.110073135,4.229676
1.073717397,1.1305243
1.989090391,2.3992324
1.422872514,1.8315986
1.09162276,1.2393925
3.426523308,3.7048028
3.741416299,3.9182656
1.911372501,1.8352026
2.189637201,2.2055793
1.458369492,1.8347148
2.045594693,2.1044497
1.966217318,2.0877843
1.244411007,1.2459568
2.360966741,2.3062303
1.737143589,2.0399506
1.816983694,2.09852
1.923490275,2.0478313
3.062087911,3.1418388
4.881682537,4.4368777
1.311196722,1.4758842
1.379298381,1.4136997
7.272798539,6.8195796
1.827539942,1.9449786
1.765145191,2.3409266
0.264096549,0.4749937
2.705777016,3.0504422
3.655307235,3.7656705
2.00197811,2.0779178
0.846466967,1.416777
2.734937143,2.5126839
4.848521112,4.5180745
1.925742833,1.6193587
1.488755356,1.2580521
1.810369287,2.2830274
1.579597296,1.57928
2.382733535,2.1531124
1.791174785,1.7130574
1.522835301,1.6872725
2.09504322,2.5465019
2.488121728,2.0879846
1.737972856,1.9407281
3.18741266,3.7403507
0.828190305,1.4036589
1.272320907,1.52541
0.775250694,1.1587212
2.112557147,2.1662068
1.870942916,1.4948679
3.262812003,3.6535134
4.577755189,5.0308185
1.898540021,1.7723254
1.726820678,1.8172847
1.993551289,1.8790942
1.592259297,1.9875603
2.005152318,2.0068843
2.978262698,3.5534
0.734244771,0.47824305
1.268940845,1.4627267
1.678218834,1.5749332
1.086538993,1.4237882
1.749373745,1.8944532
3.096103909,2.7749934
2.085213788,1.5723802
1.656796264,1.657384
1.7197581,1.8647641
2.143409686,2.5292006
3.771930465,3.6135654
3.07841202,3.185435
1.89885853,2.1416667
4.02485606,3.4790344
2.664518163,2.50324
1.997783611,2.6053782
2.649555576,2.348545
1.288465013,1.3574388
3.351637716,3.4970207
2.945488763,3.629623
4.140889346,4.260974
5.458832723,5.4971175
1.892816106,2.296887
1.887066341,2.076034
2.499090365,2.9021459
0.71299336,1.3952037
1.783190965,2.1755052
0.960501985,0.9741344
3.038441354,2.7398424
3.178323241,2.5734336
1.959217597,1.8140894
2.529422486,2.4958315
0.865816166,1.0777142
1.140747471,1.0606269
1.55654109,1.70266
4.407675196,4.4811487
2.332683773,2.2248316
2.301708782,2.1323035
1.615436729,1.9611849
5.078700303,5.017863
2.735028573,2.9016395
2.517936833,2.81595
2.919433455,3.0956707
1.179115114,1.0744177
1.626479789,1.4585192
0.772304109,1.1135279
1.349348035,1.323591
3.478986448,3.4961154
1.876658259,1.8682905
1.496570057,1.3678025
1.970443518,2.0304394
1.584946917,1.753317
2.36121314,2.4074683
1.46501043,1.5641079
2.980894992,2.6569865
1.965458392,2.1768963
2.355027584,2.403432
2.019567821,1.8263222
3.106964381,2.8502555
1.685060592,1.8638207
1.999558338,1.9288443
1.922671212,1.7914573
1.828297235,1.6239783
1.981092149,1.8860325
1.11796093,1.5519359
1.843052064,1.8646604
1.333238079,1.4826386
5.179315075,5.5860095
2.745851085,3.0982938
0.977673185,1.1857408
2.85338925,2.568509
3.629189341,3.6663613
1.571825588,1.4895154
0.771900972,1.0833672
1.434722255,1.2535496
2.507316638,2.7412603
1.092251343,1.5413545
1.393364081,1.4500972
1.248992179,1.3917826
1.614726376,1.4793421
1.923733545,1.7941638
3.019686724,2.8739264
3.754501709,3.585271
2.64540516,2.980346
1.008863553,1.8272723
5.231124598,5.3018193
3.356291815,3.5400321
3.253120805,3.3411465
0.950402208,1.0233109
0.943924402,1.2786134
1.051206508,1.3862001
1.919199176,2.2491279
3.440241247,3.1727948
3.160249849,2.8768458
1.393060674,1.5016817
5.608978745,5.719155
2.239718257,2.1194527
2.650589064,2.4453616
2.051355479,2.036608
1.397355583,1.6681137
2.559051602,3.3358457
1.605617093,1.9034215
2.099228059,2.4904816
1.984526225,1.8052436
0.294637926,0.5201615
3.663073909,4.34952
1.400260806,1.4669152
4.979302288,5.4903646
0.891511059,1.4184196
0.83620052,1.8982484
2.51680171,2.5573623
4.075780532,3.9034142
3.643132046,3.6575067
2.813355726,2.6678464
3.982553379,3.9598274
3.734145826,3.894164
1.323482798,1.3825983
1.866088949,2.0957859
1.999209352,1.7686697
1.525936855,1.7721735
1.364074836,1.577376
1.048611766,1.2073425
2.499578673,2.993597
1.629989241,1.6354666
1.893439247,2.0064707
1.993154955,2.5882752
4.422950306,4.056006
3.440840986,3.7316594
3.628797225,3.963614
1.735675807,2.130737
2.868203807,3.3804297
1.878734896,1.4780338
1.136454603,0.75198925
1.731334911,1.7582862
3.356649236,3.4706745
6.301029544,6.576986
2.455657867,2.5925727
2.725765682,2.3564663
2.7311134,3.0741587
4.590125348,3.5642428
2.48609067,2.201105
2.119152778,1.9187461
2.143324651,2.1252885
1.867945174,2.4753737
1.138339808,0.992129
2.084632417,1.7564195
3.786971965,3.9516273
4.602759457,4.8305163
1.830893065,1.5633687
2.34829508,2.6960223
3.62682576,4.1881795
3.270706706,3.557192
1.167087682,1.4502331
-0.012815337,0.44588935
3.321192939,3.808209
2.714244246,2.8840394
1.85220366,1.8440696
2.222465831,2.7959185
0.994543291,1.5706155
1.880955481,2.0961554
2.054952552,2.1769838
1.617196081,1.9059814
1.862780997,1.825816
2.847817991,2.4290097
1.405067153,1.28624
1.574993674,1.4863948
3.831129919,3.379581
1.621280238,1.4609069
3.787972936,3.715383
4.292272534,4.679622
0.844061617,2.0198927
1.717840105,1.7619327
1.514018677,1.3231124
1.971814835,2.1006927
1.102603778,1.9735122
4.97246502,4.8301406
2.280049201,2.1969292
4.001872917,4.1144896
1.97001766,1.98758
1.52354443,1.3602552
0.128615422,0.66856813
2.241178556,1.9177382
2.307262218,2.4883852
2.606402539,2.431293
0.102673449,0.66619104
1.82802825,1.8593119
0.930602661,1.195053
1.968100482,1.9146823
2.721173625,2.691493
2.329974199,2.1578112
3.013753146,2.667699
1.480621193,1.89126
2.115206311,1.9878612
4.365008018,4.394609
1.76341999,2.2968562
0.775008784,0.5407859
2.068991585,2.502954
1.947884464,1.7986872
2.660063524,2.4080496
3.021070967,3.0056336
2.141450466,2.3830042
1.713947245,2.1028445
2.683271841,2.5441496
1.293342789,1.2552015
1.238554436,0.9916728
3.139105651,3.0548105
3.13598641,3.2217307
2.481784605,2.7478142
2.069791872,2.4177494
5.193137914,5.394972
5.033120555,5.199633
1.946629203,1.9237937
2.827552313,2.3360033
1.635388796,1.5173525
0.981514752,1.1613036
2.225481261,2.2823684
4.53822562,4.850546
1.17924015,1.8956474
4.107061106,4.5025315
2.068734574,1.8935776
2.723424823,2.7142873
1.225151605,1.2171364
4.163048937,4.382474
2.028585946,2.0114613
2.329251873,2.2805302
4.7414235,5.1615596
3.375789315,3.5754015
2.469502203,2.283014
1.62357062,1.7823229
1.89413409,1.8811258
1.298531864,1.4586269
1.763020254,1.9281036
1.70533974,2.490592
1.632895009,1.7097806
1.714999509,1.32086
2.387174433,2.0059597
0.561387312,0.82862866
2.061723289,2.552187
4.518392875,4.536718
2.010220574,1.5185982
0.587037715,1.5742528
2.722000035,2.8737922
2.473828405,2.3352292
2.097416461,2.0538251
2.996302349,2.7469683
1.862003704,2.3822203
-0.02759969,0.31340075
1.809722064,1.9505572
3.705253186,3.9267683
2.384112336,1.7782301
1.794784647,1.1915575
2.551482483,2.3198345
1.745640616,2.339475
1.321130238,1.3357929
2.865587569,2.9719348
2.804761146,2.9282448
2.359272832,2.9468591
2.34649736,1.9016262
1.572816899,1.7363569
2.011049025,2.356935
1.604671905,1.4857473
2.106999494,2.3736377
2.435198852,2.2203074
0.398795212,1.222341
2.499090365,2.9021459
5.045343772,5.766763
3.287039523,3.3691654
2.997486317,3.4589062
3.189311198,3.4728675
2.069315945,1.776859
0.907120053,1.2786188
2.498024631,3.5028794
2.473828405,2.3352292
1.229890468,1.721378
3.875474542,3.7289762
1.992703926,2.0858772
2.467598494,2.5002716
1.888176838,1.6331537
3.348749499,3.4614353
0.782355178,1.240122
2.353089181,2.314909
2.434752313,2.1311278
5.31787068,5.4043164
1.226309178,1.5435388
1.716112046,1.9918176
2.445798638,2.3133852
3.00267131,3.1428173
1.772626553,1.8229846
3.506645187,3.5357459
1.921188192,1.7656039
1.764426539,1.8452014
6.984898424,7.335625
2.11848365,1.7690265
2.952963731,2.3891165
1.917778197,2.4559395
0.85265606,1.0437717
2.450516276,2.4398155
3.12616242,3.6716614
2.303397113,2.3858383
1.754005939,1.8239664
4.695627013,4.8011937
3.616090733,5.0754886
2.033004122,1.5307697
1.162705561,1.5508395
3.62321685,3.7591603
2.413361444,3.0555835
3.68093655,3.8787975
3.156969244,3.1391144
2.283616477,2.2365181
1.750108589,2.018806
1.716493142,1.9354943
5.667144574,6.2281857
3.528702871,4.0101533
2.987824234,2.3941188
1.727759879,2.141241
2.30631635,2.1902707
1.562287998,1.3712815
4.260301334,3.8391242
2.860196858,3.336018
0.74381379,1.5487486
4.85933478,4.5138783
2.079235039,1.583971
2.494853144,2.7788334
2.438740686,2.8238053
1.949428438,1.0227472
2.249844565,2.363395
3.197928091,2.7467651
1.542274842,1.7502201
3.872778711,3.7707033
1.966217318,2.0877843
1.120758533,1.1874982
1.654156351,1.1897
1.552453804,1.7439805
3.707546154,4.0270357
2.192337523,2.026766
1.715640201,1.700061
2.03319433,2.08876
1.563092911,1.9242748
4.98544553,5.6306734
2.360915856,1.860516
3.046307621,3.443431
3.114394721,3.0620673
1.945962932,1.4162787
3.790806321,3.3847613
1.88966081,2.0445478
1.13549581,1.1642892
1.984283228,2.2445955
2.119875921,2.0743103
2.568014079,2.5362935
0.618295023,1.5802715
2.473828405,2.3352292
1.083346689,1.4417816
3.831840136,3.1896365
2.397028083,2.263126
1.81061487,2.1909802
1.744027253,1.5336803
1.538341572,2.3895714
7.020413906,7.4095654
2.130292847,2.3731594
2.044353718,1.444231
1.339113289,1.1146445
1.00163172,1.2900242
1.619419931,1.5642394
0.995830661,1.3426675
2.002961258,1.9385595
2.220673689,2.1909518
2.085834752,1.7252325
4.212212697,4.3019295
1.070116651,1.153992
1.975080474,2.046759
1.704082438,1.5463628
1.896682708,1.9374787
1.840744266,1.9829676
2.942794156,2.5317824
1.653115652,1.9127414
2.659522834,2.5917504
1.273914677,1.413648
2.267132774,3.6567872
1.68369703,1.769269
2.368107416,2.746134
5.078012263,4.940028
1.970443518,2.0304394
1.077728899,1.2068602
3.37708172,3.415563
2.041484006,2.3838162
1.030446399,1.2116762
2.526313314,2.723319
1.342907236,1.904431
4.173729405,3.8390317
1.750169406,1.8681314
4.55285514,4.295557
1.532449899,1.94749
1.46501043,1.5641079
1.960218976,1.9915756
3.416674011,3.6283455
3.198005236,2.9371176
2.70243505,3.0151262
1.958980858,1.7195696
7.269551404,6.767401
2.499090365,2.9021459
2.918515887,3.03453
6.115356067,5.994183
1.252336322,1.3415519
2.467728565,2.40588
2.583624025,2.859775
1.717168664,2.174224
1.092159368,1.1102462
3.696152203,3.2593815
1.509700638,1.4885589
3.770444179,3.9160118
0.796065906,0.78045166
1.808719052,1.2060798
4.864725899,4.0939
3.950400135,4.9263573
1.382594223,1.3680345
3.364652784,3.7381327
1.640166843,1.7655463
1.564065038,1.3964258
2.336466291,2.638721
5.363709208,5.523209
4.896599954,5.057221
1.087564046,0.9699241
1.695366632,1.6890723
3.854677426,3.9373636
5.105211402,5.127086
3.555957248,3.3924966
1.121699638,1.5328529
0.765883583,0.82780576
3.430066502,3.364039
1.901685521,1.4774903
2.085094058,2.1783786
2.996337724,3.3552084
3.681202269,3.6842675
1.625276774,1.448127
0.859952929,0.84709835
5.766888718,6.1447186
1.507637743,1.94747
5.331336913,5.3136644
3.373781115,3.386599
2.681246906,2.6578922
2.999451115,1.9724532
1.763987075,1.6783422
6.159306534,6.8099275
3.45301876,3.32547
1.80701698,1.7501363
2.815842846,2.414915
0.334450221,0.9451374
3.373778258,4.24834
3.724234623,4.2557807
3.099108726,3.5480986
1.609488729,2.241927
0.347093718,0.6578132
0.077084136,0.25840825
2.057049597,2.0029573
1.708695312,2.6416
2.65449349,2.8033412
2.286033937,1.9982611
3.347027971,3.4276013
0.493712736,0.6629745
2.510177507,2.533636
1.517795889,1.8164166
1.707572434,1.7719237
5.497811942,5.2428317
1.583404712,1.5941659
2.805203603,3.2844326
2.16848348,2.1524134
2.064652322,2.201819
2.732427709,3.0869966
1.623112788,1.61192
1.732635343,2.269243
3.194221356,3.6023855
1.165175402,1.3025707
5.897265669,6.115629
5.5093195,5.025222
2.945397469,3.5815108
2.837542564,3.0870013
2.251206903,2.284466
3.239231162,3.5238192
1.553761447,1.4749303
1.686820896,2.400942
3.550123672,3.1270967
1.89170561,2.076876
1.504054548,2.2125392
4.243781575,3.3695145
2.163391277,1.5763704
2.502123618,2.5656748
1.626823741,1.3977823
3.920796871,3.6938882
3.395911317,3.5765214
1.707825092,1.9300084
2.166237452,2.0333872
1.483848191,1.7145023
1.435521862,1.3695533
1.966217318,2.0877843
2.146440354,2.443446
2.117695881,2.5665236
3.260197534,3.4902196
0.74276724,0.994382
5.41603289,5.4745736
1.54887197,1.4885163
1.483848191,1.7145023
2.271318565,1.8713732
2.290951714,2.2351794
4.489099412,4.9701257
1.50928961,1.7484154
3.803851867,4.0298476
3.07841202,3.185435
1.237112369,1.4081872
2.096362428,1.6963004
1.840564399,1.8680748
2.271318429,2.1619823
3.037377661,3.2962718
1.50928961,1.7484154
1.137666598,1.1918579
1.272667308,1.2457465
1.307547676,1.6952604
1.109903639,1.4225599
2.397028083,2.263126
2.898255651,2.4422157
2.46529818,2.9180133
1.335982483,1.4109825
1.737020049,1.8879226
1.683313349,1.9595596
1.115912865,1.4008869
1.552008082,1.4997531
1.948397807,2.0064716
1.086712465,1.3636817
6.739759638,5.358063
1.737020049,1.8879226
0.967880216,1.436561
1.322552169,1.9108613
1.667561767,1.8189639
3.741125818,3.9182656
1.077728899,1.2068602
2.54624089,2.5048776
2.339676962,2.3225954
1.907694067,1.6643274
1.960218976,1.9915756
2.322410523,1.7148354
1.720586278,1.5684048
1.828781189,2.0615458
3.598553405,3.239001
1.393525717,1.4641771
1.030438371,1.342556
2.241225631,2.0866153
1.88605884,2.2807631
0.943558137,1.0387547
1.665420776,1.6937234
1.839902482,2.3933516
2.709249733,2.6076922
2.234383193,1.5890812
1.577339159,1.8397976
2.543948195,2.7882721
2.945752714,2.740902
3.292448058,3.2022276
2.219680338,2.6329622
2.141450466,2.3830042
2.238418913,2.7385483
2.860552919,2.1052492
2.288234657,2.1868768
3.041640188,2.956721
6.235454463,5.6596017
1.864708516,2.149559
1.714111738,1.6835123
1.560266056,1.7221816
2.744544122,2.632459
3.245683526,3.150042
1.938470958,0.85659474
1.75613142,1.6494064
1.267105029,1.3006054
4.178295475,3.4514756
3.338202503,3.503655
0.662904005,1.3614885
1.485213794,1.8406676
2.735525862,2.819609
2.918400511,3.1407406
3.728585043,3.8969002
0.439420039,0.41177094
2.888440233,2.748942
1.796520869,1.8420604
3.449734482,3.642211
3.698386258,3.4145432
1.500473122,1.3169378
2.433436779,2.0475795
3.503187164,3.5278153
3.471302225,4.0024614
1.970443518,2.0304394
1.882638096,2.4334917
1.587503019,1.8746737
5.521497683,5.581708
1.932517652,3.656195
1.873073431,1.9760624
1.320359748,1.7069311
3.387464496,3.386446
3.221671928,3.4186475
4.436308375,4.5031295
4.938399905,5.266178
2.20871415,2.1260161
4.724178557,5.110082
4.774783976,4.8561654
1.37337419,1.4837251
3.172004486,3.541459
2.716914091,2.821908
0.721671343,1.1190603
1.87763746,2.377781
1.61568272,1.5238777
2.911781342,3.780365
3.371693186,3.3320677
0.849913697,1.0586838
3.750634428,3.755104
2.804689988,2.4773724
1.996349844,1.9447423
2.81422785,3.091345
0.99134296,1.7529842
2.105341912,2.4223804
3.006130829,3.3974636
5.147967833,5.011232
1.305268994,1.6928107
-0.02759969,0.31340075
1.833897882,1.4590834
4.242661011,3.3250177
1.751400857,1.6253952
1.929447935,2.4513314
5.336980418,5.7187495
0.503803942,0.85659474
4.199358039,3.773882
1.869157985,2.451047
0.334540971,0.5726161
1.562132077,1.7698551
1.325873182,1.5071963
1.159011071,1.064332
1.114628352,1.2615631
2.493743328,1.9867073
2.045145569,2.4804158
3.084549956,2.7030606
2.937726308,2.6970649
2.669206141,3.0614333
1.390375455,1.7165582
1.893514623,1.9590164
2.203771474,1.6468922
2.244876583,2.2682567
1.677475011,1.8187023
1.389192304,1.517259
0.88328084,1.7286576
2.581273642,3.632442
1.210932297,1.5942682
1.30426816,1.2279736
0.336639513,1.7126267
-0.02759969,0.31340075
1.258727868,1.2510358
4.164549237,4.4086637
3.112910748,2.6710982
0.800998921,1.1726848
2.429636573,2.5636973
0.859268562,1.2031032
1.684496772,2.01861
3.047267366,3.638825
1.077728899,1.2068602
0.47454599,0.6317228
1.37883293,1.352198
2.119377544,1.8532618
1.396295019,1.3752905
2.919639173,3.1045024
1.614910189,1.6144925
0.94797332,0.6938392
2.429636573,2.5636973
2.506619619,2.9334016
1.821629221,2.3927832
1.831763421,2.4710007
2.006232882,2.1356893
2.992041999,3.4142785
