Sublimation Energy,reaction energy (eV)
266.3,3.426808483
266.3,2.050680501
266.3,1.961799686
291.7,2.431486947
291.7,2.272741312
317.1,2.339808257
317.1,2.171728301
159.6333333,1.246558937
391.2,1.001724919
391.2,-0.223120967
307.9333333,0.775951931
307.9333333,0.805714382
266.3,3.530969579
313.1,0.844416181
281.9,1.639051312
281.9,1.516266065
360.8,-0.523344981
297.8,0.400401908
297.8,0.481627753
655.5,-1.134414021
266.3,-2.99713733
655.5,-2.997226176
460.9,-1.423310209
396.0333333,-1.219288505
586,0.507282373
479.4333333,0.40542268
372.8666667,1.212680492
406.2,-0.931313831
406.2,-2.912099171
233.2,0.96435158
636,-0.888006641
636,-1.436209357
636,-1.454437175
636,-1.431986967
716.8,-1.144779382
266.3,-1.91167414
716.8,-1.912962191
266.3,-1.104305033
395.2,0.203387543
309.2666667,1.214890465
396.7,2.66695712
396.7,1.684438676
309.7666667,2.103357386
309.7666667,1.956787485
353.2333333,1.581738015
353.2333333,1.575832873
510,2.310644049
347.5333333,2.078359785
347.5333333,1.845480135
428.7666667,1.267181493
428.7666667,1.338576953
738,-0.496411289
738,-1.01023283
516.7,0.612177904
349.7666667,1.549536608
433.2333333,0.523464711
349.7666667,1.345236803
605.7,0.274504087
492.5666667,0.082503011
266.3,-3.026763317
334,-3.028793694
266.3,-2.283985328
771,-2.283868999
771,-1.323366606
443.7,-2.648170789
325.4333333,-1.307117192
475.8,-1.107157603
475.8,-2.031020684
475.8,-2.036006218
475.8,-1.102376835
266.3,-1.156093331
835,-1.169014793
835,-1.746280083
266.3,-1.742035652
835,-1.757145997
266.3,1.879304702
391.4,-0.433011894
266.3,-2.968361564
391.4,-2.968642658
126.35,0.507622788
266.3,-2.650263344
601,-2.649893541
433.65,-1.279304028
377.8666667,-1.186021091
342.5,3.705461217
342.5,2.619231618
342.5,2.415031951
263.7666667,1.696638083
263.7666667,1.688520519
185.0333333,1.460941784
185.0333333,1.437884218
391.2,1.327002455
391.2,0.368093424
391.2,1.357766285
358.7333333,1.289035091
359.5,-0.394555814
332.7,2.075916746
332.7,1.922733798
322.9,1.463114069
322.9,1.365880039
360.8,1.011918303
360.8,0.027534519
348.6,0.942270358
655.5,-1.054402621
655.5,-3.022896715
155.16,2.174596653
586,1.581751213
406.2,-0.716519139
406.2,-2.642799261
636,-0.90069735
636,-1.197254223
716.8,-1.078818035
716.8,-1.781963051
395.2,0.737789598
360.0666667,1.573821407
360.5666667,2.426776929
360.5666667,2.198265115
378.6333333,2.020223343
378.6333333,1.870309979
398.3333333,2.422497122
398.3333333,2.106341659
454.1666667,1.774545364
454.1666667,1.678456389
738,0.619271912
400.5666667,1.866344328
458.6333333,0.866565159
400.5666667,1.81761391
605.7,1.649569737
605.7,1.649216261
334,-2.668980694
339.6666667,-0.550737049
771,-1.215210743
771,-2.086712863
573,1.013833441
443.7,-1.09895269
443.7,-2.475922593
475.8,-0.997681307
475.8,-1.79231467
835,-1.206209761
835,-1.470756114
342.5,2.051169353
391.4,-0.194579626
391.4,-2.668131563
358.8,-0.264507304
270.45,1.583280901
601,-1.029638221
601,-2.61585142
106.3,0.904440412
106.3,1.025209024
313.1,0.515538987
175.2333333,0.993836339
191.1333333,0.255223052
191.1333333,0.292584827
655.5,-3.057821302
289.3666667,-1.216663831
289.3666667,-1.335537849
91.36333333,1.253113887
586,0.653885609
266.2,1.347396707
426.1,0.610801961
406.2,-0.795606714
406.2,-2.799056688
233.2,-0.203148899
148.6,0.683898677
148.6,0.790535328
106.3,-0.662429711
106.3,-1.133030867
636,-0.665241191
636,-1.130750281
106.3,-1.130923889
636,-1.130918719
716.8,-1.103902985
716.8,-1.934480681
106.3,-1.934436598
716.8,-1.934807762
106.3,-1.090510903
395.2,0.387133365
202.6,0.905952413
203.1,1.471312042
299.9,1.744658965
299.9,1.755822979
240.8666667,1.829835086
240.8666667,1.4217012
375.4333333,1.685431483
375.4333333,1.652899457
738,-0.204865257
516.7,0.755444072
311.5,1.417697589
243.1,1.235581049
379.9,0.721732024
311.5,1.637444072
334,-2.971840404
771,-1.224046007
106.3,-2.286633132
771,-2.289746114
771,-1.326918099
573,0.481163526
339.65,0.435261459
573,0.39931182
443.7,-2.739338449
218.7666667,-1.179526278
218.7666667,-1.283942072
475.8,-2.011007936
475.8,-2.006093968
475.8,-0.986876211
229.4666667,-0.777885708
835,-1.071517629
835,-1.470453931
835,-1.462704946
391.4,-0.212418593
106.3,-2.826294739
391.4,-2.8302076
248.85,-1.102929498
248.85,-1.548277673
112.9833333,0.482898796
112.9833333,0.607710611
119.6666667,0.134888054
119.6666667,0.326952805
601,-2.738200741
353.65,-0.006902031
271.2,-1.125139701
271.2,-1.178505987
391.2,1.332403778
391.2,-0.253032128
391.2,-0.20143499
391.2,0.062586591
365.1666667,-0.079230978
365.1666667,-0.097794856
339.1333333,0.513194183
339.1333333,0.423933905
370.9333333,1.174589589
376,1.080796439
567.4,-2.702924719
523.35,-1.766781004
391.2,1.065374795
61.49,3.657370267
391.2,1.080803377
586,1.358237858
456.1333333,0.374171766
456.1333333,0.353940647
521.0666667,0.290400977
521.0666667,0.367625252
406.2,-1.707129705
401.2,-1.999080914
398.7,-1.935813222
392.5333333,-0.032668627
392.5333333,-0.073014946
393.8666667,0.181381153
393.8666667,0.183127715
391.2,1.652553737
661,0.42683491
481.1333333,-0.017137185
481.1333333,0.215091295
571.0666667,-0.380181265
571.0666667,-0.334788731
391.2,1.212888115
393.0333333,0.175269884
393.0333333,0.158548625
394.8666667,0.871470963
394.8666667,0.84923314
391.2,1.49989039
430.8,0.624480715
430.8,0.425774074
470.4,1.085054476
470.4,1.147464873
738,-0.482876483
506.8,-0.461726299
506.8,-0.194360711
622.4,-1.164200146
622.4,-0.920002603
391.2,1.285948912
433.0333333,0.091649437
433.0333333,0.163127484
474.8666667,0.224054181
474.8666667,0.317961483
462.7,-0.198616163
462.7,0.044027747
534.2,-0.363146258
534.2,-0.298040709
391.2,0.050415347
391.2,0.050415347
391.2,0.050415347
334,0.604218574
334,0.604218574
334,0.604218574
334,-1.810907664
334,-1.810907664
334,-1.810907664
353.0666667,-2.176317229
353.0666667,-2.176317229
353.0666667,-2.176317229
362.6,-2.28698824
362.6,-2.28698824
362.6,-2.28698824
391.2,0.766308897
443.7,-0.566314749
443.7,-2.233408073
426.2,-2.535144496
417.45,-1.607921217
419.4,-1.339338327
419.4,-2.130721834
447.6,-2.131296675
539.1333333,-0.907964831
539.1333333,-0.776859839
687.0666667,-1.607730329
687.0666667,-1.503300113
391.2,-0.18960661
391.4,0.696978236
391.4,-1.729924409
391.3333333,-2.155700388
391.3,-2.372213342
391.2,0.247652301
302.9166667,0.108090147
302.9166667,0.149780981
214.6333333,0.633955719
214.6333333,0.564899757
391.2,0.59128582
601,-0.480626782
601,-2.309373413
496.1,-1.87085203
359.5,-0.926688303
359.5,-2.500851622
359.5,-2.499425337
359.5,-1.525893725
344.0333333,-1.646489136
344.0333333,-1.54056311
328.5666667,-0.68120475
328.5666667,-0.575949348
359.9333333,-1.64291805
359.9333333,-1.61504162
360.3666667,-1.329592978
360.3666667,-1.24770889
655.5,0.03303394
655.5,0.03303394
655.5,0.03303394
359.5,-2.606100084
359.5,-2.606100084
359.5,-2.606100084
458.1666667,-2.612294756
458.1666667,-2.612294756
458.1666667,-2.612294756
556.8333333,-2.791306205
556.8333333,-2.791306205
556.8333333,-2.791306205
359.5,-0.423890366
435,-1.190340082
435,-0.985268699
510.5,-0.322337618
359.5,-1.822255764
406.2,0.522878442
359.5,-2.456827412
406.2,-1.345951782
359.5,-2.056962521
233.2,-1.431215116
359.5,-3.061667359
233.2,-2.991351918
317.4,-3.305360404
317.4,-3.305107202
275.3,-3.093569849
636,-0.916730434
636,-1.368334506
543.8333333,-2.015531692
543.8333333,-2.083079735
359.5,-0.79540603
716.8,-0.385641773
359.5,-2.298573895
716.8,-2.150417026
597.7,-2.430560808
359.5,-0.364807785
661,0.24683215
460,-1.420761046
460,-1.145181022
560.5,-1.044909385
560.5,-0.683363293
359.5,-0.796872315
371.9,-1.595836097
359.5,-0.591697936
409.6666667,-1.173692702
359.5,-0.512142054
738,-0.654212826
359.5,-1.297368849
738,-1.009421387
548.75,-0.96355347
485.6666667,-1.451145006
611.8333333,-1.375472868
359.5,-0.664937376
411.9,-1.509075185
464.3,-0.614522301
359.5,-0.575392603
605.7,0.626013124
441.5666667,-1.612677767
441.5666667,-1.360659807
523.6333333,-1.111941228
523.6333333,-0.826206867
351,-2.633048742
342.5,-2.769421994
359.5,-0.65867835
771,-0.456301846
359.5,-2.287007152
771,-2.28697858
633.8333333,-2.552319913
359.5,-0.688173585
573,-0.158555291
359.5,-1.556635786
573,-0.888095894
430.6666667,-1.61738969
501.8333333,-1.360732462
359.5,-2.672127555
443.7,-2.458966635
387.5666667,-2.656476383
415.6333333,-2.670056496
359.5,-1.67121163
398.2666667,-2.442553681
398.2666667,-2.414266495
437.0333333,-2.427348368
437.0333333,-2.456077058
359.5,-0.322297073
835,-0.817735011
359.5,-1.682775924
518,-1.671441975
676.5,-2.11025071
359.5,-1.225965362
370.1333333,-0.954227584
380.7666667,-0.834360214
359.5,-0.549737846
359.5,-1.265047984
126.35,-0.469304941
359.5,-1.269777867
204.0666667,-0.232298414
359.5,-1.265933442
601,0.02028527
359.5,-2.608167877
601,-2.164219456
520.5,-2.686555303
313.1,2.560818709
313.1,0.927200286
313.1,0.815140814
360.8,0.706464125
329,0.189130275
329,0.013348953
344.9,-0.446155809
344.9,-0.427471929
655.5,-1.077344266
313.1,-3.186677545
655.5,-3.187125988
145.36,1.698876492
145.36,1.483095796
404.0666667,0.990622266
404.0666667,1.094836288
495.0333333,0.463873141
495.0333333,0.297193347
406.2,-0.625380051
313.1,-2.52431627
406.2,-2.527907356
233.2,0.235717116
286.4666667,0.885792995
259.8333333,0.175920508
273.15,0.859713605
636,-0.796774082
313.1,-1.307316379
420.7333333,-0.510622979
528.3666667,-1.416902336
528.3666667,-1.269130236
716.8,-0.939828953
313.1,-1.843869766
716.8,-1.843421322
447.6666667,-1.82498561
447.6666667,-0.938497364
582.2333333,-1.825010508
582.2333333,-0.93928146
340.4666667,0.831957449
340.4666667,0.669621408
367.8333333,0.271208516
367.8333333,0.235364593
429.0666667,0.495550049
429.0666667,0.89703878
545.0333333,0.169962304
545.0333333,-0.22997048
661,0.435814259
313.1,2.686780205
396.7,2.842403878
313.1,1.133460807
396.7,1.6233415
368.8333333,1.391305676
378.7333333,1.500481694
378.7333333,1.170693735
444.3666667,1.21518911
444.3666667,1.273132622
738,-0.711462856
596.3666667,-0.820061448
596.3666667,-1.007275089
380.9666667,0.91490006
380.9666667,0.976194654
448.8333333,0.506732431
448.8333333,0.383054515
410.6333333,0.59586155
410.6333333,0.840189165
508.1666667,0.180477599
508.1666667,-0.099503323
334,-2.67665172
327.0333333,-2.688223361
323.55,-2.07396501
771,-1.122108217
313.1,-2.2387796
771,-2.238778512
465.7333333,-1.077087799
573,-0.108250831
399.7333333,0.307686601
486.3666667,-0.580822227
486.3666667,-0.716398865
356.6333333,-1.297566812
400.1666667,-2.509730016
475.8,-1.836904876
367.3333333,-0.936754747
367.3333333,-1.076483434
421.5666667,-1.872181986
367.3333333,-0.989242513
313.1,-1.103179162
835,-1.103979041
313.1,-1.627303477
835,-1.632360849
487.0666667,-1.597862121
487.0666667,-0.674165709
661.0333333,-1.597350819
313.1,0.816598255
391.4,-2.582540468
365.3,-2.579229795
250.85,0.867430209
250.85,0.833475708
188.6,0.673092356
188.6,0.640969725
601,-1.107371892
313.1,-2.895639141
601,-2.895954793
457.05,-2.03028965
360.8,0.081217681
655.5,-0.060372265
655.5,-2.325890995
557.2666667,-2.576433689
508.15,-2.107949171
360.8,1.199995225
586,1.423577697
435.8666667,0.134473897
435.8666667,0.013556303
510.9333333,0.20430688
510.9333333,0.294694389
406.2,-1.808732794
375.9333333,-1.690135923
391.0666667,-2.174791215
383.5,-2.221630306
372.2666667,-0.231416493
372.2666667,-0.319504232
383.7333333,-0.003243053
460.8666667,-0.38695445
460.8666667,-0.187536776
560.9333333,-0.574515444
560.9333333,-0.418136791
396.7,2.05663408
372.7666667,0.012383221
372.7666667,-0.058647335
384.7333333,0.773987269
384.7333333,0.66942154
360.8,1.319028159
410.5333333,0.461913241
410.5333333,0.231125875
460.2666667,1.055953261
460.2666667,1.049615866
360.8,1.048183459
412.7666667,0.792079982
412.7666667,0.788571482
464.7333333,1.291708746
438.75,1.456231902
442.4333333,-0.493330825
442.4333333,-0.350724533
524.0666667,-0.554093028
524.0666667,-0.454748076
771,-2.335059735
634.2666667,-2.615374132
565.9,-1.422614142
431.5333333,-0.85076174
431.5333333,-0.667662052
502.2666667,-0.716196684
502.2666667,-0.949255112
371,-1.929938148
381.2,-2.549669933
376.1,-2.702380491
282.65,-0.316422407
282.65,-0.33356449
204.5,0.203592309
204.5,0.078749881
360.8,-0.079620645
601,-0.185566672
601,-2.142574705
520.9333333,-2.445380263
480.9,-2.108168359
655.5,-0.749242053
655.5,-3.325056547
655.5,-3.730901957
61.49,-0.998800648
655.5,-2.936749691
61.49,-2.937190244
655.5,-1.088987745
655.5,-0.255349857
632.3333333,-2.297959462
572.4,-3.351034031
572.4,-3.432626413
489.3,-3.015458211
489.3,-3.003977048
636,-0.843606778
649,-2.450279537
642.5,-2.263265356
675.9333333,-3.120562045
675.9333333,-3.36248254
696.3666667,-2.7603255
696.3666667,-2.93105639
655.5,-2.876734848
568.7333333,-2.870532421
525.35,-1.853767771
655.5,0.44058319
661,0.582973831
657.3333333,-2.203050509
659.1666667,-0.771588177
658.25,-0.907830814
655.5,-1.241570138
655.5,-3.195834856
655.5,-1.06063117
655.5,-2.864514624
655.5,0.509700921
738,-0.946292337
655.5,-2.069590916
738,-1.808115368
683,-2.27501251
710.5,-1.838874844
609.2333333,-2.712926807
562.9666667,-0.600892255
586.1,-0.683341796
638.9,-2.324001573
622.3,-0.824877999
630.6,-0.973884136
548.3333333,-3.567035003
548.3333333,-3.695666616
441.1666667,-3.487094488
441.1666667,-3.660853324
694,-3.12278331
694,-3.462855403
732.5,-2.869701522
732.5,-3.177930173
655.5,-2.2005623
573,-1.58630463
628,-2.275853886
600.5,-1.731487023
584.9,-3.310631521
584.9,-3.571118343
514.3,-3.19313535
514.3,-3.492598262
475.8,-2.627442109
595.6,-3.102176266
535.7,-3.045892647
535.7,-3.103175331
565.65,-3.247818395
655.5,-0.614626112
715.3333333,-2.707428339
715.3333333,-2.890881639
775.1666667,-2.336757453
775.1666667,-2.3974402
391.4,-2.200513728
567.4666667,-3.60980572
567.4666667,-3.692015392
479.4333333,-3.435192719
479.4333333,-3.549843803
655.5,-2.919939587
302.7333333,-0.983447577
390.925,-1.715443735
601,-0.58647716
637.3333333,-3.276201093
637.3333333,-3.60323213
619.1666667,-3.164716461
619.1666667,-3.482477668
406.2,-2.806712202
636,-0.263022243
716.8,-1.037948985
716.8,-1.785467605
396.7,2.289911967
173.2266667,2.455077584
173.2266667,2.226565498
210.9933333,2.002607237
516.7,1.053096338
289.095,2.557730625
213.2266667,1.860989944
334,-2.860115632
152.3266667,-0.624778136
771,-1.217363979
771,-2.099597453
771,-0.977785432
443.7,-1.076366425
443.7,-2.579698239
475.8,-0.339866511
835,-0.96182337
61.49,-2.794331295
391.4,-2.795575127
171.46,-0.412472334
601,-0.971030614
61.49,-2.631312928
601,-2.631175511
601,-0.996031073
586,1.610636505
586,0.907405909
586,0.750792558
406.2,-0.967930693
466.1333333,-1.451137931
468.4,0.631621118
468.4,0.764070352
350.8,-0.179661257
636,-0.640974351
602.6666667,-0.266433326
619.3333333,-1.21811964
619.3333333,-0.948472785
716.8,-0.866224745
629.6,-0.562751011
673.2,-1.653092658
673.2,-1.726055222
586,0.634453551
522.4,0.374141426
522.4,0.323209334
458.8,0.649255864
458.8,0.592878774
611,0.805631523
611,0.850222546
636,0.090854049
636,0.1901756
522.9,0.570579862
522.9,0.458768149
459.8,1.144619923
459.8,1.151707128
586,1.448100868
560.6666667,0.964760975
560.6666667,0.725065691
535.3333333,1.452903405
535.3333333,1.204840892
738,-0.31934042
636.6666667,0.290742208
687.3333333,-0.756118778
687.3333333,-0.415214289
562.9,0.604373815
562.9,0.563892392
539.8,0.826276936
539.8,0.736266713
592.5666667,0.57284725
592.5666667,0.742627918
599.1333333,0.175677102
599.1333333,0.28486659
418,-1.623614158
460,-0.784003371
647.6666667,-0.519659063
709.3333333,-1.924635874
709.3333333,-1.976372334
573,0.148154692
581.6666667,0.24610615
577.3333333,-0.605923096
577.3333333,-0.297319471
443.7,-0.470708505
491.1333333,-2.058430031
475.8,-0.789379797
549.2666667,-0.662328757
512.5333333,-1.598288931
512.5333333,-1.726014949
835,-0.800135504
669,-0.238246006
752,-1.339652347
752,-1.079505939
391.4,-1.002376223
456.2666667,-1.517482686
488.7,-1.291290371
126.35,0.899058
356.175,1.185794693
356.175,1.187708877
432.7833333,0.69379913
279.5666667,0.869152281
356.175,1.08215864
596,-2.164699465
406.2,-0.699858561
406.2,-2.911750049
406.2,-3.004750532
406.2,-2.235906758
406.2,-1.99805627
348.5333333,-2.449888509
290.8666667,-1.873517385
319.7,-2.231769267
406.2,-1.732854395
406.2,-3.240632821
406.2,-2.749419314
716.8,-2.749947759
716.8,-1.695561601
509.7333333,-2.44762874
509.7333333,-2.464727829
613.2666667,-2.610129002
613.2666667,-2.52040994
406.2,-2.642705654
406.2,-2.056777348
402.5333333,-2.038984232
400.7,-1.778215499
406.2,-0.768978606
406.2,-0.57233105
406.2,-2.448574472
401.45,-1.55823459
406.2,-0.288224066
406.2,-2.123916947
738,-1.476644249
738,-1.647017717
406.2,0.341442458
406.2,-1.613400637
443.0333333,-1.884781265
461.45,-1.544233245
406.2,0.705321383
406.2,-1.256375988
472.7,-1.679576682
382.1333333,-3.187558377
382.1333333,-3.178272901
358.0666667,-3.410983295
358.0666667,-3.438166515
771,-3.007561876
406.2,-1.543585478
771,-2.866995622
527.8,-2.586323531
527.8,-2.55885704
573,-1.138330556
461.8,-1.707125487
443.7,-3.091792946
424.95,-2.113726012
418.7,-2.786960275
406.2,-1.510095884
475.8,-2.907355819
406.2,-1.500171212
692.0666667,-2.445368698
401.2666667,-3.171289915
401.2666667,-3.208321207
396.3333333,-3.372638373
396.3333333,-3.414582408
406.2,-2.547424041
471.1333333,-2.895176683
471.1333333,-2.906531858
536.0666667,-3.080081574
536.0666667,-3.219845636
367.4666667,-1.586783958
501.7333333,-1.727997843
501.7333333,-1.639963846
233.2,-1.785752644
716.8,-2.038195102
555.6,-2.396827263
287.2,0.700454083
287.2,0.693961855
314.2,1.149198374
233.2,2.131035173
287.7,2.299471326
325.4666667,1.94565177
233.2,0.714624275
327.7,0.488192499
327.7,0.487777661
374.95,1.408094692
233.2,-0.618073115
357.3666667,-0.834910973
481.5333333,-0.415931989
419.45,-0.278413138
233.2,-1.726990069
771,-2.286560749
591.7333333,-2.528471857
591.7333333,-2.529402486
233.2,0.327886155
835,-1.086931245
634.4,-2.157893489
534.1,-1.466322291
391.4,-2.133923254
338.6666667,-2.706620433
312.3,-2.746558989
233.2,-0.530276129
197.5833333,-0.663849737
197.5833333,-0.622831433
161.9666667,0.148365036
161.9666667,-0.05052324
233.2,-0.312909962
601,-0.22659586
601,-2.112977563
478.4,-2.562502277
417.1,-2.283911313
636,-0.896368563
636,-2.116413272
636,-1.927141362
716.8,-0.87165845
662.9333333,-2.284669422
662.9333333,-2.126836049
689.8666667,-2.276391583
689.8666667,-2.271357341
555.7333333,-1.470152021
555.7333333,-1.174956126
475.4666667,-0.517179834
475.4666667,-0.53736415
644.3333333,-1.338956688
644.3333333,-1.11557109
652.6666667,-1.068503016
652.6666667,-0.530009321
636,-0.969871409
556.2333333,-1.519637828
636,-0.854814195
594,-1.234992602
636,-0.636742573
738,-0.602819093
670,-1.643729629
670,-1.435836697
704,-1.608780552
704,-1.271112449
596.2333333,-1.461350771
596.2333333,-1.16648944
556.4666667,-0.547926793
625.9,-1.460015781
625.9,-1.254676229
615.8,-1.093677627
615.8,-0.637922867
636,-1.776304172
636,-1.776304172
636,-1.776304172
334,-2.244728689
334,-2.244728689
334,-2.244728689
535.3333333,-2.316857088
535.3333333,-2.316857088
535.3333333,-2.316857088
535.3333333,-2.266779298
535.3333333,-2.266779298
535.3333333,-2.266779298
434.6666667,-2.712903269
434.6666667,-2.712903269
434.6666667,-2.712903269
434.6666667,-2.76353277
434.6666667,-2.76353277
434.6666667,-2.76353277
636,-1.94273539
771,-2.384425947
681,-2.102805403
726,-2.385364468
636,-0.701824448
573,-0.216250092
615,-1.656761841
615,-1.403777878
594,-1.5559721
594,-1.213228938
571.9,-2.372684099
571.9,-2.332600778
507.8,-2.706748871
507.8,-2.760608091
582.6,-2.286860074
582.6,-2.30873449
529.2,-2.413542128
529.2,-2.336574865
636,-0.784653995
835,-1.128573098
636,-1.118668154
702.3333333,-2.070251881
702.3333333,-1.953190956
768.6666667,-2.107469707
768.6666667,-1.848046169
391.4,-2.120782332
554.4666667,-2.301794362
554.4666667,-2.304665707
472.9333333,-2.612075296
472.9333333,-2.872876002
636,-0.777816727
636,-1.086197626
466.1166667,-0.992206649
466.1166667,-1.105494443
636,-2.213295867
601,-2.133736311
624.3333333,-2.243315602
612.6666667,-2.381109968
716.8,-0.958595012
716.8,-2.982999248
716.8,-2.977393839
609.6,-1.894233003
609.6,-1.721535411
502.4,-0.982085239
716.8,-0.799731415
698.2,-2.135966012
679.6,-0.525681623
688.9,-0.391911004
716.8,-1.146809895
610.1,-1.949252244
716.8,-0.927348179
647.8666667,-1.705604234
716.8,-0.367408513
738,-0.409537178
716.8,-1.907569847
738,-1.178957968
723.8666667,-2.155189902
730.9333333,-1.263798029
716.8,-1.062598962
650.1,-1.900167806
650.1,-1.912593204
583.4,-0.844595368
679.7666667,-2.325847593
642.7333333,-0.805240904
661.25,-0.677122498
589.2,-2.774732704
589.2,-2.805203875
461.6,-3.144002203
461.6,-3.25582031
734.8666667,-2.679903344
734.8666667,-2.713959343
752.9333333,-2.736375401
752.9333333,-2.829773578
716.8,-0.620399552
573,0.158089161
573,-2.125530854
668.8666667,-2.236700922
620.9333333,-1.233764417
644.9,-1.18907312
625.7666667,-2.768691913
625.7666667,-2.831701641
534.7333333,-3.065540491
534.7333333,-3.224155103
636.4666667,-2.577521056
636.4666667,-2.680528389
556.1333333,-2.657302793
556.1333333,-2.731684567
716.8,-0.734842197
756.2,-2.802555663
756.2,-2.332890579
795.6,-2.349967627
795.6,-2.200804073
716.8,-1.060210755
608.3333333,-2.752994754
608.3333333,-2.854997034
499.8666667,-2.935250208
499.8666667,-3.019521279
716.8,-0.960511781
519.9833333,-1.740763791
519.9833333,-1.901000474
323.1666667,-0.749946556
678.2,-2.653867764
678.2,-2.772101363
639.6,-2.875536459
639.6,-3.000117657
661,-0.087886783
483.8,0.315182656
483.8,0.482948457
572.4,-0.235809227
572.4,-0.314245632
396.2,1.050546087
433.4666667,0.949104089
433.4666667,0.634917914
471.7333333,1.137232577
471.7333333,1.128700447
738,-0.546689491
738,-0.546689491
738,-0.546689491
509.4666667,-1.068558663
509.4666667,-1.068558663
509.4666667,-1.068558663
509.4666667,-0.059729124
509.4666667,-0.059729124
509.4666667,-0.059729124
623.7333333,-1.068451858
623.7333333,-1.068451858
623.7333333,-1.068451858
623.7333333,-0.895436029
623.7333333,-0.895436029
623.7333333,-0.895436029
435.7,0.481918914
435.7,0.481918914
435.7,0.481918914
435.7,0.484000585
435.7,0.484000585
435.7,0.484000585
476.2,0.401485737
476.2,0.401485737
476.2,0.401485737
476.2,0.363732119
476.2,0.363732119
476.2,0.363732119
465.3666667,0.236160934
465.3666667,0.236160934
465.3666667,0.236160934
465.3666667,0.379307235
465.3666667,0.379307235
465.3666667,0.379307235
535.5333333,-0.21068414
535.5333333,-0.21068414
535.5333333,-0.21068414
535.5333333,-0.236594955
535.5333333,-0.236594955
535.5333333,-0.236594955
520.4666667,-0.834114767
520.4666667,-1.061125873
645.7333333,-2.1443029
645.7333333,-2.003047926
541.8,-0.578669126
688.4,-1.578433329
688.4,-1.353444709
391.4,-1.993290196
392.6666667,-2.217705063
393.3,-2.115287537
305.5833333,0.467551984
305.5833333,0.530487289
215.9666667,0.818931768
215.9666667,0.63958521
601,-2.648103713
532.4,-2.639242598
498.1,-1.950415395
661,0.889385986
661,-0.129969325
661,0.286972479
661,-0.179407511
572.9,-0.179967657
572.9,-0.211758309
661,0.529135428
661,0.22335825
610.6666667,0.170769938
610.6666667,0.140297541
560.3333333,1.065293569
686.6666667,-0.641149048
686.6666667,-0.00939024
712.3333333,-0.959206043
712.3333333,-0.498574186
661,-0.016314449
612.9,-0.222994298
612.9,-0.098295954
564.8,0.567441029
564.8,0.645319601
642.5666667,-0.412319269
642.5666667,0.054769577
624.1333333,-0.129016518
624.1333333,0.222749123
661,-1.253203957
334,-1.412802397
552,-1.259854419
443,-1.731124023
697.6666667,-0.467796887
734.3333333,-2.22897493
716,-0.0073151
631.6666667,-0.773482362
631.6666667,-0.15351207
602.3333333,-0.913344521
602.3333333,-0.485609731
443.7,-1.922754751
588.5666667,-0.875880432
516.1333333,-2.068328308
552.35,-0.89480731
599.2666667,-0.766491349
537.5333333,-1.907944003
719,-1.021166228
719,-0.517528684
777,-1.417366698
777,-1.225508347
661,-1.235254784
391.4,-1.001222053
481.2666667,-1.660538645
482.7833333,0.290630233
482.7833333,0.04790605
304.5666667,0.611526872
304.5666667,0.9193181
661,0.468323427
601,0.329454891
601,-1.848555158
641,-0.723272188
621,-2.145992046
631,-1.027876964
396.7,2.650838321
396.7,1.499089559
396.7,1.359148895
510,2.188560991
434.4666667,1.662506845
434.4666667,1.327520423
472.2333333,1.421541197
472.2333333,1.272994797
738,-0.602952973
510.4666667,-1.078446463
624.2333333,-1.078489457
436.7,1.145140749
436.7,1.120118249
476.7,0.653795403
476.7,0.568408121
605.7,0.002086161
466.3666667,0.759330129
466.3666667,0.891677729
536.0333333,-0.060518526
536.0333333,-0.06315286
466.3666667,0.718569653
334,-2.406822005
375.8,-0.402155137
365.35,-0.895976991
771,-1.240664271
771,-2.213661044
573,-0.180207254
514.2333333,-0.859002979
443.7,-1.109407848
443.7,-1.111940139
475.8,-1.13431606
475.8,-1.983850975
835,-1.136373649
542.8,-1.661695537
688.9,-1.66183486
391.4,-2.366908347
394.05,-1.568557093
306.5833333,1.487436148
216.4666667,0.918149779
601,-1.148326386
601,-2.817946014
510,2.529101256
510,1.803689572
510,1.417018665
738,-0.508573009
662,-0.650947187
512.2333333,1.320820709
512.2333333,1.151625494
514.4666667,0.990014772
514.4666667,0.720528056
510,1.9439165
605.7,0.413129352
541.9,1.111999324
541.9,1.089159313
573.8,0.283627519
573.8,0.214804895
334,-1.913569821
451.3333333,0.21528885
392.6666667,-1.926026512
422,-0.310731826
771,-1.024528059
684,-1.946600359
573,-0.006540528
552,-0.452070339
552,-0.280935497
