DBE,Adsorption Energy,DBC,Adsorption Energy,DBC,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
-3.47273826,1.961799686,-1.712429973,0.844416181,-1.476197606,1.267181493
-2.536161554,2.415031951,-1.909650064,1.365880039,-1.30235118,1.678456389
-8.380976285,0.904440412,-2.029012741,0.515538987,-4.56608149,1.4217012
-0.752864816,-0.253032128,-1.192674045,-0.097794856,-1.185480264,0.425774074
1.016974315,-2.500851622,0.048542896,-1.646489136,-0.171115776,-1.173692702
-1.824080407,0.815140814,-1.824080407,0.815140814,-1.274839274,1.170693735
1.833125791,-3.730901957,-1.229745798,-0.446155809,-1.351694907,0.231125875
-1.224522817,0.750792558,1.437836745,-3.187125988,1.11800758,-2.864514624
1.278496551,-3.004750532,-4.066463969,1.483095796,-3.576687379,2.002607237
1.248881726,-2.116413272,-1.088738916,0.297193347,-1.145622256,0.725065691
1.26860815,-2.982999248,0.897928146,-2.527907356,0.781875479,-2.123916947
0.778718708,-0.129969325,-1.10902067,0.175920508,-0.784596223,1.94565177
-0.948304443,1.359148895,0.161847703,-1.416902336,-0.051089497,-1.234992602
-1.19361817,1.417018665,-2.04947284,-1.843869766,0.188125606,-1.705604234
1.214418051,-1.20893607,-0.982402323,0.235364593,-1.090264812,0.634917914
-0.09643262,0.595410113,-0.26866592,-0.22997048,-0.319376637,0.140297541
0.454357761,-0.376089897,-1.109696844,1.133460807,-1.091057787,1.272994797
1.370656504,-3.751788326,-1.274839274,1.170693735,-1.19361817,1.417018665
2.894891372,-3.260459443,0.183641249,-1.007275089,-0.059782163,-0.650947187
0.788634828,-1.287207166,-0.624982052,0.383054515,-0.553257259,0.720528056
1.180560866,-3.455084921,-0.426931385,-0.099503323,-0.365346053,0.214804895
1.141165849,-3.230985841,-0.312839951,-2.688223361,-0.050107565,-1.926026512
1.527052425,-2.198106472,-1.868005739,-2.2387796,1.220310071,-1.946600359
1.470632002,-3.648769292,-0.012231347,-0.716398865,-0.156126431,-0.452070339
-6.904157491,0.078724574,-0.049889345,-2.509730016,-0.033586234,-1.624789554
1.290584358,-3.425847785,0.052312318,-1.872181986,0.059140769,-1.399855221
,,1.300030773,-1.632360849,1.445674179,-1.907761551
,,1.382234955,-2.582540468,-3.979573878,1.023988185
,,-4.494886009,0.640969725,0.906357412,-2.558963845
,,1.168453181,-2.895954793,,
