Feature, Mean (R2 drop), STDEV (R2 drop)
GCN,0.041076383,0.009303355
DOS,0.041345588,0.011444337
LC,0.064905643,0.016778163
WF,0.09984541,0.01715257
DBF,0.125199568,0.016934273
DBW,0.149331299,0.026204574
EN,0.14970315,0.017051054
EAC,0.320571773,0.029268487
VE,0.841973951,0.05173185
