Feature, Mean (eV)
GCN,0.074338859
DOS,0.093125494
LC,0.098357625
DBF,0.11225053080766553
WF,0.11471370208166147
DBW,0.12907615383267687
EN,0.27549890742447386
EAC,0.30804697913553986
VE,0.7849805062904441
