SE,Adsorption Energy,SE,Adsorption Energy,SE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
266.3,5.608978745,313.1,4.134827194,428.7666667,2.495111516
342.5,4.7414235,313.1,4.393660381,454.1666667,2.623943949
391.2,2.106999494,313.1,3.628236398,510,3.265591918
359.5,0.977673185,365.1666667,2.416516332,470.4,2.583624025
313.1,4.110073135,344.0333333,1.851158471,409.6666667,1.867945174
655.5,0.950402208,313.1,4.110073135,444.3666667,2.582668906
586,1.88966081,344.9,2.438740686,410.5333333,2.688282001
406.2,1.839902482,484.3,0.587037715,582.75,1.661174983
636,1.083346689,495.0333333,1.76341999,560.6666667,1.678740204
716.8,0.728154183,313.1,1.93691161,510,2.733575349
661,1.677095004,273.15,2.508364413,325.4666667,4.211434587
396.7,2.504732645,528.3666667,1.896682708,594,1.759121679
510,2.222465831,582.2333333,2.130566865,647.8666667,2.119152778
738,1.382594223,367.8333333,2.669206141,471.7333333,2.34829508
516.7,1.926347062,545.0333333,1.884561941,610.6666667,1.480621193
605.7,1.59930963,354.9,2.796323032,472.2333333,2.063205493
334,1.560266056,444.3666667,2.582668906,510,2.222465831
771,0.439420039,596.3666667,1.617196081,662,1.509700638
573,1.396295019,448.8333333,1.987524103,514.4666667,1.893514623
443.7,1.288465013,508.1666667,2.115206311,573.8,1.704283666
475.8,0.88328084,323.55,1.377864069,510,2.481784605
835,0.561387312,618.3666667,1.886466602,684,1.945962932
391.4,1.796520869,486.3666667,1.885343588,552,1.706457447
126.35,4.489099412,400.1666667,2.176645126,487.9,3.135507626
601,1.262184122,421.5666667,2.130292847,487.2,2.000818225
,,661.0333333,1.650907584,726.6666667,1.615414552
,,313.1,1.70533974,510,2.551482483
,,313.1,4.243781575,382.1166667,3.694731361
,,457.05,0.687920655,555.5,1.322552169
