Feature, Mean (eV)
GCN,0.028359628027208282
LC,0.062040178963169615
DOS,0.084074161
DBW,0.10468143455171364
DBF,0.12857637489213133
WF,0.13742157859808748
EN,0.1789349710392734
EAC,0.24120149395708929
VE,0.6755956763511594
