DBC,Adsorption Energy,DBC,Adsorption Energy,DBC,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,Cu alloys,,Pt alloys,
-4.003607572,0.338155323,-2.849785349,0.051979866,-1.728603472,-0.340017534
-3.239430288,0.322403197,-2.599119575,0.164787243,-1.754892925,-0.247521278
-8.882184464,0.825439234,-2.481359542,0.171934721,-1.893255884,-0.250679296
-1.580100381,-0.448717897,-1.814154322,-0.327433902,-1.919339321,-0.226542254
-0.74851742,-0.878578305,-1.250464537,-0.632293103,-1.62229792,-0.432063169
-2.42418392,-0.053560439,-2.42418392,-0.053560439,-1.988757406,-0.309796707
-1.04826476,-0.996874898,-1.797225467,-0.406855632,-1.875618423,0.079090568
-2.403748601,-0.324119827,-0.21890791,-0.900437073,-0.701824371,-0.739253298
-0.843328101,-0.687573846,-2.283883713,0.151851087,-1.794970092,-0.153773571
-1.045806248,-0.989087,-1.819815356,-0.381685238,-2.028919459,-0.38702003
-0.860075297,-0.943553103,-1.861809173,-0.441825798,-2.026552765,-0.207741637
-1.905588767,-0.258513453,-1.681997733,1.231930641,-1.783227538,-0.470261149
-1.64724671,-0.289728039,-1.415222421,-0.637616739,-1.602730552,-0.590736422
-2.154847642,-0.312314032,-1.446760164,-0.693316401,-1.629000443,-0.284464542
-1.669677878,-0.511985045,-1.505721902,-0.337988381,-1.688657118,-0.308441036
-1.835801099,-0.284275014,-1.650716592,-0.334694171,-1.913901403,-0.306656241
-1.594865863,-0.411165643,-1.653760664,-0.22658484,-2.154847642,-0.312314032
-0.36358017,-1.003077461,-1.988757406,-0.309796707,-1.353801303,-0.407946808
0.065918436,-1.019672595,-2.655968994,-0.635279145,-1.85833638,-0.291889984
-1.383290476,-0.559478978,-1.685279462,-0.321869038,-1.874432401,-0.262794756
-0.600855957,-1.01043746,-1.409939233,-0.277813263,-1.464282572,-0.314158556
-0.649523071,-0.99566059,0.037404354,-0.708506339,-0.980224874,-0.640233657
-1.108487937,-0.879511383,0.170678964,-0.754445142,-1.798050188,-0.317942435
-0.617843878,-0.970131958,-0.957842169,-0.481917418,-1.513096076,-0.467562597
-7.316160151,0.552737221,-1.29553727,-0.75827011,-1.531847072,-0.52795078
-0.851634585,-0.992339168,-1.293041251,-0.659828031,-1.19683825,-0.596738437
,,-0.809166222,-0.746565813,-0.226290166,-0.401255121
,,-0.06516857,-0.704130749,-2.165085366,-0.184417263
,,-4.18021606,0.159172174,-0.630333031,-0.621889647
,,-1.402594582,-0.800465306,,
