Feature, Mean (eV)
MV,0.064912936
LC,0.079176861
DOS,0.089242045
GCN,0.09125587
EA,0.10136249138024753
DBF,0.12842422070207202
EAC,0.22022366070055033
DBC,0.24650647437716794
SE,0.30674980247005285
