VE,Adsorption Energy,VE,Adsorption Energy,VE,Adsorption Energy
,eV,,eV,,eV
,Monometallic TMs,,Cu alloys,,Pt alloys
11,1.961799686,11,0.844416181,10.32280115,1.267181493
11,2.415031951,11,1.365880039,10.32280115,1.678456389
12,0.904440412,11,0.515538987,11.29243235,1.4217012
9,-0.253032128,9.62260299,-0.097794856,9.321697518,0.425774074
6,-2.500851622,7.343420462,-1.646489136,7.113786609,-1.173692702
11,0.815140814,11,0.815140814,10.65602237,1.170693735
4,-3.730901957,8.895920362,-0.446155809,8.61773876,0.231125875
9,0.750792558,4,-3.187125988,4,-2.864514624
3,-3.004750532,11.65695337,1.483095796,11.29243235,2.002607237
6,-2.116413272,9.62260299,0.297193347,9.321697518,0.725065691
5,-2.982999248,3,-2.527907356,3,-2.123916947
8,-0.129969325,8.138223044,0.175920508,7.883735163,1.94565177
10,1.359148895,7.343420462,-1.416902336,7.113786609,-1.234992602
10,1.417018665,11,-1.843869766,6.299605249,-1.705604234
7,-1.20893607,10.32280115,0.235364593,10,0.634917914
9,0.595410113,8.895920362,-0.22997048,8.61773876,0.140297541
8,-0.376089897,11,1.133460807,10,1.272994797
3,-3.751788326,10.65602237,1.170693735,10,1.417018665
5,-3.260459443,8.138223044,-1.007275089,7.883735163,-0.650947187
7,-1.287207166,9.62260299,0.383054515,9.321697518,0.720528056
4,-3.455084921,8.895920362,-0.099503323,8.61773876,0.214804895
5,-3.230985841,4.626065009,-2.688223361,4.481404747,-1.926026512
6,-2.198106472,11,-2.2387796,6.299605249,-1.946600359
3,-3.648769292,8.138223044,-0.716398865,7.883735163,-0.452070339
12,0.078724574,5.604078661,-2.509730016,6.299605249,-1.624789554
4,-3.425847785,6.502957234,-1.872181986,7.113786609,-1.399855221
,,6,-1.632360849,3,-1.907761551
,,3,-2.582540468,11.29243235,1.023988185
,,11.65695337,0.640969725,4,-2.558963845
,,4,-2.895954793,,
