Valence Electrons,reaction energy (eV)
11,3.426808483
11,2.050680501
11,1.961799686
11,2.431486947
11,2.272741312
11,2.339808257
11,2.171728301
11.66666667,1.246558937
9,1.001724919
9,-0.223120967
10.33333333,0.775951931
10.33333333,0.805714382
11,3.530969579
11,0.844416181
11,1.639051312
11,1.516266065
8,-0.523344981
10,0.400401908
10,0.481627753
4,-1.134414021
11,-2.99713733
4,-2.997226176
7.5,-1.423310209
8.666666667,-1.219288505
9,0.507282373
9.666666667,0.40542268
10.33333333,1.212680492
3,-0.931313831
3,-2.912099171
7,0.96435158
6,-0.888006641
6,-1.436209357
6,-1.454437175
6,-1.431986967
5,-1.144779382
11,-1.91167414
5,-1.912962191
11,-1.104305033
10,0.203387543
10.66666667,1.214890465
10,2.66695712
10,1.684438676
10.66666667,2.103357386
10.66666667,1.956787485
10.33333333,1.581738015
10.33333333,1.575832873
10,2.310644049
10.66666667,2.078359785
10.66666667,1.845480135
10.33333333,1.267181493
10.33333333,1.338576953
7,-0.496411289
7,-1.01023283
9,0.612177904
10.33333333,1.549536608
9.666666667,0.523464711
10.33333333,1.345236803
8,0.274504087
9,0.082503011
11,-3.026763317
3,-3.028793694
11,-2.283985328
5,-2.283868999
5,-1.323366606
4,-2.648170789
8.666666667,-1.307117192
5,-1.107157603
5,-2.031020684
5,-2.036006218
5,-1.102376835
11,-1.156093331
6,-1.169014793
6,-1.746280083
11,-1.742035652
6,-1.757145997
11,1.879304702
3,-0.433011894
11,-2.968361564
3,-2.968642658
12,0.507622788
11,-2.650263344
4,-2.649893541
7.5,-1.279304028
8.666666667,-1.186021091
11,3.705461217
11,2.619231618
11,2.415031951
11.33333333,1.696638083
11.33333333,1.688520519
11.66666667,1.460941784
11.66666667,1.437884218
9,1.327002455
9,0.368093424
9,1.357766285
10.33333333,1.289035091
6,-0.394555814
11,2.075916746
11,1.922733798
11,1.463114069
11,1.365880039
8,1.011918303
8,0.027534519
10,0.942270358
4,-1.054402621
4,-3.022896715
11.66666667,2.174596653
9,1.581751213
3,-0.716519139
3,-2.642799261
6,-0.90069735
6,-1.197254223
5,-1.078818035
5,-1.781963051
10,0.737789598
10.66666667,1.573821407
