Feature, Mean (eV)
MV,0.025516853
GCN,0.032214329
LC,0.047133175
DOS,0.058409618253472004
DBF,0.072736458
EN,0.095380147
SE,0.0988125
DBC,0.1584591688027832
EAC,0.16972896018805272
