Psi, d-Band_Center, Surface
6.617647058823529,-0.363940768,Sc12
12.307692307692307,-1.04826476,Hf12
7.377049180327869,-0.618285937,Y12
10.38961038961039,-0.600817269,Ti12
12.030075187969924,-0.852017203,Zr12
16.666666666666668,0.066282957,Ta12
15.337423312883436,-0.64983714,V12
8.181818181818182,-0.84353835,La12
15.625,-0.860075297,Nb12
21.686746987951807,-0.74863813,Cr12
15.254237288135593,-1.107980157,W12
16.666666666666664,-1.045806248,Mo12
25.789473684210527,-1.38331182,Tc12
25.789473684210527,-1.66973535,Re12
43.08510638297873,-1.580100381,Co12
29.09090909090909,-1.594865863,Ru12
36.81818181818181,-2.403748601,Ir12
43.85964912280702,-2.154847642,Pt12
45.45454545454545,-1.64724671,Pd12
35.526315789473685,-1.835801099,Rh12
29.09090909090909,-1.905588767,Os12
63.684210526315795,-2.42418392,Cu12
87.27272727272728,-7.316174307,Zn12
75.92215242171719,-3.239430288,Au12
87.09770584059203,-4.003607572,Ag12
85.20710059171599,-8.882184464,Cd12
