Psi, d-Band_Upper Edge, Surface
6.617647058823529,1.3706565035,Sc12
12.307692307692307,1.8331257905,Hf12
6.861672096777493,1.3941306224999999,Sc6Y6
10.008115004720475,1.6644397905,Hf6Sc6
10.377163190906016,1.6328603585,Hf6Y6
6.617647058823529,1.3709278875000002,Sc12
7.114695532291662,1.496040994,Sc6Y6
6.861672096777493,1.3936119489999998,Sc6Y6
8.138192233251592,1.6794798389999999,Hf6Sc6
7.377049180327869,1.4706320019999999,Y12
7.377049180327869,1.470927386,Y12
7.114695532291662,1.4958779075000002,Sc6Y6
10.377163190906016,1.6328253339999999,Hf6Y6
12.21444863313257,1.5689387549999998,Hf6Zr6
11.631904846694995,1.6346775355,Hf6Ti6
10.008115004720475,1.6644007379999999,Hf6Sc6
8.749448166118944,1.7498536455,Hf6Y6
8.939242282660542,1.2421994595,Sc6Ti6
8.076536893718293,1.431274257,Sc6Zr6
7.691342561605212,1.4054758205,Sc6Ti6
8.939242282660542,1.2422134109999998,Sc6Ti6
10.993223341958531,1.494193284,Hf6Ti6
8.138192233251592,1.6794942654999998,Hf6Sc6
12.12191137717893,1.5067283210000002,Hf6Zr6
9.268875899853407,1.3328509865,Ti6Y6
7.691342561605212,1.405520138,Sc6Ti6
9.268875899853407,1.332863257,Ti6Y6
9.85704550511178,1.3483830035,Sc6Zr6
13.616557889864383,2.4411968135000004,Hf6Ta6
10.220523019418271,1.3806029375,Y6Zr6
10.38961038961039,1.180560866,Ti12
7.102627013887903,1.3447348925,La6Sc6
8.683161921956897,1.5485601195000003,Y6Zr6
8.749448166118944,1.7497884765,Hf6Y6
10.741568318583305,1.5157707069999997,Hf6La6
12.030075187969924,1.2905843575000002,Zr12
7.63610211213442,1.3849151745000001,La6Y6
7.102627013887903,1.3452208925,La6Sc6
8.269035818012572,1.5585622199999998,Ti6Y6
8.076536893718293,1.4312020565,Sc6Zr6
10.909938148111106,1.2321945159999999,Ti6Zr6
8.269035818012572,1.5584673575,Ti6Y6
7.63610211213442,1.3850708975,La6Y6
9.003650960111802,2.219116885,Sc6Ta6
13.326755466783169,1.6713135515000002,Hf6Nb6
11.456324725577526,1.287654866,Ti6Zr6
12.1623012900989,1.9739127279999997,Ta6Ti6
10.220523019418271,1.3804909264999998,Y6Zr6
10.741568318583305,1.5157063140000002,Hf6La6
9.85704550511178,1.3486497325000002,Sc6Zr6
8.683161921956897,1.5486109455000001,Y6Zr6
12.307692307692307,1.8334240135,Hf12
11.631904846694995,1.6347862775,Hf6Ti6
24.589577634889757,0.14102628750000012,Cr6Mn6
24.589577634889757,0.14107029199999999,Cr6Mn6
12.21444863313257,1.5689675275,Hf6Zr6
16.666666666666668,2.894891372,Ta12
8.812025449030154,1.4541505620000001,Nb6Sc6
10.38961038961039,1.1805529885,Ti12
13.739297177359399,1.7932863209999998,Hf6V6
8.181818181818182,1.7236455199999998,La6Mo6
15.337423312883436,1.141165849,V12
11.903449940688644,1.3209829025,Nb6Ti6
10.579427560794661,1.3445024605,La6Zr6
9.003650960111802,2.2196083759999996,Sc6Ta6
7.9042519632967885,1.358040215,La6Y6
12.307692307692307,1.176274763,Hf6Pd6
10.993223341958531,1.4941739330000001,Hf6Ti6
8.757628844082975,1.5381585459999998,Sc6V6
7.623149141981991,1.3766696285000002,La6Sc6
12.307692307692307,1.437836745,Cu6Hf6
63.684210526315795,-2.4172401894999997,Cu6Hf6
7.623149141981991,1.3764140884999998,La6Sc6
15.064615212402126,2.2576325895,Hf6Ta6
7.9042519632967885,1.3579163435,La6Y6
8.757628844082975,1.5383974215,Sc6V6
15.337423312883436,1.14146098,V12
12.12191137717893,1.5067048975,Hf6Zr6
9.679911105988936,2.354585579,Ta6Y6
11.829969982229875,1.3178276594999998,Ti6V6
11.456324725577526,1.2878633215,Ti6Zr6
8.812025449030154,1.4541794995,Nb6Sc6
12.030075187969924,1.2908155085,Zr12
10.909938148111106,1.2321818864999998,Ti6Zr6
12.1623012900989,1.9739822665000002,Ta6Ti6
13.411020025256969,2.181356898,Ta6Zr6
13.616557889864383,2.4411950520000003,Hf6Ta6
13.326755466783169,1.6711930439999998,Hf6Nb6
15.337423312883436,1.0351146290000002,V6Zr6
14.252590684672837,1.6140610895000003,Hf6V6
14.237451369597338,1.9032453585,Ta6Ti6
13.244489447858506,1.948121135,Hf6V6
12.70164760046835,2.1112840295,Ta6Y6
27.880960136538118,-0.13284021950000002,Cr6Mn6
10.38961038961039,1.1126454855,La6Ti6
10.579427560794661,1.3443068875,La6Zr6
11.903449940688644,1.3209507944999999,Nb6Ti6
21.686746987951807,0.4047248940000001,Cr6Mn6
11.589627293352446,1.236284344,Sc6V6
12.307692307692307,1.732629631,Cd6Hf6
11.829969982229875,1.318273759,Ti6V6
11.589627293352446,1.2363351015,Sc6V6
14.252590684672837,1.6142500885,Hf6V6
9.679911105988936,2.3545271380000004,Ta6Y6
16.666666666666668,2.8945189995000002,Ta12
14.950484956045756,2.097073415,Ta6Zr6
6.617647058823529,0.969391004,Ag6Sc6
62.69430051813472,-4.2225456195,Ag6Sc6
12.307692307692307,1.5416328545,Au6Hf6
9.47389268955678,1.6398062675,Nb6Y6
12.249932625741156,1.997751821,Sc6Ta6
9.374729807851963,1.579691562,Hf6La6
16.666666666666668,1.6286286545,La6Ta6
8.181818181818182,1.2784965505,La12
9.374729807851963,1.5796739165,Hf6La6
13.125592082986564,1.4580862260000003,Nb6Zr6
12.307692307692307,1.7583507555,Ag6Hf6
62.69430051813472,-3.7731610735,Ag6Hf6
