Test Y,Predicted Y
2.505136598,2.252109
1.09162276,1.1509917
2.964481357,2.7689376
3.930431878,3.3328629
1.945962932,1.1700205
1.940487186,1.6664981
2.507316638,2.6094656
4.002725722,5.0863767
5.167315943,4.629928
3.528702871,3.4771814
1.215659594,1.5816485
4.896599954,4.9256005
3.234257466,2.4741101
0.47454599,1.1509347
2.128556624,2.281056
1.121699638,1.5229367
1.866088949,1.7225764
2.041484006,2.4960032
3.096103909,2.4272718
3.347027971,2.9258657
1.46501043,1.6748313
3.698386258,3.3902693
2.433436779,1.7040285
2.517936833,2.4088264
1.764426539,1.6924211
1.677475011,1.9287316
1.959217597,1.5946035
0.920388188,1.0819693
1.115912865,1.5431589
1.984526225,1.3146616
0.844061617,2.4067183
2.733575349,2.8219023
2.249844565,2.3018513
1.609488729,1.7911745
6.115356067,6.703549
1.61568272,1.7385789
2.506619619,2.7470717
0.99134296,1.5433639
1.802499346,2.269298
3.721574302,2.902935
1.818999377,1.7578338
1.678218834,1.1247194
2.734937143,2.5732098
4.058527699,3.3037496
4.001872917,4.4228053
4.070313629,4.0577493
1.574993674,1.4053361
2.670372557,2.0976467
1.89170561,2.3492947
4.979302288,4.989103
1.458369492,1.7093145
3.157523404,3.1290321
1.298531864,1.8537976
1.695728951,1.4262108
1.862780997,1.8773633
2.283616477,2.2920547
1.942400146,1.7018021
2.494853144,2.653101
1.240894207,1.4194434
2.355027584,2.3374305
2.333944612,2.1297264
1.838175784,1.3699296
2.382733535,2.179727
3.734145826,3.5241666
2.241769859,2.0723095
1.750169406,1.3875263
1.46501043,1.6748313
1.62357062,1.0651097
1.777381062,1.6901855
3.754501709,3.411489
2.189637201,1.7419622
2.82189112,2.5925517
1.76341999,2.3031092
0.865816166,1.5272242
3.555957248,3.2125244
2.401315101,1.5453166
2.529422486,2.4234385
1.311196722,1.1075983
2.70243505,2.6013565
1.87763746,1.9938438
1.661174983,1.4450883
2.416516332,2.659412
3.9912949,3.88763
2.130566865,1.8533317
0.967880216,1.15282
1.587503019,1.7369672
2.069791872,2.2760782
1.305268994,1.5413027
1.791174785,1.3752717
1.209427779,1.4360058
3.771930465,3.8851342
2.146440354,2.2326732
3.598553405,3.4684496
7.496361146,5.6761274
2.860196858,3.5135317
3.846388566,3.6968465
2.306027909,2.9353085
2.233417325,2.101141
2.233417325,2.101141
1.095834266,1.1629497
3.311658886,3.3189282
1.704082438,1.674327
2.112557147,1.977959
0.943558137,1.4412559
0.503803942,1.1712453
1.073717397,1.1517888
1.229890468,1.466943
2.99716359,1.6537709
1.921188192,1.2185597
1.349348035,1.0880927
2.117695881,2.4138718
0.981514752,1.1939031
4.260301334,4.370865
1.552008082,1.871549
1.843052064,2.2686868
1.656796264,1.7847072
2.307262218,2.422927
1.070740336,1.600636
4.530551329,4.0137916
1.893439247,2.0392728
2.722000035,2.4787598
1.917778197,2.5043087
1.50928961,1.2562118
1.335982483,1.1989715
4.430241461,4.07513
2.08451051,2.4084735
1.258727868,1.4621674
1.660180544,1.5578095
2.429636573,2.260378
0.85265606,1.402339
1.901166872,1.4472796
5.481670149,4.712031
1.714111738,1.3327208
2.34649736,1.8021268
2.919639173,2.73531
1.727759879,2.2072134
4.062552534,4.0788383
1.623112788,1.8124347
0.177241485,0.6862466
1.342907236,1.8455272
5.766888718,6.4956064
2.333231674,2.4379659
1.893514623,2.0097873
1.952957891,1.8974011
3.340832483,3.1679354
3.121509137,2.0863152
2.359272832,1.9842604
2.006232882,1.9283674
2.860552919,2.30647
0.398795212,1.0040816
2.822549772,2.9916353
2.16309617,1.8243923
1.80701698,1.5368571
3.724234623,4.735417
3.114394721,2.7619371
3.156969244,3.053051
2.984058451,1.985879
1.392553182,1.4911263
1.615436729,1.7809021
4.695627013,4.3704
3.197928091,2.2658744
1.971814835,1.8940845
1.883740838,2.5120764
1.743557312,1.9813051
4.134827194,4.1055794
2.438740686,2.7829366
1.120788601,1.31092
3.179107474,3.0731578
1.065566907,1.436211
2.664518163,2.2993984
1.801093334,2.4568996
1.599692766,1.5851365
1.296586386,1.3631251
3.198005236,2.53308
3.479474756,3.1669903
2.999451115,1.8095933
2.059706925,2.007114
2.239718257,2.472374
2.244876583,2.2065687
1.485213794,1.6038885
3.363898485,2.9838705
2.057340623,2.0865126
1.333238079,1.4809593
2.225481261,2.2152367
2.137726861,2.0844092
1.9923646,2.0883188
0.821817535,0.91870373
0.850889497,1.0363158
1.892816106,1.7453476
2.194605592,1.6060785
4.436308375,3.7808728
3.135507626,2.5497613
2.888440233,2.5942154
6.301029544,6.749875
2.176645126,2.0657268
3.344863305,3.5675077
0.334540971,0.81460094
5.033120555,5.6245914
4.518392875,4.3936763
1.322039234,1.078217
0.83620052,2.2640958
2.467598494,2.0748186
1.80674786,2.027071
1.751400857,1.2377284
4.120875238,4.2819877
2.002961258,1.9454234
1.048611766,1.253861
1.666186776,1.5423328
0.94797332,0.998544
2.329974199,1.884535
2.203771474,1.6060785
1.654156351,1.1277956
0.858442289,0.6560086
1.240894207,1.4194434
3.682758896,3.4138546
0.977673185,1.7095801
2.209523281,2.3990178
0.859952929,1.0968039
0.796065906,1.1817719
2.925757925,2.8683662
3.68093655,3.7489095
1.96858498,1.2414016
4.123640322,4.543622
2.539304572,2.6245208
1.95520283,2.4200315
1.966217318,2.2302318
4.149397938,4.32814
0.838442738,1.0917159
1.870942916,1.5710168
3.650004009,3.422831
1.237112369,1.1547399
2.7311134,2.6430054
1.678740204,2.265223
1.597564292,1.063123
1.377864069,2.0938091
1.898540021,1.5410298
1.966217318,2.2302318
1.958010092,1.1673654
3.37708172,2.536027
2.863291744,2.264741
1.602811871,1.4051726
2.980894992,2.5205116
3.538365089,3.1157703
1.487429073,1.9468135
2.616461635,3.1936188
1.480621193,1.9431725
1.170262571,1.5128373
1.867945174,2.3432336
1.563092911,1.7569984
1.970443518,1.4773489
3.982553379,3.2888737
1.323318714,1.4489241
-0.028206232,1.0747777
1.552453804,1.208583
2.93402692,3.027409
3.321192939,3.221942
2.220329193,1.9481745
1.717840105,1.3871633
1.705689542,1.7081407
2.322410523,1.211681
2.115206311,1.8099602
2.804761146,2.9644375
2.246640425,2.884956
2.369922824,1.7959224
