Train Y,Predicted Y
1.316527568,1.584089
7.272798539,7.0080194
2.529422486,2.581484
2.143324651,1.9850101
2.097416461,2.3294744
3.046307621,3.347654
2.096362428,1.6010919
2.813355726,2.623152
3.629189341,3.3703244
3.338592714,3.3422816
2.855930113,2.397858
2.984058451,2.0475543
1.070740336,1.5020349
1.483848191,1.6168637
1.283404511,0.922817
2.234383193,1.439286
1.700424547,1.7666187
1.617196081,1.6038572
1.864708516,2.12279
1.888176838,1.4442112
5.081134361,4.576704
1.090861793,1.2022592
1.838049115,1.6027362
1.404203872,1.3656932
7.029893944,7.110844
1.727759879,2.2667162
2.143869695,1.7266442
4.260301334,4.074909
1.876658259,1.4804734
2.499578673,2.797839
4.14713572,3.794389
4.848521112,4.490855
2.430450329,2.637175
3.787972936,3.3735056
3.382512704,3.1657777
2.128556624,2.256702
1.333238079,1.74178
4.590125348,3.584312
1.488957264,1.7614958
3.086304001,2.289813
2.547684046,2.5131319
6.982316472,6.6274915
3.700240033,3.694819
0.660295386,1.1118451
1.564065038,1.4772371
1.06621032,0.8427494
1.996349844,2.3441186
4.374206827,4.5354333
3.637818479,3.0641754
2.164598646,2.2447088
1.887426756,1.5443759
2.130566865,1.9334346
2.085213788,1.551514
1.37883293,1.4916068
0.865816166,1.2512622
1.987524103,2.6396472
1.695366632,1.6426736
2.53481483,2.5528007
2.70243505,2.6650972
1.743557312,2.0628316
3.387464496,3.701979
2.714901673,2.6122816
1.087686361,1.0786792
1.948953736,1.9160966
1.704283666,1.8608932
2.918400511,2.7143166
1.750169406,1.6092955
0.294637926,0.5697484
2.063188758,2.3373048
0.334450221,0.95917183
1.85220366,1.2746578
2.733575349,2.757353
1.396295019,1.5345275
2.012838582,1.5416533
1.397030951,1.3960799
4.357380667,3.30093
1.678218834,1.182613
1.88966081,2.2295463
1.268940845,1.4617109
1.237112369,1.5146611
1.952957891,1.8974876
1.552008082,1.8498758
1.81061487,1.6743008
2.06219078,1.5610071
2.999451115,1.9088026
2.517936833,2.6552947
4.120875238,3.9829404
3.655307235,3.9261656
3.786971965,3.3905704
2.499090365,2.3904016
1.653146537,1.7364825
1.786092923,1.8174917
1.079685262,1.4238828
2.141450466,2.298965
2.08451051,2.075559
4.078481398,3.6172962
0.910632907,1.1006937
1.584946917,1.6389384
2.445798638,2.3885276
1.50928961,1.5352261
1.583404712,1.2312701
-0.020136152,1.1538101
1.750000015,1.8284698
2.043513975,1.8116199
1.197909881,1.3926843
1.66089457,1.3081474
1.739788399,1.4960252
1.565675543,1.3001674
1.30426816,1.6808184
1.744027253,1.700677
1.818999377,1.50726
1.229890468,1.4440356
2.502468114,2.147764
1.683313349,1.6670672
1.225151605,1.4595498
5.627318945,5.2563014
2.068734574,1.9343842
4.422950306,3.760167
2.152428491,2.2175515
1.765145191,1.9645683
4.317716402,3.9254582
1.244411007,1.7156305
2.033004122,1.766657
2.307262218,2.4222136
2.182109716,1.8678391
1.925742833,1.632133
1.70533974,3.1117198
3.503187164,3.6329842
1.159011071,1.0058327
1.867945174,1.977615
1.922671212,1.9842384
2.455657867,2.4575143
0.907120053,0.5760945
4.826180566,5.000238
1.131058041,1.7364894
2.194605592,1.7724131
2.041484006,2.713911
1.934841776,2.0958958
1.719576192,1.0947233
3.440241247,3.3063557
1.677475011,1.6719532
0.618295023,1.1313756
1.932517652,3.7470675
1.684496772,1.9080324
1.835366616,1.3740104
3.245683526,3.077036
1.816983694,2.024363
2.721173625,2.9272218
1.965458392,2.3132765
2.54624089,2.5763223
3.338202503,3.7832482
1.095834266,1.334539
5.481670149,4.603803
1.120758533,1.0742435
0.981514752,1.182331
1.382594223,0.9910447
2.694124421,2.3327444
2.543948195,2.395749
1.911372501,1.8366661
2.093367135,2.396343
1.525936855,1.74086
3.872778711,3.980282
2.283616477,2.2149189
1.923733545,1.7561585
3.395911317,3.4403152
2.499090365,2.3904016
2.011659785,2.6150496
1.999209352,1.3073472
2.290951714,1.9614664
2.536259346,2.70504
1.215659594,1.8233445
2.198313687,1.884804
1.54887197,1.499637
2.100642779,2.2571926
2.864505372,2.8728638
3.430066502,3.311225
0.685548911,1.9153622
1.985552503,1.96811
1.405067153,1.2596954
5.27775076,4.6808624
3.178323241,2.5746634
1.339113289,1.7012064
1.962221734,1.9309232
2.48609067,2.1720836
2.980894992,2.7999394
1.763987075,1.8806567
1.802240838,1.7452877
2.725765682,2.197915
3.371693186,3.0002484
5.41603289,4.974886
2.068991585,2.525755
2.559051602,3.1613128
3.080218992,2.995276
1.087564046,1.1163623
1.11796093,0.9535917
2.493743328,2.3486395
3.123156515,3.2304509
5.521497683,5.5266414
1.562287998,1.3588574
1.80701698,1.4415852
1.600243389,1.4443774
3.544645748,3.5520375
1.843642143,2.7904065
3.950400135,4.3649426
2.743542199,2.8322186
2.028816562,1.7849919
1.138339808,1.3703853
4.243781575,3.5723267
1.960218976,1.8763065
2.16309617,1.8479004
1.532449899,1.5818533
4.070313629,4.4175262
5.179315075,5.266137
3.643132046,3.6288218
2.865587569,2.7696872
2.028585946,1.9409477
2.212417347,2.0738277
1.796520869,1.6617397
1.210932297,1.5042459
1.505128446,1.2363164
1.716112046,1.5643988
3.06461095,3.3566833
5.556749351,5.2503414
1.50928961,1.5352261
4.271978011,3.9517345
1.96858498,1.3355292
2.051355479,1.7372867
5.336980418,5.7531137
2.16848348,1.9727042
2.174260729,2.1719348
4.058527699,3.3478265
3.598553405,3.1134663
2.82189112,2.926653
2.659127452,2.2423594
1.741775647,1.3454543
0.71299336,0.9754521
2.755517929,2.6366825
2.074771964,2.3347783
1.942400146,1.7578824
1.929447935,2.2995846
2.401315101,2.0554025
2.498024631,3.608566
5.838837114,5.6520243
1.293342789,1.3151249
4.97246502,4.289943
0.292246181,1.7951761
3.120562589,2.7246017
3.113981108,3.0280573
1.732635343,2.2906458
1.907694067,1.7403737
2.880188109,2.7747755
1.305268994,1.4209023
2.395683705,2.3966322
3.282302837,2.4532592
2.67574939,2.6254601
2.945488763,3.6052833
1.991060631,2.0857282
0.828190305,0.94454783
4.55285514,4.827893
2.860552919,2.503709
1.686820896,1.7744933
2.257450827,2.0792696
2.112557147,1.9160312
2.0694286,1.9527948
1.959217597,1.2912257
1.086538993,1.3276234
2.458335603,2.3237495
1.610850114,1.3515102
5.596425589,5.134112
1.240894207,1.6747338
3.234257466,2.9106922
1.435521862,1.4945375
1.374438427,1.5028424
2.110743236,1.9767056
1.763020254,1.9912277
2.060853205,1.9313633
2.238418913,2.2218304
1.611043451,1.8996593
1.599692766,1.3454785
1.998363214,1.6038245
3.172004486,3.7936084
1.79084852,1.8285502
3.416674011,3.0945299
2.283616477,2.2149189
2.119152778,1.7752596
2.351099893,2.3847637
1.307547676,1.5466644
1.802499346,2.4332705
1.125890736,1.8643699
4.950667341,4.854134
3.340832483,3.4183223
2.241769859,1.9744796
1.78458133,2.1901655
2.084632417,1.8381323
1.677095004,1.7547042
1.288465013,1.0863165
2.368107416,2.6067502
1.070116651,1.2104206
0.994858126,1.4121734
2.804761146,2.9303966
2.359272832,2.2665503
3.543872401,3.536481
2.333231674,2.4022624
2.054952552,2.4466984
2.815842846,2.588344
1.875739875,1.6951613
3.356649236,3.474993
2.942794156,2.3331435
3.831840136,2.7381985
1.751400857,1.3081625
2.937726308,1.9204755
1.517795889,1.6037005
1.61554367,1.7785517
4.436308375,4.0173635
1.704082438,1.7341741
1.851158471,2.0578902
1.572259746,1.5282162
2.158498943,2.8129675
1.258727868,1.4755603
2.446262728,2.3442638
1.122265227,1.1654509
2.9551669,2.8243291
2.099228059,2.4372919
-0.02759969,0.17959064
3.821288514,3.503598
2.567540193,1.9091772
1.706457447,1.7486717
0.967880216,0.98374546
1.212889612,1.3153288
3.707546154,3.620498
1.562132077,1.7287476
3.426523308,3.6333973
2.71308232,2.8656738
1.922794344,2.6986225
1.918521204,2.4837315
2.09504322,2.3469348
1.660180544,1.825049
1.956287476,2.0764577
2.115206311,1.8712763
2.898255651,2.3373868
