Importances,Columns
0.011037888625952619,GCN
0.029031352385738084,DOS
0.03629809486655687,LC
0.057167833154447886,DBW
0.05938588189313031,WF
0.0680983768389927,DBF
0.09956093402052943,EN
0.2141573402191986,CN
0.5467064890926356,VE
