Psi, Adsorption Energy, Surface
6.617647058823529,-3.751788326,Sc12
12.307692307692307,-3.730901957,Hf12
6.861672096777493,-3.724476805,Sc6Y6
10.008115004720475,-3.695666616,Hf6Sc6
10.377163190906016,-3.692015392,Hf6Y6
6.617647058823529,-3.6918909,Sc12
7.114695532291662,-3.685153226,Sc6Y6
6.861672096777493,-3.675933873,Sc6Y6
8.138192233251592,-3.660853324,Hf6Sc6
7.377049180327869,-3.648769292,Y12
7.377049180327869,-3.62765802,Y12
7.114695532291662,-3.625250493,Sc6Y6
10.377163190906016,-3.60980572,Hf6Y6
12.21444863313257,-3.60323213,Hf6Zr6
11.631904846694995,-3.571118343,Hf6Ti6
10.008115004720475,-3.567035003,Hf6Sc6
8.749448166118944,-3.549843803,Hf6Y6
8.939242282660542,-3.539837089,Sc6Ti6
8.076536893718293,-3.538077601,Sc6Zr6
7.691342561605212,-3.529919219,Sc6Ti6
8.939242282660542,-3.511154657,Sc6Ti6
10.993223341958531,-3.492598262,Hf6Ti6
8.138192233251592,-3.487094488,Hf6Sc6
12.12191137717893,-3.482477668,Hf6Zr6
9.268875899853407,-3.47983762,Ti6Y6
7.691342561605212,-3.472570548,Sc6Ti6
9.268875899853407,-3.471255149,Ti6Y6
9.85704550511178,-3.464401282,Sc6Zr6
13.616557889864383,-3.462855403,Hf6Ta6
10.220523019418271,-3.459214656,Y6Zr6
10.38961038961039,-3.455084921,Ti12
7.102627013887903,-3.438166515,La6Sc6
8.683161921956897,-3.437227858,Y6Zr6
8.749448166118944,-3.435192719,Hf6Y6
10.741568318583305,-3.432626413,Hf6La6
12.030075187969924,-3.425847785,Zr12
7.63610211213442,-3.414582408,La6Y6
7.102627013887903,-3.410983295,La6Sc6
8.269035818012572,-3.393847878,Ti6Y6
8.076536893718293,-3.387287758,Sc6Zr6
10.909938148111106,-3.38618937,Ti6Zr6
8.269035818012572,-3.37854991,Ti6Y6
7.63610211213442,-3.372638373,La6Y6
9.003650960111802,-3.363343917,Sc6Ta6
13.326755466783169,-3.36248254,Hf6Nb6
11.456324725577526,-3.359037715,Ti6Zr6
12.1623012900989,-3.355785139,Ta6Ti6
10.220523019418271,-3.353975037,Y6Zr6
10.741568318583305,-3.351034031,Hf6La6
9.85704550511178,-3.338599925,Sc6Zr6
8.683161921956897,-3.334945028,Y6Zr6
12.307692307692307,-3.325056547,Hf12
11.631904846694995,-3.310631521,Hf6Ti6
24.589577634889757,-3.305360404,Cr6Mn6
24.589577634889757,-3.305107202,Cr6Mn6
12.21444863313257,-3.276201093,Hf6Zr6
16.666666666666668,-3.260459443,Ta12
8.812025449030154,-3.25582031,Nb6Sc6
10.38961038961039,-3.254056741,Ti12
13.739297177359399,-3.247818395,Hf6V6
8.181818181818182,-3.240632821,La6Mo6
15.337423312883436,-3.230985841,V12
