Psi, Adsorption Energy, Surface
27.880960136538118,-2.308307951,Cr6Mn6
24.589577634889757,-2.288006218,Cr6Mn6
21.686746987951807,-2.234331763,Cr6Mn6
31.612903225806452,-2.205675727,Cr6Mn6
26.183602384176865,-2.155592903,Cr6Mn6
31.612903225806452,-1.663228219,Cr6Mn6
21.686746987951807,-1.602611732,Cr6Mn6
15.500421806660256,-1.350000428,Nb6W6
11.631904846694995,-1.034150276,Hf6Ti6
11.65487312713577,-1.025804409,Os6Y6
11.456324725577526,-1.02435513,Ti6Zr6
16.666666666666668,-1.019672595,Ta12
13.244489447858506,-1.012364978,Hf6V6
10.38961038961039,-1.01043746,Ti12
14.237451369597338,-1.010037861,Ta6Ti6
15.511711573222643,-1.009977451,Re6Zr6
6.617647058823529,-1.003077461,Sc12
12.249932625741156,-1.001750906,Sc6Ta6
12.12191137717893,-0.999504198,Hf6Zr6
12.307692307692307,-0.996874898,Hf12
15.337423312883436,-0.99566059,V12
15.749444726044826,-0.995218133,Hf6Re6
12.030075187969924,-0.992339168,Zr12
10.008115004720475,-0.992279712,Hf6Sc6
12.307692307692307,-0.990286206,Hf12
14.950484956045756,-0.990126339,Ta6Zr6
15.064615212402126,-0.989298568,Hf6Ta6
16.666666666666664,-0.989087,Mo12
10.840637736455376,-0.988705904,Os6Sc6
7.114695532291662,-0.987603707,Sc6Y6
7.691342561605212,-0.98659539,Sc6Ti6
14.865603938975775,-0.985095634,Cr6Hf6
14.865603938975775,-0.985095634,Cr6Hf6
14.865603938975775,-0.985095634,Cr6Hf6
16.147228542537114,-0.98445467,Os6Zr6
21.67342976090964,-0.984265279,Os6Zr6
8.138192233251592,-0.981890133,Hf6Sc6
10.008115004720475,-0.981801424,Hf6Sc6
10.377163190906016,-0.979383012,Hf6Y6
14.144612365568808,-0.976652078,V6Zr6
12.21444863313257,-0.975953562,Hf6Zr6
12.1623012900989,-0.975464165,Ta6Ti6
11.547683323628114,-0.972873505,Sc6W6
16.311948504870227,-0.972541526,Nb6Ta6
9.85704550511178,-0.971857976,Sc6Zr6
12.70164760046835,-0.971051567,Ta6Y6
7.377049180327869,-0.970131958,Y12
8.138192233251592,-0.967033398,Hf6Sc6
13.044567844987537,-0.96690496,V6Zr6
8.939242282660542,-0.966593934,Sc6Ti6
8.269035818012572,-0.963137408,Ti6Y6
11.631904846694995,-0.962320794,Hf6Ti6
7.114695532291662,-0.961195059,Sc6Y6
16.39470165552261,-0.960070685,Hf6Os6
13.47001326636926,-0.959918845,Ti6V6
13.616557889864383,-0.959748774,Hf6Ta6
13.637866597208687,-0.959663194,Nb6Ti6
14.641212098216133,-0.959658569,Cr6Zr6
8.749448166118944,-0.958903725,Hf6Y6
10.38961038961039,-0.956476197,Ti12
15.337423312883436,-0.954071935,V12
7.691342561605212,-0.953797236,Sc6Ti6
6.617647058823529,-0.953376004,Sc12
15.96477984153231,-0.952307277,Nb6Ta6
16.666666666666668,-0.951701144,Ta12
8.683161921956897,-0.950013085,Y6Zr6
12.487791736945454,-0.94854612,La6Os6
10.993223341958531,-0.946481048,Hf6Ti6
12.21444863313257,-0.946379821,Hf6Zr6
8.076536893718293,-0.945818995,Sc6Zr6
8.076536893718293,-0.943913246,Sc6Zr6
15.625,-0.943553103,Nb12
11.734048646613664,-0.942171445,Nb6Sc6
14.649405007169559,-0.942132805,Os6Y6
13.277948467408578,-0.941223808,Cr6Ti6
14.430195915803996,-0.940494271,Hf6Nb6
16.969251867178745,-0.939730448,Cr6Ti6
10.993223341958531,-0.938004021,Hf6Ti6
14.320872050844718,-0.937619388,Nb6Zr6
14.067394525050904,-0.937389452,Re6Ti6
11.903449940688644,-0.937078698,Nb6Ti6
8.939242282660542,-0.937010398,Sc6Ti6
13.616557889864383,-0.935203834,Hf6Ta6
6.861672096777493,-0.933219172,Sc6Y6
9.85704550511178,-0.933073047,Sc6Zr6
11.973502929340034,-0.932389088,W6Y6
15.254237288135593,-0.932111668,W6Y6
9.268875899853407,-0.9296255,Ti6Y6
11.829969982229875,-0.927591857,Ti6V6
10.220523019418271,-0.927178653,Y6Zr6
13.421263999949394,-0.92607836,Ti6W6
13.411020025256969,-0.92541209,Ta6Zr6
8.749448166118944,-0.923496408,Hf6Y6
9.003650960111802,-0.92295531,Sc6Ta6
14.237451369597338,-0.921003709,Ta6Ti6
12.1623012900989,-0.920146687,Ta6Ti6
15.432689254351342,-0.918787342,Nb6V6
14.093421660483344,-0.918433322,W6Zr6
12.166740453972256,-0.917184183,Nb6Y6
11.589627293352446,-0.915210134,Sc6V6
12.249932625741156,-0.913903987,Sc6Ta6
15.711220184404153,-0.913591464,Ta6W6
10.377163190906016,-0.913387787,Hf6Y6
14.64373762506992,-0.912795531,Os6Ti6
20.63975871956925,-0.912607093,Os6Ti6
10.909938148111106,-0.911505304,Ti6Zr6
12.12191137717893,-0.910451815,Hf6Zr6
21.686746987951807,-0.90919288,Cr6Sc6
15.511711573222643,-0.908698586,Tc6Zr6
