Psi, Adsorption Energy, Surface
6.617647058823529,-3.751788326,Sc12
12.307692307692307,-3.730901957,Hf12
7.377049180327869,-3.648769292,Y12
10.38961038961039,-3.455084921,Ti12
12.030075187969924,-3.425847785,Zr12
16.666666666666668,-3.260459443,Ta12
15.337423312883436,-3.230985841,V12
8.181818181818182,-3.004750532,La12
15.625,-2.982999248,Nb12
21.686746987951807,-2.500851622,Cr12
15.254237288135593,-2.198106472,W12
16.666666666666664,-2.116413272,Mo12
25.789473684210527,-1.287207166,Tc12
25.789473684210527,-1.20893607,Re12
29.09090909090909,-0.376089897,Ru12
43.08510638297873,-0.253032128,Co12
29.09090909090909,-0.129969325,Os12
87.27272727272728,0.078724574,Zn12
35.526315789473685,0.595410113,Rh12
36.81818181818181,0.750792558,Ir12
63.684210526315795,0.815140814,Cu12
85.20710059171599,0.904440412,Cd12
45.45454545454545,1.359148895,Pd12
43.85964912280702,1.417018665,Pt12
87.09770584059203,1.961799686,Ag12
75.92215242171719,2.415031951,Au12
