Psi, Adsorption Energy, Surface
15.337423312883436,-0.028206232,Hf6V6
21.686746987951807,-0.02759969,Cr6Hf6
21.686746987951807,-0.02759969,Cr6Hf6
21.686746987951807,-0.02759969,Cr6Hf6
26.183602384176865,-0.020136152,Cr6Mn6
21.686746987951807,-0.012815337,Cr6Mn6
21.686746987951807,0.077084136,Cr6Zr6
25.789473684210527,0.102673449,Tc6Y6
15.337423312883436,0.128615422,V6Zr6
29.09090909090909,0.177241485,Os6Y6
25.789473684210527,0.264096549,Re6Zr6
14.322297480788707,0.292246181,Hf6Mo6
25.789473684210527,0.294637926,Hf6Re6
21.686746987951807,0.334450221,Cr6Ta6
15.337423312883436,0.334540971,La6V6
15.988236984776972,0.336639513,Ta6V6
21.686746987951807,0.347093718,Cr6Ti6
29.09090909090909,0.387308606,Os6Sc6
16.666666666666664,0.398795212,Mo6Zr6
25.789473684210527,0.42815371,Sc6Tc6
16.666666666666668,0.439420039,Ta12
25.789473684210527,0.47454599,Re6Ti6
21.686746987951807,0.493712736,Cr6La6
21.686746987951807,0.503803942,Cr6Nb6
11.973502929340034,0.519909544,W6Y6
10.38961038961039,0.526317144,La6Ti6
15.254237288135593,0.561387312,W12
21.686746987951807,0.571370488,Cr6Sc6
27.99652957093424,0.587037715,Cu6Hf6
10.38961038961039,0.618295023,Ti6Y6
21.959752438798603,0.660295386,Mn6W6
34.97267759562841,0.662904005,Fe6Hf6
13.147679471646503,0.677259507,La6Ta6
34.97267759562841,0.685548911,Fe6Ta6
27.678978321428122,0.687920655,Cu6Zr6
18.188314505802264,0.708916143,Cr6W6
25.789473684210527,0.710603657,Tc6Zr6
34.97267759562841,0.71299336,Fe6Zr6
15.254237288135593,0.721671343,W12
15.625,0.728154183,Nb12
16.666666666666664,0.734244771,Mo6Y6
29.09090909090909,0.739325,Ru6Y6
34.97267759562841,0.74276724,Fe6Y6
23.64930846223443,0.74381379,Cr6Re6
16.666666666666668,0.752288639,Ta12
25.789473684210527,0.765883583,Hf6Tc6
25.789473684210527,0.771900972,Re6Ta6
31.612903225806452,0.772304109,Mn6Zr6
16.666666666666664,0.775008784,La6Mo6
15.064615212402126,0.775250694,Hf6Ta6
43.08510638297873,0.782355178,Co6Y6
25.789473684210527,0.796065906,Nb6Re6
15.064615212402126,0.800998921,Hf6Ta6
11.589627293352446,0.807804216,Sc6V6
25.789473684210527,0.821817535,La6Tc6
14.950484956045756,0.828190305,Ta6Zr6
52.35602094240838,0.83620052,Ni6Zr6
14.20100919572253,0.838442738,Hf6W6
10.377163190906016,0.843876579,Hf6Y6
52.35602094240838,0.844061617,Hf6Ni6
43.08510638297873,0.846466967,Co6Zr6
12.70164760046835,0.849913697,Ta6Y6
16.18189326809658,0.850687044,Ta6W6
16.666666666666668,0.850889497,La6Ta6
31.612903225806452,0.85265606,Mn6Nb6
15.711220184404153,0.858442289,Ta6W6
12.249932625741156,0.859268562,Sc6Ta6
11.547683323628114,0.859952929,Sc6W6
12.166740453972256,0.865816166,Nb6Y6
23.64930846223443,0.871421847,Cr6Tc6
25.789473684210527,0.87177369,Re6V6
31.612903225806452,0.881301892,Mn6Ta6
15.337423312883436,0.88328084,V12
14.950484956045756,0.891511059,Ta6Zr6
43.08510638297873,0.904207891,Co6Hf6
14.20100919572253,0.905181922,Hf6W6
31.612903225806452,0.907120053,Mn6Y6
15.625,0.910632907,Nb12
16.311948504870227,0.916639275,Nb6Ta6
14.093421660483344,0.919152927,W6Zr6
8.939242282660542,0.920388188,Sc6Ti6
14.093421660483344,0.928066832,W6Zr6
10.741568318583305,0.930602661,Hf6La6
15.376836875800764,0.931442132,Nb6W6
25.789473684210527,0.943558137,Tc6Ti6
10.993223341958531,0.943924402,Hf6Ti6
43.08510638297873,0.944078146,Co6Sc6
43.08510638297873,0.944078146,Co6Sc6
43.08510638297873,0.944078146,Co6Sc6
15.625,0.94797332,La6Nb6
