Psi, Adsorption Energy, Surface
6.617647058823529,-3.751788326,Sc12
12.307692307692307,-3.730901957,Hf12
6.861672096777493,-3.724476805,Sc6Y6
10.008115004720475,-3.695666616,Hf6Sc6
10.377163190906016,-3.692015392,Hf6Y6
7.377049180327869,-3.648769292,Y12
12.21444863313257,-3.60323213,Hf6Zr6
11.631904846694995,-3.571118343,Hf6Ti6
8.939242282660542,-3.539837089,Sc6Ti6
8.076536893718293,-3.538077601,Sc6Zr6
9.268875899853407,-3.47983762,Ti6Y6
13.616557889864383,-3.462855403,Hf6Ta6
10.220523019418271,-3.459214656,Y6Zr6
10.38961038961039,-3.455084921,Ti12
7.102627013887903,-3.438166515,La6Sc6
10.741568318583305,-3.432626413,Hf6La6
12.030075187969924,-3.425847785,Zr12
7.63610211213442,-3.414582408,La6Y6
10.909938148111106,-3.38618937,Ti6Zr6
9.003650960111802,-3.363343917,Sc6Ta6
13.326755466783169,-3.36248254,Hf6Nb6
12.1623012900989,-3.355785139,Ta6Ti6
24.589577634889757,-3.305360404,Cr6Mn6
16.666666666666668,-3.260459443,Ta12
8.812025449030154,-3.25582031,Nb6Sc6
13.739297177359399,-3.247818395,Hf6V6
8.181818181818182,-3.240632821,La6Mo6
15.337423312883436,-3.230985841,V12
11.903449940688644,-3.224155103,Nb6Ti6
10.579427560794661,-3.219845636,La6Zr6
12.307692307692307,-3.195834856,Hf6Pd6
8.757628844082975,-3.192500236,Sc6V6
12.307692307692307,-3.187125988,Cu6Hf6
9.679911105988936,-3.164533193,Ta6Y6
11.829969982229875,-3.163671816,Ti6V6
13.411020025256969,-3.126384057,Ta6Zr6
15.337423312883436,-3.110507983,V6Zr6
10.38961038961039,-3.091792946,La6Ti6
12.307692307692307,-3.057821302,Cd6Hf6
6.617647058823529,-3.028793694,Ag6Sc6
12.307692307692307,-3.022896715,Au6Hf6
9.47389268955678,-3.019521279,Nb6Y6
16.666666666666668,-3.007561876,La6Ta6
8.181818181818182,-3.004750532,La12
13.125592082986564,-3.000117657,Nb6Zr6
12.307692307692307,-2.997226176,Ag6Hf6
15.625,-2.982999248,Nb12
6.617647058823529,-2.971840404,Cd6Sc6
7.377049180327869,-2.968642658,Ag6Y6
72.0,-2.937190244,Hf6Hg6
12.307692307692307,-2.919939587,Hf6Zn6
8.181818181818182,-2.912099171,Ag6La6
15.337423312883436,-2.907355819,La6V6
12.030075187969924,-2.895954793,Cu6Zr6
13.220501187158636,-2.890881639,Hf6W6
12.307692307692307,-2.876734848,Hf6Ni6
9.679911105988978,-2.872876002,Mo6Y6
12.307692307692307,-2.864514624,Hf6Pt6
6.617647058823529,-2.860115632,Hg6Sc6
8.741767131583462,-2.832789824,Sc6W6
7.377049180327869,-2.8302076,Cd6Y6
16.311948504870227,-2.829773578,Nb6Ta6
11.808543682248803,-2.824138372,Ti6W6
