adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
H,Ag6Cd6,0.622470474,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[9, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.766486161,8.521291333,0.434,159.6333333
H,Ag6Co6,0.790869756,top|A,L1_o,['Ag'],[12],"['Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,329.62,8.47,1.93,7.576234,1.302,266.3
H,Ag6Co6,0.502743378,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.93,7.576234,1.302,266.3
H,Ag6Co6,-0.236969792,bridge|B_B|A,L1_o,"['Co', 'Co']","[9, 10]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.88,7.88101,0.662,391.2
H,Ag6Co6,0.044001488,hollow|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
H,Ag6Co6,0.074852122,hollow|A_A_B|FCC,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
H,Ag6Co6,0.044630071,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[10, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.913187299,7.677826,1.088666667,307.9333333
H,Ag6Cu6,0.837703269,top|A,L1_o,['Ag'],[12],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.93,7.576234,1.302,266.3
H,Ag6Cu6,0.494698197,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.93,7.576234,1.302,266.3
H,Ag6Cu6,0.077060734,bridge|B_B|A,L1_o,"['Cu', 'Cu']","[9, 10]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.9,7.72638,1.235,313.1
H,Ag6Cu6,0.254191877,bridge|A_B|B,L1_o,"['Cu', 'Ag']","[9, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.914941252,7.651307,1.2685,289.7
H,Ag6Cu6,0.194425202,hollow|A_A_B|HCP,L1_o,"['Cu', 'Ag', 'Ag']","[10, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
H,Ag6Cu6,0.184468556,hollow|A_A_B|FCC,L1_o,"['Cu', 'Ag', 'Ag']","[9, 11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.919947734,7.626282667,1.279666667,281.9
H,Ag6Cu6,0.07342298,hollow|A_B_B|HCP,L1_o,"['Cu', 'Cu', 'Ag']","[9, 10, 11]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.909947825,7.676331333,1.257333333,297.5
H,Ag6Cu6,0.051979866,hollow|A_B_B|FCC,L1_o,"['Cu', 'Cu', 'Ag']","[9, 10, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,385.01,8.69,1.909947825,7.676331333,1.257333333,297.5
H,Ag6Fe6,0.273434679,top|B,L1_o,['Fe'],[10],"['Fe', 'Fe', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,347.59,8.68,1.83,7.9024681,0.151,360.8
H,Ag6Fe6,-0.302025952,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.93,7.576234,1.302,266.3
H,Ag6Fe6,-0.278377219,bridge|B_B|A,L1_o,"['Fe', 'Fe']","[9, 10]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,347.59,8.68,1.83,7.9024681,0.151,360.8
H,Ag6Fe6,0.074597696,hollow|A_A_B|HCP,L1_o,"['Fe', 'Ag', 'Ag']","[10, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.896073795,7.6849787,0.918333333,297.8
H,Ag6Fe6,0.020086219,hollow|A_A_B|FCC,L1_o,"['Fe', 'Ag', 'Ag']","[9, 11, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.896073795,7.6849787,0.918333333,297.8
H,Ag6Fe6,-0.307076657,hollow|A_B_B|HCP,L1_o,"['Fe', 'Fe', 'Ag']","[9, 10, 11]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.862743956,7.7937234,0.534666667,329.3
H,Ag6Fe6,0.019930842,hollow|A_B_B|FCC,L1_o,"['Fe', 'Fe', 'Ag']","[9, 10, 12]","['Fe', 'Fe', 'Ag', 'Ag', 'Fe', 'Fe', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,347.59,8.68,1.862743956,7.7937234,0.534666667,329.3
H,Ag6Hf6,0.063516132,top|B,L1_o,['Hf'],[11],"['Ag', 'Ag', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 8, 9, 10, 11, 12]",1,364.085,11.855,1.3,6.82507,0.014,655.5
H,Ag6Hf6,-0.787843034,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[9, 10]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.93,7.576234,1.302,266.3
H,Ag6Hf6,-0.788540189,bridge|B_B|A,L1_o,"['Hf', 'Hf']","[11, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",2,364.085,11.855,1.3,6.82507,0.014,655.5
H,Ag6Hf6,0.033081015,hollow|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 11]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814165,7.325846,0.872666667,396.0333333
H,Ag6Hf6,-0.095206101,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Hf']","[9, 10, 12]","['Ag', 'Ag', 'Hf', 'Hf', 'Ag', 'Ag', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]",3,364.085,11.855,1.691814165,7.325846,0.872666667,396.0333333
H,Ag6Hg6,0.927720839,top|A,L1_o,['Ag'],[9],"['Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[6, 7, 8, 9, 10, 11, 12]",1,354.515,12.18,1.93,7.576234,1.302,266.3
H,Ag6Hg6,1.146822276,top|B,L1_o,['Hg'],[11],"['Ag', 'Ag', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 8, 9, 10, 11, 12]",1,354.515,12.18,2,10.437504,0,61.49
H,Ag6Hg6,0.889111287,hollow|A_B_B|HCP,L1_o,"['Ag', 'Hg', 'Hg']","[10, 11, 12]","['Ag', 'Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",3,354.515,12.18,1.976389024,9.483747333,0.434,129.76
H,Ag6Hg6,0.875933902,hollow|A_B_B|FCC,L1_o,"['Ag', 'Hg', 'Hg']","[9, 11, 12]","['Ag', 'Ag', 'Hg', 'Hg', 'Ag', 'Ag', 'Hg', 'Hg']","[5, 6, 7, 8, 9, 10, 11, 12]",3,354.515,12.18,1.976389024,9.483747333,0.434,129.76
H,Ag6Ir6,-0.315647971,bridge|B_B|A,L1_o,"['Ir', 'Ir']","[11, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",2,396.215,9.395,2.2,8.96702,1.5638,586
