adsorbate,surface,reaction energy (eV),site,S. designation
H,Ag6Au6,0.970614824,top|A,L1_o
H,Ag6Au6,0.508873015,top|B,L1_o
H,Ag6Au6,0.319611853,bridge|A_A|B,L1_o
H,Ag6Au6,0.319847232,bridge|B_B|A,L1_o
H,Ag6Au6,0.397102664,hollow|A_A_B|HCP,L1_o
H,Ag6Au6,0.347848562,hollow|A_A_B|FCC,L1_o
H,Ag6Au6,0.321077867,hollow|A_B_B|HCP,L1_o
H,Ag6Au6,0.319901655,hollow|A_B_B|FCC,L1_o
H,Ag6Cd6,0.879984725,top|A,L1_o
H,Ag6Cd6,0.971460554,top|B,L1_o
H,Ag6Cd6,0.57755999,bridge|A_A|B,L1_o
H,Ag6Cd6,0.637607623,bridge|A_B|A,L1_o
H,Ag6Cd6,0.631048183,bridge|A_B|B,L1_o
H,Ag6Cd6,0.517986107,hollow|A_A_B|HCP,L1_o
H,Ag6Cd6,0.532293989,hollow|A_A_B|FCC,L1_o
H,Ag6Cd6,0.611268228,hollow|A_B_B|HCP,L1_o
H,Ag6Cd6,0.622470474,hollow|A_B_B|FCC,L1_o
H,Ag6Co6,0.790869756,top|A,L1_o
H,Ag6Co6,0.502743378,bridge|A_A|B,L1_o
H,Ag6Co6,-0.236969792,bridge|B_B|A,L1_o
H,Ag6Co6,0.044001488,hollow|A_A_B|HCP,L1_o
H,Ag6Co6,0.074852122,hollow|A_A_B|FCC,L1_o
H,Ag6Co6,0.044630071,hollow-tilt|A_A_B|HCP,L1_o
H,Ag6Cu6,0.837703269,top|A,L1_o
H,Ag6Cu6,0.494698197,bridge|A_A|B,L1_o
H,Ag6Cu6,0.077060734,bridge|B_B|A,L1_o
H,Ag6Cu6,0.254191877,bridge|A_B|B,L1_o
H,Ag6Cu6,0.194425202,hollow|A_A_B|HCP,L1_o
H,Ag6Cu6,0.184468556,hollow|A_A_B|FCC,L1_o
H,Ag6Cu6,0.07342298,hollow|A_B_B|HCP,L1_o
H,Ag6Cu6,0.051979866,hollow|A_B_B|FCC,L1_o
H,Ag6Fe6,0.273434679,top|B,L1_o
H,Ag6Fe6,-0.302025952,bridge|A_A|B,L1_o
H,Ag6Fe6,-0.278377219,bridge|B_B|A,L1_o
H,Ag6Fe6,0.074597696,hollow|A_A_B|HCP,L1_o
H,Ag6Fe6,0.020086219,hollow|A_A_B|FCC,L1_o
H,Ag6Fe6,-0.307076657,hollow|A_B_B|HCP,L1_o
H,Ag6Fe6,0.019930842,hollow|A_B_B|FCC,L1_o
H,Ag6Hf6,0.063516132,top|B,L1_o
H,Ag6Hf6,-0.787843034,bridge|A_A|B,L1_o
H,Ag6Hf6,-0.788540189,bridge|B_B|A,L1_o
H,Ag6Hf6,0.033081015,hollow|A_A_B|HCP,L1_o
H,Ag6Hf6,-0.095206101,hollow|A_A_B|FCC,L1_o
H,Ag6Hg6,0.927720839,top|A,L1_o
H,Ag6Hg6,1.146822276,top|B,L1_o
H,Ag6Hg6,0.889111287,hollow|A_B_B|HCP,L1_o
H,Ag6Hg6,0.875933902,hollow|A_B_B|FCC,L1_o
H,Ag6Ir6,-0.315647971,bridge|B_B|A,L1_o
H,Ag6Ir6,0.079700783,hollow|A_A_B|FCC,L1_o
H,Ag6Ir6,-0.225326449,top-tilt|A,L1_o
H,Ag6Ir6,-0.22643817,top-tilt|B,L1_o
H,Ag6Ir6,-0.221626245,hollow-tilt|A_A_B|HCP,L1_o
H,Ag6La6,0.447233244,top|A,L1_o
H,Ag6La6,0.291687803,top|B,L1_o
H,Ag6La6,-0.557652414,bridge|A_A|B,L1_o
H,Ag6La6,-0.552784569,bridge|B_B|A,L1_o
H,Ag6La6,-0.20130111,4fold|A_A_B_B,L1_o
H,Ag6Mn6,3.749002425,top|A,L1_o
H,Ag6Mn6,3.026536918,top|B,L1_o
H,Ag6Mn6,2.448340998,bridge|A_A|B,L1_o
H,Ag6Mn6,2.436977796,bridge|B_B|A,L1_o
H,Ag6Mo6,0.540172501,top|A,L1_o
H,Ag6Mo6,-0.616801254,bridge|B_B|A,L1_o
H,Ag6Mo6,-0.296937832,hollow|A_A_B|FCC,L1_o
H,Ag6Mo6,-0.251448425,hollow|A_B_B|HCP,L1_o
H,Ag6Mo6,-0.602948211,hollow|A_B_B|FCC,L1_o
