surface,A,B,
Mn6Rh6,,,
Mn6Ru6,,,
Mn6Sc6,,,
Mn6Ta6,,,
Mn6Ti6,,,
Mn6V6,,,
Mn6W6,,,
Mn6Y6,,,
Mn6Zn6,,,
Mn6Zr6,,,
Mo6Nb6,,,
Mo6Ni6,,,
Mo6Os6,,,
Mo6Pd6,,,
Mo6Pt6,,,
Mo6Re6,,,
Mo6Rh6,,,
Mo6Ru6,,,
Mo6Sc6,,,
Mo6Sn6,,,
Mo6Ta6,,,
Mo6Tc6,,,
Mo6Ti6,,,
Mo6V6,,,
Mo6W6,,,
Mo6Y6,,,
Mo6Zn6,,,
Mo6Zr6,,,
Nb6Ni6,,,
Nb6Os6,,,
Nb6Pd6,,,
Nb6Pt6,,,
Nb6Re6,,,
Nb6Rh6,,,
Nb6Ru6,,,
Nb6Sc6,,,
Nb6Ta6,,,
Nb6Tc6,,,
Nb6Ti6,,,
Nb6V6,,,
Nb6W6,,,
Nb6Y6,,,
Nb6Zn6,,,
Nb6Zr6,,,
Ni6Os6,,,
Ni6Pd6,,,
Ni6Pt6,,,
Ni6Re6,,,
Ni6Rh6,,,
Ni6Ru6,,,
Ni6Ta6,,,
Ni6Ti6,,,
Ni6V6,,,
Ni6W6,,,
Ni6Y6,,,
Ni6Zn6,,,
Ni6Zr6,,,
Os6Pd6,,,
Os6Pt6,,,
Os6Re6,,,
Os6Rh6,,,
Os6Ru6,,,
Os6Sc6,,,
Os6Ta6,,,
Os6Tc6,,,
Os6Ti6,,,
Os6V6,,,
Os6W6,,,
Os6Y6,,,
Os6Zn6,,,
Os6Zr6,,,
Pd6Pt6,,,
Pd6Re6,,,
Pd6Rh6,,,
Pd6Ru6,,,
Pd6Sc6,,,
Pd6Ta6,,,
Pd6Tc6,,,
Pd6Ti6,,,
Pd6V6,,,
Pd6W6,,,
Pd6Y6,,,
Pd6Zn6,,,
Pd6Zr6,,,
Pt6Re6,,,
Pt6Rh6,,,
Pt6Ru6,,,
Pt6Sc6,,,
Pt6Ta6,,,
Pt6Tc6,,,
Pt6Ti6,,,
Pt6V6,,,
Pt6W6,,,
Pt6Y6,,,
Pt6Zn6,,,
Pt6Zr6,,,
Re6Rh6,,,
Re6Ru6,,,
Re6Sc6,,,
Re6Ta6,,,
Re6Tc6,,,
Re6Ti6,,,
Re6V6,,,
Re6W6,,,
Re6Y6,,,
Re6Zn6,,,
Re6Zr6,,,
Rh6Ru6,,,
Rh6Sc6,,,
Rh6Ta6,,,
Rh6Tc6,,,
Rh6Ti6,,,
Rh6V6,,,
Rh6W6,,,
Rh6Y6,,,
Rh6Zn6,,,
Rh6Zr6,,,
Ru6Sc6,,,
Ru6Ta6,,,
Ru6Tc6,,,
Ru6Ti6,,,
Ru6V6,,,
Ru6W6,,,
Ru6Y6,,,
Ru6Zn6,,,
Ru6Zr6,,,
Sc6Ta6,,,
Sc6Tc6,,,
Sc6Ti6,,,
Sc6V6,,,
Sc6W6,,,
Sc6Y6,,,
Sc6Zn6,,,
Sc6Zr6,,,
Ta6Tc6,,,
Ta6Ti6,,,
Ta6V6,,,
Ta6W6,,,
Ta6Y6,,,
Ta6Zn6,,,
Ta6Zr6,,,
Tc6Ti6,,,
Tc6V6,,,
Tc6W6,,,
Tc6Y6,,,
Tc6Zn6,,,
Tc6Zr6,,,
Ti6V6,Ti,V,
Ti6W6,Ti,W,
Ti6Y6,Ti,Y,
Ti6Zn6,Ti,Zn,
Ti6Zr6,Ti,Zr,
V6W6,V,W,
V6Zn6,V,Zn,
V6Zr6,V,Zr,
W6Y6,W,Y,
W6Zn6,W,Zn,
W6Zr6,W,Zr,
Y6Zn6,Y,Zn,
Y6Zr6,Y,Zr,
Zn6Zr6,Zn,Zr,
