adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ni6Re6,1.750169406,hollow|A_B_B|FCC,L1_o,"['Ni', 'Re', 'Re']","[9, 11, 12]","['Ni', 'Ni', 'Re', 'Re', 'Ni', 'Ni', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,314.25,7.725,1.903327502,7.768972667,0.485333333,623.7333333,-1.506206709,3.433300109,0.73729051,21.611,5.397606703
C,Ni6Re6,1.750169406,hollow|A_B_B|FCC,L1_o,"['Ni', 'Re', 'Re']","[9, 11, 12]","['Ni', 'Ni', 'Re', 'Re', 'Ni', 'Ni', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,314.25,7.725,1.903327502,7.768972667,0.485333333,623.7333333,-1.506206709,3.433300109,0.73729051,21.611,5.397606703
C,Ni6Re6,1.750169406,hollow|A_B_B|FCC,L1_o,"['Ni', 'Re', 'Re']","[9, 11, 12]","['Ni', 'Ni', 'Re', 'Re', 'Ni', 'Ni', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,314.25,7.725,1.903327502,7.768972667,0.485333333,623.7333333,-1.506206709,3.433300109,0.73729051,21.611,5.397606703
C,Ni6Rh6,2.283616477,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 11]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.831965273,2.034218704,0.944014393,21.664,5.397606703
C,Ni6Rh6,2.283616477,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 11]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.831965273,2.034218704,0.944014393,21.664,5.397606703
C,Ni6Rh6,2.283616477,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 11]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.831965273,2.034218704,0.944014393,21.664,5.397606703
C,Ni6Rh6,2.429636573,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.83195991,2.034230138,0.944013695,21.664,5.397606703
C,Ni6Rh6,2.429636573,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.83195991,2.034230138,0.944013695,21.664,5.258583049
C,Ni6Rh6,2.429636573,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Rh']","[9, 10, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.026129472,7.579552,1.149666667,435.7,-1.83195991,2.034230138,0.944013695,21.664,5.258583049
C,Ni6Rh6,1.966217318,hollow|A_B_B|HCP,L1_o,"['Ni', 'Rh', 'Rh']","[10, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873651289,2.186308068,0.926761989,21.664,5.258583049
C,Ni6Rh6,1.966217318,hollow|A_B_B|HCP,L1_o,"['Ni', 'Rh', 'Rh']","[10, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873651289,2.186308068,0.926761989,21.664,5.258583049
C,Ni6Rh6,1.966217318,hollow|A_B_B|HCP,L1_o,"['Ni', 'Rh', 'Rh']","[10, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873651289,2.186308068,0.926761989,21.664,5.258583049
C,Ni6Rh6,2.141450466,hollow|A_B_B|FCC,L1_o,"['Ni', 'Rh', 'Rh']","[9, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873575234,2.186304537,0.926758466,21.664,5.258583049
C,Ni6Rh6,2.141450466,hollow|A_B_B|FCC,L1_o,"['Ni', 'Rh', 'Rh']","[9, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873575234,2.186304537,0.926758466,21.664,5.258583049
C,Ni6Rh6,2.141450466,hollow|A_B_B|FCC,L1_o,"['Ni', 'Rh', 'Rh']","[9, 11, 12]","['Ni', 'Ni', 'Rh', 'Rh', 'Ni', 'Ni', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]",3,366.37,7.435,2.149319705,7.519226,1.143333333,476.2,-1.873575234,2.186304537,0.926758466,21.664,5.258583049
C,Ni6Ru6,2.233417325,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 11]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521272987,2.281022296,0.840641238,32.48,5.258583049
C,Ni6Ru6,2.233417325,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 11]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521272987,2.281022296,0.840641238,32.48,5.258583049
C,Ni6Ru6,2.233417325,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 11]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521272987,2.281022296,0.840641238,32.48,5.258583049
C,Ni6Ru6,2.473828405,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521277078,2.281029264,0.840641187,32.48,5.258583049
