adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Fe12,286.65,7.09,1.83,7.9024681,0.151,360.8,3,6.954545454545454,8,2.313202599,hollow|A_A_A|FCC,1.0,A1,"['Fe', 'Fe', 'Fe']","[9, 10, 11]","['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf12,319.64,13.44,1.3,6.82507,0.014,655.5,1,7.5,4,4.407675196,top|A,1.0,A1,['Hf'],[9],"['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf12,319.64,13.44,1.3,6.82507,0.014,655.5,3,7.5,4,0.950402208,hollow|A_A_A|HCP,1.0,A1,"['Hf', 'Hf', 'Hf']","[10, 11, 12]","['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Hf12,319.64,13.44,1.3,6.82507,0.014,655.5,3,6.954545454545454,4,1.11796093,hollow|A_A_A|FCC,1.0,A1,"['Hf', 'Hf', 'Hf']","[9, 10, 11]","['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ir12,383.9,8.52,2.2,8.96702,1.5638,586.0,1,7.5,9,3.426523308,top|A,1.0,A1,['Ir'],[9],"['Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ir12,383.9,8.52,2.2,8.96702,1.5638,586.0,3,7.5,9,1.88966081,hollow|A_A_A|HCP,1.0,A1,"['Ir', 'Ir', 'Ir']","[9, 10, 12]","['Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ir12,383.9,8.52,2.2,8.96702,1.5638,586.0,3,6.954545454545454,9,2.244876583,hollow|A_A_A|FCC,1.0,A1,"['Ir', 'Ir', 'Ir']","[10, 11, 12]","['Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,La12,377.2,22.39,1.1,5.5769,0.47,406.2,1,7.5,3,4.97246502,top|A,1.0,A1,['La'],[9],"['La', 'La', 'La', 'La', 'La', 'La', 'La', 'La']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,La12,377.2,22.39,1.1,5.5769,0.47,406.2,3,7.5,3,1.839902482,hollow|A_A_A|HCP,1.0,A1,"['La', 'La', 'La']","[9, 10, 11]","['La', 'La', 'La', 'La', 'La', 'La', 'La', 'La']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,La12,377.2,22.39,1.1,5.5769,0.47,406.2,3,6.954545454545454,3,2.209523281,hollow|A_A_A|FCC,1.0,A1,"['La', 'La', 'La']","[9, 10, 12]","['La', 'La', 'La', 'La', 'La', 'La', 'La', 'La']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Mo12,314.7,9.38,2.16,7.09243,0.748,636.0,1,7.5,6,4.001872917,top|A,1.0,A1,['Mo'],[9],"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Mo12,314.7,9.38,2.16,7.09243,0.748,636.0,3,7.5,6,1.134830764,hollow|A_A_A|HCP,1.0,A1,"['Mo', 'Mo', 'Mo']","[10, 11, 12]","['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Mo12,314.7,9.38,2.16,7.09243,0.748,636.0,3,6.954545454545454,6,1.083346689,hollow|A_A_A|FCC,1.0,A1,"['Mo', 'Mo', 'Mo']","[9, 10, 11]","['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Nb12,330.04,10.83,1.6,6.75885,0.916,716.8,1,7.5,5,4.033442748,top|A,1.0,A1,['Nb'],[9],"['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Nb12,330.04,10.83,1.6,6.75885,0.916,716.8,3,7.5,5,0.910632907,hollow|A_A_A|HCP,1.0,A1,"['Nb', 'Nb', 'Nb']","[10, 11, 12]","['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Nb12,330.04,10.83,1.6,6.75885,0.916,716.8,3,6.954545454545454,5,0.728154183,hollow|A_A_A|FCC,1.0,A1,"['Nb', 'Nb', 'Nb']","[9, 10, 11]","['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Os12,273.44,8.42,2.2,8.43823,1.1,661.0,1,7.5,8,3.698386258,top|A,1.0,A1,['Os'],[9],"['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Os12,273.44,8.42,2.2,8.43823,1.1,661.0,3,7.5,8,1.677095004,hollow|A_A_A|HCP,1.0,A1,"['Os', 'Os', 'Os']","[9, 11, 12]","['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Os12,273.44,8.42,2.2,8.43823,1.1,661.0,3,6.954545454545454,8,2.301708782,hollow|A_A_A|FCC,1.0,A1,"['Os', 'Os', 'Os']","[9, 10, 11]","['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pd12,389.07,8.56,2.2,8.336839,0.562,396.7,1,7.5,10,4.826180566,top|A,1.0,A1,['Pd'],[9],"['Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pd12,389.07,8.56,2.2,8.336839,0.562,396.7,3,7.5,10,2.504732645,hollow|A_A_A|HCP,1.0,A1,"['Pd', 'Pd', 'Pd']","[10, 11, 12]","['Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pd12,389.07,8.56,2.2,8.336839,0.562,396.7,3,6.954545454545454,10,2.559051602,hollow|A_A_A|FCC,1.0,A1,"['Pd', 'Pd', 'Pd']","[9, 10, 11]","['Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pt12,392.42,9.09,2.28,8.95883,2.128,510.0,1,7.5,10,4.140889346,top|A,1.0,A1,['Pt'],[9],"['Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pt12,392.42,9.09,2.28,8.95883,2.128,510.0,3,7.5,10,2.306027909,hollow|A_A_A|HCP,1.0,A1,"['Pt', 'Pt', 'Pt']","[9, 10, 12]","['Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Pt12,392.42,9.09,2.28,8.95883,2.128,510.0,3,6.954545454545454,10,2.222465831,hollow|A_A_A|FCC,1.0,A1,"['Pt', 'Pt', 'Pt']","[10, 11, 12]","['Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]"
