Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site
Cd2Hf2,-5.184772165,4.88449198,0.766360391,4fold|A_A_B_B
Cd2Hf2,-8.549894817,1.469407047,0.995414256,bridge|A_A|A
Cd2Hf2,-8.549894817,1.469407047,0.995414256,bridge|A_A|B
Cd2Hf2,-5.184499349,4.884779567,0.766317717,bridge|A_B|A
Cd2Hf2,-5.184765695,4.884571751,0.766351312,bridge|A_B|B
Cd2Hf2,-0.131966427,3.729192116,0.422422517,bridge|B_B|A
Cd2Hf2,-5.184451571,4.88478945,0.766314674,bridge|B_B|B
Cd2Hf2,-6.447134027,4.286293241,0.852289245,hollow|A_A_A|FCC
Cd2Hf2,-3.741434613,5.121099088,0.66810453,hollow|A_A_A|HCP
Cd2Hf2,-6.446941418,4.286516883,0.852266436,hollow|A_A_B|FCC
Cd2Hf2,-3.74149576,5.121101791,0.668108528,hollow|A_A_B|HCP
Cd2Hf2,-3.741434613,5.121099088,0.66810453,hollow|A_B_B|FCC
Cd2Hf2,-6.447134027,4.286293241,0.852289245,hollow|A_B_B|HCP
Cd2Hf2,-8.549927459,1.469326063,0.995416305,top|A
Cd2Hf2,-0.132054987,3.729033823,0.422445761,top|B
Cd2Ir2,-5.032719898,3.826268684,0.918411935,4fold|A_A_B_B
Cd2Ir2,-8.431557536,1.223824754,0.996485687,bridge|A_A|A
Cd2Ir2,-8.431557536,1.223824754,0.996485687,bridge|A_A|B
Cd2Ir2,-5.032742282,3.82618153,0.91841971,bridge|A_B|A
Cd2Ir2,-5.032661838,3.826238698,0.918415683,bridge|A_B|B
Cd2Ir2,-1.527138562,1.997897859,0.837894833,bridge|B_B|A
Cd2Ir2,-5.032744647,3.826185885,0.918419447,bridge|B_B|B
Cd2Ir2,-6.177197077,3.577007565,0.944699362,hollow|A_A_A|FCC
Cd2Ir2,-3.876288979,3.72074757,0.891857717,hollow|A_A_A|HCP
Cd2Ir2,-6.177258749,3.576946658,0.944702205,hollow|A_A_B|FCC
Cd2Ir2,-3.876287778,3.720744522,0.891857899,hollow|A_A_B|HCP
Cd2Ir2,-3.876288979,3.72074757,0.891857717,hollow|A_B_B|FCC
Cd2Ir2,-6.177197077,3.577007565,0.944699362,hollow|A_B_B|HCP
Cd2Ir2,-8.431548364,1.223814131,0.99648591,top|A
Cd2Ir2,-1.527082417,1.997922309,0.83789256,top|B
Cd2Ta2,-4.266899615,5.431614517,0.724585491,4fold|A_A_B_B
Cd2Ta2,-8.411737139,2.060776009,0.994533195,bridge|A_A|A
Cd2Ta2,-8.411737139,2.060776009,0.994533195,bridge|A_A|B
Cd2Ta2,-4.265740601,5.431690046,0.724497875,bridge|A_B|A
Cd2Ta2,-4.265778671,5.431670522,0.724501241,bridge|A_B|B
Cd2Ta2,0.274035122,4.210396908,0.428833049,bridge|B_B|A
Cd2Ta2,-4.265794824,5.431683734,0.724501146,bridge|B_B|B
Cd2Ta2,-5.689626185,4.970642634,0.817243454,hollow|A_A_A|FCC
Cd2Ta2,-2.799910441,5.496085369,0.629034669,hollow|A_A_A|HCP
Cd2Ta2,-5.689598033,4.97066624,0.817240884,hollow|A_A_B|FCC
Cd2Ta2,-2.799865312,5.496078875,0.629031932,hollow|A_A_B|HCP
Cd2Ta2,-2.799910441,5.496085369,0.629034669,hollow|A_B_B|FCC
Cd2Ta2,-5.689626185,4.970642634,0.817243454,hollow|A_B_B|HCP
Cd2Ta2,-8.411719509,2.060788489,0.994532949,top|A
Cd2Ta2,0.273999747,4.210502422,0.428835382,top|B
Co2Ag2,-3.259880865,1.741024575,0.984093111,4fold|A_A_B_B
Co2Ag2,-2.403308568,1.569777533,0.979498048,bridge|A_A|A
Co2Ag2,-2.403308568,1.569777533,0.979498048,bridge|A_A|B
Co2Ag2,-3.259290271,1.741519146,0.984072479,bridge|A_B|A
Co2Ag2,-3.25934316,1.741402523,0.984079192,bridge|A_B|B
Co2Ag2,-4.11504632,1.460572796,0.988681948,bridge|B_B|A
Co2Ag2,-3.260317866,1.740662694,0.984106834,bridge|B_B|B
Co2Ag2,-2.974483374,1.733521966,0.982564795,hollow|A_A_A|FCC
Co2Ag2,-3.545400093,1.700908038,0.985634782,hollow|A_A_A|HCP
