adsorbate,surface,reaction energy (eV),site,S. designation
O,Au6Cu6,1.365880039,hollow|A_B_B|FCC,L1_o
O,Au6Fe6,1.011918303,top|B,L1_o
O,Au6Fe6,0.027534519,bridge|B_B|A,L1_o
O,Au6Fe6,0.942270358,hollow-tilt|A_A_B|FCC,L1_o
O,Au6Hf6,-1.054402621,top|B,L1_o
O,Au6Hf6,-3.022896715,bridge|B_B|A,L1_o
O,Au6Hg6,2.174596653,hollow|A_B_B|HCP,L1_o
O,Au6Ir6,1.581751213,top|B,L1_o
O,Au6La6,-0.716519139,top|B,L1_o
O,Au6La6,-2.642799261,bridge|B_B|A,L1_o
O,Au6Mo6,-0.90069735,top|B,L1_o
O,Au6Mo6,-1.197254223,bridge|B_B|A,L1_o
O,Au6Nb6,-1.078818035,top|B,L1_o
O,Au6Nb6,-1.781963051,bridge|B_B|A,L1_o
O,Au6Ni6,0.737789598,bridge|B_B|A,L1_o
O,Au6Ni6,1.573821407,hollow|A_A_B|FCC,L1_o
O,Au6Pd6,2.426776929,hollow|A_A_B|HCP,L1_o
O,Au6Pd6,2.198265115,hollow|A_A_B|FCC,L1_o
O,Au6Pd6,2.020223343,hollow|A_B_B|HCP,L1_o
O,Au6Pd6,1.870309979,hollow|A_B_B|FCC,L1_o
O,Au6Pt6,2.422497122,hollow|A_A_B|HCP,L1_o
O,Au6Pt6,2.106341659,hollow|A_A_B|FCC,L1_o
O,Au6Pt6,1.774545364,hollow|A_B_B|HCP,L1_o
O,Au6Pt6,1.678456389,hollow|A_B_B|FCC,L1_o
O,Au6Re6,0.619271912,top|B,L1_o
O,Au6Rh6,1.866344328,hollow|A_A_B|FCC,L1_o
O,Au6Rh6,0.866565159,hollow|A_B_B|FCC,L1_o
O,Au6Rh6,1.81761391,hollow-tilt|A_A_B|HCP,L1_o
O,Au6Ru6,1.649569737,top|B,L1_o
O,Au6Ru6,1.649216261,top-tilt|B,L1_o
O,Au6Sc6,-2.668980694,bridge|B_B|A,L1_o
O,Au6Sc6,-0.550737049,hollow-tilt|A_A_B|FCC,L1_o
O,Au6Ta6,-1.215210743,top|B,L1_o
O,Au6Ta6,-2.086712863,bridge|B_B|A,L1_o
O,Au6Tc6,1.013833441,top|B,L1_o
O,Au6Ti6,-1.09895269,top|B,L1_o
O,Au6Ti6,-2.475922593,bridge|B_B|A,L1_o
O,Au6V6,-0.997681307,top|B,L1_o
O,Au6V6,-1.79231467,bridge|B_B|A,L1_o
O,Au6W6,-1.206209761,top|B,L1_o
O,Au6W6,-1.470756114,bridge|B_B|A,L1_o
O,Au6Y6,2.051169353,top|A,L1_o
O,Au6Y6,-0.194579626,top|B,L1_o
O,Au6Y6,-2.668131563,bridge|B_B|A,L1_o
O,Au6Y6,-0.264507304,hollow|A_A_B|HCP,L1_o
O,Au6Zn6,1.583280901,hollow|A_A_B|FCC,L1_o
O,Au6Zr6,-1.029638221,top|B,L1_o
O,Au6Zr6,-2.61585142,bridge|B_B|A,L1_o
O,Bi6Re6,-0.712971727,top|B,L1_o
O,Bi6Rh6,1.301986213,bridge|B_B|A,L1_o
O,Bi6Rh6,1.462970665,hollow-tilt|A_A_B|FCC,L1_o
O,Bi6Ru6,2.071056657,bridge|A_A|B,L1_o
O,Bi6Ru6,0.954816303,bridge|B_B|A,L1_o
O,Bi6Ru6,1.136508346,top-tilt|B,L1_o
O,Cd6Cu6,0.515538987,bridge|B_B|A,L1_o
O,Cd6Cu6,0.993836339,hollow|A_A_B|FCC,L1_o
O,Cd6Fe6,0.255223052,hollow-tilt|A_A_B|FCC,L1_o
O,Cd6Fe6,0.292584827,hollow-tilt|A_A_B|HCP,L1_o
O,Cd6Hf6,-3.057821302,bridge|B_B|A,L1_o
O,Cd6Hf6,-1.216663831,hollow|A_A_B|FCC,L1_o
O,Cd6Hf6,-1.335537849,hollow-tilt|A_A_B|HCP,L1_o
O,Cd6Hg6,1.253113887,hollow|A_A_B|FCC,L1_o
O,Cd6Ir6,0.653885609,bridge|B_B|A,L1_o
O,Cd6Ir6,1.347396707,hollow|A_A_B|FCC,L1_o
O,Cd6Ir6,0.610801961,hollow|A_B_B|HCP,L1_o
O,Cd6La6,-0.795606714,top|B,L1_o
O,Cd6La6,-2.799056688,bridge|B_B|A,L1_o
O,Cd6Mn6,-0.203148899,bridge|B_B|A,L1_o
O,Cd6Mn6,0.683898677,hollow|A_A_B|FCC,L1_o
O,Cd6Mn6,0.790535328,hollow-tilt|A_A_B|HCP,L1_o
O,Cd6Mo6,-0.662429711,top|A,L1_o
O,Cd6Mo6,-1.133030867,bridge|A_A|A,L1_o
O,Cd6Mo6,-0.665241191,top|B,L1_o
O,Cd6Mo6,-1.130750281,bridge|B_B|B,L1_o
O,Cd6Mo6,-1.130923889,bridge|A_A|B,L1_o
O,Cd6Mo6,-1.130918719,bridge|B_B|A,L1_o
O,Cd6Nb6,-1.103902985,top|B,L1_o
O,Cd6Nb6,-1.934480681,bridge|B_B|B,L1_o
O,Cd6Nb6,-1.934436598,bridge|A_A|B,L1_o
O,Cd6Nb6,-1.934807762,bridge|B_B|A,L1_o
O,Cd6Nb6,-1.090510903,top-tilt|A,L1_o
O,Cd6Ni6,0.387133365,bridge|B_B|A,L1_o
