Alloy,,,,Workfunction,,,
Ag,,,,4.681726044,,Ag,
Ag,Au,,,5.024871871,,Ag,Au
Ag,Cd,,,4.418197965,,Ag,Cd
Ag,Hf,,,4.304675925,,Ag,Co
Ag,Hg,,,4.475737215,,Ag,Cr
Ag,Ir,,,5.158494312,,Ag,Cu
Ag,Os,,,4.996427186,,Ag,Fe
Ag,Pt,,,5.261087206,,Ag,Hf
Ag,Re,,,5.240411354,,Ag,Hg
Ag,Ta,,,4.753701215,,Ag,Ir
Ag,W,,,5.102995171,,Ag,La
Ag,Y,,,3.582608877,,Ag,Mn
Au,,,,5.426721805,,Ag,Mo
Au,Hg,,,4.840059981,,Ag,Nb
Cd,,,,4.170427895,,Ag,Ni
Cd,Au,,,4.634060417,,Ag,Os
Cd,Hf,,,4.315376315,,Ag,Pd
Cd,Hg,,,4.179511537,,Ag,Pt
Cd,Ir,,,4.798636258,,Ag,Re
Cd,Os,,,4.695990923,,Ag,Rh
Cd,Pt,,,4.923061134,,Ag,Ru
Cd,Re,,,4.792191677,,Ag,Sc
Cd,Ta,,,4.612000481,,Ag,Ta
Cd,W,,,4.796624312,,Ag,Tc
Cd,Y,,,3.831187511,,Ag,Ti
Co,,,,5.169206329,,Ag,V
Co,Ag,,,4.831467375,,Ag,W
Co,Au,,,5.131132189,,Ag,Y
Co,Cd,,,4.539048363,,Ag,Zn
Co,Cu,,,5.046894399,,Ag,Zr
Co,Fe,,,4.977050422,,Au,
Co,Hf,,,4.327653404,,Au,Cd
Co,Hg,,,4.676284053,,Au,Co
Co,Ir,,,5.398871809,,Au,Cr
Co,La,,,3.373676549,,Au,Cu
Co,Mn,,,4.802313552,,Au,Fe
Co,Ni,,,5.186948463,,Au,Hf
Co,Os,,,5.411313358,,Au,Hg
Co,Pd,,,5.066768306,,Au,Ir
Co,Pt,,,5.309615562,,Au,La
Co,Re,,,5.404414584,,Au,Mn
Co,Rh,,,5.136521005,,Au,Mo
Co,Ru,,,5.208579616,,Au,Nb
Co,Sc,,,4.16414879,,Au,Ni
Co,Ti,,,4.471568601,,Au,Pd
Co,V,,,4.923657142,,Au,Pt
Co,W,,,5.262556112,,Au,Re
Co,Y,,,3.823588113,,Au,Rh
Co,Zn,,,4.845329904,,Au,Ru
Co,Zr,,,4.200435898,,Au,Sc
Cr,,,,5.105509079,,Au,Ta
Cr,Ag,,,4.747445272,,Au,Tc
Cr,Au,,,5.058614798,,Au,Ti
Cr,Cd,,,4.519947417,,Au,V
Cr,Cu,,,5.098300999,,Au,W
Cr,Fe,,,5.076754536,,Au,Y
Cr,Hf,,,4.606875839,,Au,Zn
Cr,Hg,,,4.562842018,,Au,Zr
Cr,Ir,,,5.27810329,,Cd,
Cr,La,,,3.48510894,,Cd,Co
Cr,Mn,,,5.016579911,,Cd,Cu
Cr,Mo,,,4.965670524,,Cd,Fe
Cr,Nb,,,4.748159714,,Cd,Hf
Cr,Ni,,,5.187765594,,Cd,Hg
Cr,Os,,,5.224386742,,Cd,Ir
Cr,Pd,,,5.103365099,,Cd,La
Cr,Pt,,,5.290295667,,Cd,Mn
Cr,Re,,,5.190987692,,Cd,Mo
Cr,Rh,,,5.111622684,,Cd,Nb
Cr,Ru,,,5.066086825,,Cd,Ni
Cr,Ta,,,4.882619398,,Cd,Os
Cr,Tc,,,5.050599543,,Cd,Pd
Cr,W,,,5.036435114,,Cd,Pt
Cr,Y,,,3.570854445,,Cd,Re
