adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
O,Ag6Au6,2.431486947,hollow|A_A_B|HCP,L1_o,"['Ag', 'Au', 'Au']","[9, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.2140912356992,8.400894,1.805315,304.4,-3.49858861907419,1.27896726867036,0.980193505829216,0.7015,5.02487187079787
O,Ag6Au6,2.272741312,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.2140912356992,8.400894,1.805315,304.4,-3.68019383301985,1.22713801473703,0.983260761285328,0.7015,5.02487187079787
O,Ag6Au6,2.339808257,hollow|A_B_B|HCP,L1_o,"['Ag', 'Ag', 'Au']","[9, 10, 11]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.2140912356992,8.400894,1.805315,304.4,-3.68020177653703,1.22713235796756,0.983260921332056,0.7015,5.02487187079787
O,Ag6Au6,2.171728301,hollow|A_B_B|FCC,L1_o,"['Ag', 'Au', 'Au']","[10, 11, 12]","['Ag', 'Ag', 'Au', 'Au', 'Ag', 'Ag', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,408.175,10.24,2.2140912356992,8.400894,1.805315,304.4,-3.49858179223549,1.27897120830992,0.980193192635463,0.7015,5.02487187079787
O,Ag6Cd6,1.246558937,hollow|A_B_B|FCC,L1_o,"['Ag', 'Cd', 'Cd']","[10, 11, 12]","['Ag', 'Ag', 'Cd', 'Cd', 'Ag', 'Ag', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.235,11.635,1.80601771862847,8.285027,0.651,186.3,-7.23870692348101,2.28593816451072,0.99382730982574,8.012,4.41819796539895
O,Ag6Co6,1.001724919,top|B,L1_o,['Ag'],[11],"['Co', 'Co', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,329.62,8.47,1.90126797069402,7.75039171428571,0.936285714285714,337.671428571429,-4.11511515870764,1.46044714698438,0.988688102457866,13.028,4.83146737480971
O,Ag6Co6,-0.223120967,bridge|B_B|A,L1_o,"['Ag', 'Ag']","[11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,329.62,8.47,1.90483595094171,7.728622,0.982,328.75,-4.11504631989281,1.46057279565954,0.988681948297444,13.028,4.83146737480971
O,Ag6Co6,0.775951931,hollow-tilt|A_A_B|FCC,L1_o,"['Co', 'Co', 'Ag']","[9, 10, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.90483595094171,7.728622,0.982,328.75,-2.97445228447651,1.73359760374371,0.982560078066078,13.028,4.83146737480971
O,Ag6Co6,0.805714382,hollow-tilt|A_A_B|HCP,L1_o,"['Co', 'Ag', 'Ag']","[9, 11, 12]","['Co', 'Co', 'Ag', 'Ag', 'Co', 'Co', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,329.62,8.47,1.90483595094171,7.728622,0.982,328.75,-3.54470350003765,1.70160688778538,0.985611785104148,13.028,4.83146737480971
O,Ag6Cu6,3.530969579,top|A,L1_o,['Cu'],[9],"['Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,385.01,8.69,1.91708528696503,7.64058228571429,1.27328571428571,286.357142857143,-2.19065784326131,0.956397681581038,0.981300690468191,3.905,4.78821048993569
O,Ag6Cu6,0.844416181,bridge|B_B|A,L1_o,"['Ag', 'Ag']","[11, 12]","['Cu', 'Cu', 'Ag', 'Ag', 'Cu', 'Cu', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,385.01,8.69,1.91494125236259,7.651307,1.2685,289.7,-4.16966855091814,1.22793934917353,0.984402667472855,3.905,4.78821048993569
