adsorbate,surface,reaction energy (eV),site,S. designation
C,Ag6Au6,5.627318945,hollow|A_A_B|HCP,L1_o
C,Ag6Au6,5.41603289,hollow|A_A_B|FCC,L1_o
C,Ag6Au6,4.979302288,hollow|A_B_B|HCP,L1_o
C,Ag6Au6,4.950667341,hollow|A_B_B|FCC,L1_o
C,Ag6Cd6,5.5093195,bridge|A_A|B,L1_o
C,Ag6Cd6,5.596425589,hollow|A_B_B|HCP,L1_o
C,Ag6Cd6,5.497811942,hollow|A_B_B|FCC,L1_o
C,Ag6Co6,2.382733535,bridge|B_B|A,L1_o
C,Ag6Co6,3.734145826,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Co6,3.700240033,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6Cr6,2.507316638,hollow|A_B_B|FCC,L1_o
C,Ag6Cu6,7.020413906,top|A,L1_o
C,Ag6Cu6,4.134827194,bridge|B_B|A,L1_o
C,Ag6Cu6,5.193137914,hollow|A_A_B|HCP,L1_o
C,Ag6Cu6,5.078700303,hollow|A_A_B|FCC,L1_o
C,Ag6Fe6,2.467728565,bridge|B_B|A,L1_o
C,Ag6Fe6,3.543872401,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Fe6,3.546400474,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6Hf6,3.821319126,hollow|A_A_B|HCP,L1_o
C,Ag6Hf6,3.696152203,hollow|A_A_B|FCC,L1_o
C,Ag6Hf6,2.068734574,hollow|A_B_B|HCP,L1_o
C,Ag6Hf6,2.212417347,hollow|A_B_B|FCC,L1_o
C,Ag6Hg6,5.556749351,hollow|A_B_B|FCC,L1_o
C,Ag6Ir6,1.744027253,bridge|B_B|A,L1_o
C,Ag6Ir6,3.398978585,hollow|A_A_B|FCC,L1_o
C,Ag6Ir6,3.12616242,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6La6,5.766888718,top|B,L1_o
C,Ag6La6,2.805203603,hollow|A_B_B|FCC,L1_o
C,Ag6La6,1.917778197,4fold|A_A_B_B,L1_o
C,Ag6Mn6,3.62682576,bridge|B_B|A,L1_o
C,Ag6Mo6,3.189311198,hollow|A_A_B|HCP,L1_o
C,Ag6Mo6,2.919558491,hollow|A_A_B|FCC,L1_o
C,Ag6Mo6,1.836787187,hollow|A_B_B|HCP,L1_o
C,Ag6Mo6,1.929447935,hollow|A_B_B|FCC,L1_o
C,Ag6Mo6,2.91946298,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Nb6,3.395911317,hollow|A_A_B|HCP,L1_o
C,Ag6Nb6,3.373781115,hollow|A_A_B|FCC,L1_o
C,Ag6Nb6,2.097416461,hollow|A_B_B|HCP,L1_o
C,Ag6Nb6,2.128556624,hollow|A_B_B|FCC,L1_o
C,Ag6Ni6,2.543948195,bridge|B_B|A,L1_o
C,Ag6Ni6,4.164549237,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Ni6,4.149397938,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6Os6,3.875474542,top|B,L1_o
C,Ag6Os6,2.434752313,bridge-tilt|B_B|B,L1_o
C,Ag6Os6,3.930431878,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Pd6,7.029893944,top|A,L1_o
C,Ag6Pd6,3.440907517,bridge|B_B|A,L1_o
C,Ag6Pd6,4.602759457,hollow|A_A_B|HCP,L1_o
C,Ag6Pd6,4.541566089,hollow|A_A_B|FCC,L1_o
C,Ag6Pd6,3.373778258,hollow|A_B_B|HCP,L1_o
C,Ag6Pt6,7.272798539,top|A,L1_o
C,Ag6Pt6,2.499578673,bridge|B_B|A,L1_o
C,Ag6Pt6,4.062552534,hollow|A_A_B|FCC,L1_o
C,Ag6Pt6,2.495111516,hollow|A_B_B|HCP,L1_o
C,Ag6Pt6,2.498024631,hollow|A_B_B|FCC,L1_o
C,Ag6Pt6,4.070313629,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6Re6,1.434722255,bridge|B_B|B,L1_o
C,Ag6Re6,1.517061182,hollow|A_B_B|FCC,L1_o
C,Ag6Re6,2.865587569,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Rh6,1.907733523,bridge|B_B|A,L1_o
C,Ag6Rh6,3.538365089,hollow|A_A_B|FCC,L1_o
C,Ag6Rh6,3.440840986,hollow-tilt|A_A_B|HCP,L1_o
C,Ag6Ru6,3.344863305,top|B,L1_o
C,Ag6Ru6,2.11848365,bridge|B_B|B,L1_o
C,Ag6Ru6,2.117695881,hollow|A_B_B|FCC,L1_o
C,Ag6Ru6,3.348749499,hollow-tilt|A_A_B|FCC,L1_o
C,Ag6Sc6,2.723424823,hollow|A_B_B|HCP,L1_o
C,Ag6Sc6,1.677475011,4fold|A_A_B_B,L1_o
C,Ag6Ta6,3.430066502,hollow|A_A_B|HCP,L1_o
C,Ag6Ta6,3.440241247,hollow|A_A_B|FCC,L1_o
C,Ag6Ta6,1.793768166,hollow|A_B_B|HCP,L1_o
C,Ag6Ta6,1.763020254,hollow|A_B_B|FCC,L1_o
C,Ag6Tc6,1.942400146,bridge|B_B|B,L1_o
C,Ag6Tc6,1.95520283,hollow|A_B_B|FCC,L1_o
C,Ag6Tc6,2.964223665,hollow-tilt|A_A_B|FCC,L1_o
