adsorbate,surface,reaction energy (eV),site,S. designation
H,Ag12,0.844867346,top|A,A1
H,Ag12,0.462215151,bridge|A_A|A,A1
H,Ag12,0.355347475,hollow|A_A_A|HCP,A1
H,Ag12,0.338155323,hollow|A_A_A|FCC,A1
H,Au12,0.534248174,top|A,A1
H,Au12,0.39593203,bridge|A_A|A,A1
H,Au12,0.371106676,hollow|A_A_A|HCP,A1
H,Au12,0.322403197,hollow|A_A_A|FCC,A1
H,Cd12,0.966015964,top|A,A1
H,Cd12,0.839368333,bridge|A_A|A,A1
H,Cd12,0.87136171,hollow|A_A_A|HCP,A1
H,Cd12,0.825439234,hollow|A_A_A|FCC,A1
H,Co12,-0.108293689,bridge|A_A|A,A1
H,Co12,-0.245903834,hollow|A_A_A|HCP,A1
H,Co12,-0.448717897,hollow|A_A_A|FCC,A1
H,Cr12,0.125528427,top|A,A1
H,Cr12,-0.877451345,hollow|A_A_A|HCP,A1
H,Cr12,-0.878578305,hollow|A_A_A|FCC,A1
H,Cu12,0.520936638,top|A,A1
H,Cu12,0.084552981,bridge|A_A|A,A1
H,Cu12,-0.039638823,hollow|A_A_A|HCP,A1
H,Cu12,-0.053560439,hollow|A_A_A|FCC,A1
H,Fe12,-0.38302948,top|A,A1
H,Fe12,-0.956848585,hollow|A_A_A|HCP,A1
H,Fe12,-0.644186927,hollow|A_A_A|FCC,A1
H,Hf12,0.283894463,top|A,A1
H,Hf12,-0.742009131,bridge|A_A|A,A1
H,Hf12,-0.990286206,hollow|A_A_A|HCP,A1
H,Hf12,-0.996874898,hollow|A_A_A|FCC,A1
H,Ir12,-0.324119827,top|A,A1
H,Ir12,-0.121203722,bridge|A_A|A,A1
H,Ir12,-0.111492251,hollow|A_A_A|HCP,A1
H,Ir12,-0.157797318,hollow|A_A_A|FCC,A1
H,La12,0.387234727,top|A,A1
H,La12,-0.417776649,bridge|A_A|A,A1
H,La12,-0.687573846,hollow|A_A_A|HCP,A1
H,La12,-0.671628928,hollow|A_A_A|FCC,A1
H,Mo12,0.150029421,top|A,A1
H,Mo12,-0.989087,hollow|A_A_A|HCP,A1
H,Mo12,-0.7747315,hollow|A_A_A|FCC,A1
H,Nb12,0.122014893,top|A,A1
H,Nb12,-0.943553103,hollow|A_A_A|HCP,A1
H,Nb12,-0.873487191,hollow|A_A_A|FCC,A1
H,Os12,-0.065029765,top|A,A1
H,Os12,-0.168578605,bridge|A_A|A,A1
H,Os12,-0.228759573,hollow|A_A_A|HCP,A1
H,Os12,-0.258513453,hollow|A_A_A|FCC,A1
H,Pd12,0.132502024,top|A,A1
H,Pd12,-0.164437848,bridge|A_A|A,A1
H,Pd12,-0.251614143,hollow|A_A_A|HCP,A1
H,Pd12,-0.289728039,hollow|A_A_A|FCC,A1
H,Pt12,-0.312314032,top|A,A1
H,Pt12,-0.203687685,bridge|A_A|A,A1
H,Pt12,-0.194288464,hollow|A_A_A|HCP,A1
H,Pt12,-0.229145975,hollow|A_A_A|FCC,A1
H,Re12,0.056626618,top|A,A1
H,Re12,-0.338007973,bridge|A_A|A,A1
H,Re12,-0.491666032,hollow|A_A_A|HCP,A1
H,Re12,-0.511985045,hollow|A_A_A|FCC,A1
H,Rh12,-0.035285274,top|A,A1
H,Rh12,-0.179943439,bridge|A_A|A,A1
H,Rh12,-0.245202188,hollow|A_A_A|HCP,A1
H,Rh12,-0.284275014,hollow|A_A_A|FCC,A1
H,Ru12,0.095803119,top|A,A1
H,Ru12,-0.271800772,bridge|A_A|A,A1
H,Ru12,-0.374250135,hollow|A_A_A|HCP,A1
H,Ru12,-0.411165643,hollow|A_A_A|FCC,A1
H,Sc12,0.175749213,top|A,A1
H,Sc12,-0.953376004,hollow|A_A_A|HCP,A1
H,Sc12,-1.003077461,hollow|A_A_A|FCC,A1
H,Ta12,0.073949521,top|A,A1
H,Ta12,-1.019672595,hollow|A_A_A|HCP,A1
H,Ta12,-0.951701144,hollow|A_A_A|FCC,A1
H,Tc12,0.181114073,top|A,A1
H,Tc12,-0.368834798,bridge|A_A|A,A1
H,Tc12,-0.538785809,hollow|A_A_A|HCP,A1
H,Tc12,-0.559478978,hollow|A_A_A|FCC,A1
H,Ti12,0.243860667,top|A,A1
H,Ti12,-1.01043746,hollow|A_A_A|HCP,A1
H,Ti12,-0.956476197,hollow|A_A_A|FCC,A1
H,V12,0.170977696,top|A,A1
H,V12,-0.99566059,hollow|A_A_A|HCP,A1
H,V12,-0.954071935,hollow|A_A_A|FCC,A1
H,W12,-0.027413156,top|A,A1
H,W12,-0.863439932,hollow|A_A_A|HCP,A1
H,W12,-0.879511383,hollow|A_A_A|FCC,A1
H,Y12,0.217378548,top|A,A1
H,Y12,-0.902642692,hollow|A_A_A|HCP,A1
H,Y12,-0.970131958,hollow|A_A_A|FCC,A1
H,Zn12,0.773363584,top|A,A1
H,Zn12,0.579069405,bridge|A_A|A,A1
H,Zn12,0.581275432,hollow|A_A_A|HCP,A1
H,Zn12,0.552737221,hollow|A_A_A|FCC,A1
H,Zr12,0.309042952,top|A,A1
H,Zr12,-0.992339168,hollow|A_A_A|HCP,A1
H,Zr12,-0.889286528,hollow|A_A_A|FCC,A1
