adsorbate,surface,reaction energy (eV),site,S. designation
O,Ag12,3.426808483,top|A,A1
O,Ag12,2.050680501,hollow|A_A_A|HCP,A1
O,Ag12,1.961799686,hollow|A_A_A|FCC,A1
O,Au12,3.705461217,top|A,A1
O,Au12,2.619231618,hollow|A_A_A|HCP,A1
O,Au12,2.415031951,hollow|A_A_A|FCC,A1
O,Cd12,0.904440412,hollow|A_A_A|HCP,A1
O,Cd12,1.025209024,hollow|A_A_A|FCC,A1
O,Co12,1.332403778,top|A,A1
O,Co12,-0.253032128,hollow|A_A_A|HCP,A1
O,Co12,-0.20143499,hollow|A_A_A|FCC,A1
O,Cr12,-0.926688303,top|A,A1
O,Cr12,-2.500851622,hollow|A_A_A|HCP,A1
O,Cr12,-2.499425337,hollow|A_A_A|FCC,A1
O,Cu12,2.560818709,top|A,A1
O,Cu12,0.927200286,hollow|A_A_A|HCP,A1
O,Cu12,0.815140814,hollow|A_A_A|FCC,A1
O,Fe12,-0.138559006,top|A,A1
O,Fe12,-2.005018438,hollow|A_A_A|HCP,A1
O,Hf12,-0.749242053,top|A,A1
O,Hf12,-3.325056547,hollow|A_A_A|HCP,A1
O,Hf12,-3.730901957,hollow|A_A_A|FCC,A1
O,Ir12,1.610636505,top|A,A1
O,Ir12,0.907405909,hollow|A_A_A|HCP,A1
O,Ir12,0.750792558,hollow|A_A_A|FCC,A1
O,La12,-0.699858561,top|A,A1
O,La12,-2.911750049,hollow|A_A_A|HCP,A1
O,La12,-3.004750532,hollow|A_A_A|FCC,A1
O,Mo12,-0.896368563,top|A,A1
O,Mo12,-2.116413272,hollow|A_A_A|HCP,A1
O,Mo12,-1.927141362,hollow|A_A_A|FCC,A1
O,Nb12,-0.958595012,top|A,A1
O,Nb12,-2.982999248,hollow|A_A_A|HCP,A1
O,Nb12,-2.977393839,hollow|A_A_A|FCC,A1
O,Os12,0.889385986,top|A,A1
O,Os12,-0.129969325,hollow|A_A_A|HCP,A1
O,Os12,0.286972479,hollow|A_A_A|FCC,A1
O,Pd12,2.650838321,top|A,A1
O,Pd12,1.499089559,hollow|A_A_A|HCP,A1
O,Pd12,1.359148895,hollow|A_A_A|FCC,A1
O,Pt12,2.529101256,top|A,A1
O,Pt12,1.803689572,hollow|A_A_A|HCP,A1
O,Pt12,1.417018665,hollow|A_A_A|FCC,A1
O,Re12,-1.20893607,hollow|A_A_A|HCP,A1
O,Re12,-0.715872325,hollow|A_A_A|FCC,A1
O,Rh12,1.81037677,top|A,A1
O,Rh12,0.598425407,hollow|A_A_A|HCP,A1
O,Rh12,0.595410113,hollow|A_A_A|FCC,A1
O,Ru12,1.093764024,top|A,A1
O,Ru12,-0.376089897,hollow|A_A_A|HCP,A1
O,Ru12,0.046446023,hollow|A_A_A|FCC,A1
O,Sc12,-0.913253091,top|A,A1
O,Sc12,-3.751788326,hollow|A_A_A|HCP,A1
O,Sc12,-3.6918909,hollow|A_A_A|FCC,A1
O,Ta12,-0.969851273,top|A,A1
O,Ta12,-3.040309688,hollow|A_A_A|HCP,A1
O,Ta12,-3.260459443,hollow|A_A_A|FCC,A1
O,Tc12,-0.110626385,top|A,A1
O,Tc12,-1.287207166,hollow|A_A_A|HCP,A1
O,Tc12,-0.82013247,hollow|A_A_A|FCC,A1
O,Ti12,-0.985057402,top|A,A1
O,Ti12,-3.254056741,hollow|A_A_A|HCP,A1
O,Ti12,-3.455084921,hollow|A_A_A|FCC,A1
O,V12,-0.989690548,top|A,A1
O,V12,-3.167489573,hollow|A_A_A|HCP,A1
O,V12,-3.230985841,hollow|A_A_A|FCC,A1
O,W12,-1.179627777,top|A,A1
O,W12,-1.891232132,bridge|A_A|A,A1
O,W12,-2.198106472,hollow|A_A_A|HCP,A1
O,W12,-2.133600254,hollow|A_A_A|FCC,A1
O,Y12,-0.642159951,top|A,A1
O,Y12,-3.648769292,hollow|A_A_A|HCP,A1
O,Y12,-3.62765802,hollow|A_A_A|FCC,A1
O,Zn12,0.078724574,hollow|A_A_A|HCP,A1
O,Zn12,0.307014479,hollow|A_A_A|FCC,A1
O,Zr12,-0.754873585,top|A,A1
O,Zr12,-3.135682731,hollow|A_A_A|HCP,A1
O,Zr12,-3.425847785,hollow|A_A_A|FCC,A1
